gene,dbeta,feature,ID,cluster
ACE,0.3805133411026997,TSS1500,cg02131967,1
ACOT11,0.3836739324969439,TSS200,cg10266490,4
ACSF2,0.38384890628912,TSS1500,cg14672994,4
ADAM11,0.3516534543255778,TSS1500,cg25558103,1
ADAMTS12,0.5623463082966281,TSS200,cg26573704,3
ADCY1,0.4097079821410467,TSS1500,cg26459372,3
ADCY4,0.5921199086878063,TSS200,cg23179456,1
AFAP1L1,0.4835660108175843,TSS1500,cg09651145,4
ALDH1L1,0.4723017143244444,TSS1500,cg07330230,3
ALOX12,0.3714004791405029,TSS200,cg14375499,4
ANGPTL2,0.4036582553958682,TSS200,cg08076018,3
ANK1,0.426611864481196,TSS1500,cg14904662,1
ANKH,0.4239877264478837,TSS1500,cg21215929,1
ANXA2,0.5187282239677973,TSS1500,cg20118643,3
ATOH1,0.3921043726163876,TSS1500,cg15076145,4
ATP5G2,0.3556190752224096,TSS1500,cg04418091,4
ATXN7L1,0.42830236093317,TSS1500,cg11617147,3
B3GAT1,0.3589932986486337,TSS1500,cg22777979,4
BANF2,0.4173736223103718,TSS200,cg25959149,4
BARD1,0.3743851635726283,TSS1500,cg24715680,4
BDH2,-0.3840288183327992,TSS1500,cg03276883,4
BICC1,0.4477440920243253,TSS1500,cg09696939,4
BMP7,0.4297864094639291,TSS1500,cg18759209,3
BOLA3,0.3819890522522175,TSS1500,cg04542030,4
C10orf82,0.353393641618361,TSS200,cg18425434,4
C11orf41,-0.3685072139373339,TSS200,cg11623855,4
C11orf93,0.3907594073927268,TSS1500,cg26459819,4
C11orf95,0.42446151929391,TSS1500,cg04986616,4
C15orf26,0.3703101062214965,TSS1500,cg25029264,4
C18orf1,0.3805850526697764,TSS1500,cg25374649,4
C1orf114,0.469597950125924,TSS200,cg08047907,4
C1orf190,0.386731183582292,TSS1500,cg19856273,4
C2orf88,0.5410117891286467,TSS1500,cg08350814,1
C3orf55,0.3511118622710937,TSS1500,cg08504812,4
C3orf63,-0.4113873514499221,TSS1500,cg10908188,4
C5orf4,0.4861641651622597,TSS200,cg18188717,4
C7orf16,-0.4050486596733973,TSS1500,cg23348723,3
CA3,0.4017503903096516,TSS1500,cg18674980,4
CALD1,0.365799130850431,TSS1500,cg06390484,1
CASP8,-0.4218947610718525,TSS1500,cg20608990,4
CAV1,0.405021114777828,TSS200,cg17469978,1
CBLN4,0.3541727644127568,TSS200,cg20779964,4
CBX5,0.5306901513818552,TSS200,cg20687242,4
CCDC102A,0.3666225463501606,TSS1500,cg08096786,4
CCDC8,0.5532284358123426,TSS200,cg03576469,1
CCDC80,-0.3612961742423253,TSS1500,cg21580421,3
CCK,0.4288854497434552,TSS1500,cg11142705,3
CCL13,-0.3897835283745394,TSS1500,cg05281206,3
CCL7,-0.3930665978086481,TSS1500,cg01520122,3
CCL8,-0.3597053869320684,TSS1500,cg27000831,3
CCND2,0.3931111698574083,TSS1500,cg21462428,4
CD1C,-0.377065971279162,TSS1500,cg16993682,1
CD44,0.3705402956531087,TSS200,cg20143092,2
CD9,0.3976136505810231,TSS1500,cg22222281,1
CDH17,-0.3927647991110202,TSS1500,cg09857273,1
CDH23,0.4862461772593474,TSS1500,cg24331301,1
CDO1,0.3585343245405378,TSS200,cg23180938,4
CDX2,0.3809568106565634,TSS1500,cg07984133,4
CDYL,0.4305029693786909,TSS1500,cg24816460,4
CFLAR,-0.3594546699791039,TSS1500,cg18119407,4
CFTR,0.3976040255851291,TSS200,cg00735923,1
CHRNB2,0.3828952754327038,TSS200,cg05746024,1
CLDN10,0.3815687489567776,TSS200,cg09469554,1
CLIP4,0.5157595121774902,TSS1500,cg25737323,4
CNN3,0.4216837614563403,TSS1500,cg18344652,4
CPNE4,0.3929225200397573,TSS200,cg20559608,3
CPVL,0.4403746156726597,TSS200,cg02032778,3
CRHR2,0.3680307682014095,TSS200,cg21773872,2
CRTAC1,0.3525131133766326,TSS1500,cg04991805,3
CUGBP2,0.4038196833528715,TSS200,cg12178980,4
CUL1,0.4293179060035828,TSS1500,cg03789645,4
CX3CL1,0.3783700857478325,TSS200,cg20427865,1
CXCL1,0.4461529179600952,TSS1500,cg02029926,3
CYBA,0.583395301555189,TSS200,cg08843517,1
CYP1A1,0.3637529869759148,TSS1500,cg13570656,4
CYP2W1,0.3510247529692018,TSS200,cg06145435,1
DCD,-0.3713400577890198,TSS1500,cg01687040,3
DCTN1,0.4064417141523014,TSS200,cg20303028,4
DDIT4L,0.3994864218584865,TSS1500,cg08663159,1
DEPDC7,-0.3683662097049099,TSS1500,cg00035630,4
DLC1,-0.3609114182682698,TSS1500,cg12512013,4
