ID,dbeta,UCSC_RefGene_Name,UCSC_RefGene_Group,methylation_level
cg25717799,-0.0345548794233409,ACY1,TSS200,Hyper
cg00432461,0.0326290418313342,ADRB3,TSS1500,Hypo
cg25251562,0.0514691755815222,ALLC,TSS1500,Hyper
cg09558982,0.0334639409347827,APOA1,TSS200,Hyper
cg14194956,-0.0432650594869565,APOBEC3B,TSS200,Hyper
cg12595990,-0.0300959637508361,ARF3,TSS200,Hyper
cg03950654,-0.031672274421269,ARRB2,TSS1500,Hyper
cg17717333,-0.0408716339202898,ASXL2,TSS1500,Hyper
cg19789919,-0.0326609991212121,ATF7IP,TSS200,Hyper
cg18676679,-0.0329850553141654,BANP,TSS1500,Hyper
cg07589813,0.0584796110434782,BFAR,TSS200,Hyper
cg07203873,-0.0655517571521739,BRD2,TSS1500,Hyper
cg21245975,-0.0397906701352657,C1orf52,TSS200,Hypo
cg06300880,0.0336987828043476,CD80,TSS1500,Hyper
cg23348014,-0.0335583263594203,COL1A2,TSS1500,Hyper
cg16995742,0.0544821462478262,COPS8,TSS1500,Hyper
cg11280964,-0.0783608096086956,CRK,TSS1500,Hyper
cg19919062,0.0435353559608695,CRTAP,TSS1500,Hyper
cg19252175,-0.0330060059438405,DDX60,TSS200,Hyper
cg12251126,0.0350822023363845,DEFA3,TSS1500,Hyper
cg16621987,-0.0615173156521739,DGCR2,TSS1500,Hyper
cg20349687,-0.0340249383753623,EIF2AK3,TSS200,Hyper
cg26260789,-0.0448291160411899,EIF3F,TSS1500,Hyper
cg12230010,-0.077646934347826,EIF4EBP2,TSS200,Hyper
cg11802299,0.0410424155724636,ELAC2,TSS1500,Hypo
cg10651300,-0.0307309981687979,ESPL1,TSS1500,Hyper
cg07110043,-0.0368738733695651,FABP3,TSS1500,Hyper
cg17573813,-0.0376739969538043,FHIT,TSS200,Hyper
cg18854735,-0.0656430692391304,GNB1,TSS1500,Hyper
cg15131156,0.0328461775826086,HAS1,TSS1500,Hyper
cg06961289,0.0415517801086955,HDGF,TSS200,Hyper
cg03652343,-0.0311450678937197,HERC4,TSS200,Hyper
cg16899306,0.0617935785289851,HLA-DQB2,TSS1500,Hyper
cg20649689,0.0307129388527953,HLA-E,TSS1500,Hypo
cg07964133,-0.0328988270217391,HNRNPD,TSS1500,Hyper
cg26155681,-0.0615916675217391,HTATIP2,TSS1500,Hypo
cg04754916,-0.0313194216290322,ICAM1,TSS200,Hyper
cg14837919,-0.0314778571394927,IL15,TSS200,Hyper
cg01158657,0.0369419806997926,IL17F,TSS200,Hyper
cg16730716,0.035200124305797,IL32,TSS1500,Hyper
cg21594961,0.0524024903043478,IL5RA,TSS1500,Hyper
cg17853051,0.0410573050394021,IMPACT,TSS1500,Hypo
cg04260516,-0.0330449857404891,IRF9,TSS200,Hyper
cg10611115,-0.0308875333961352,JAG1,TSS1500,Hyper
cg25945374,-0.0317725711666666,KHDRBS3,TSS1500,Hyper
cg20568423,0.0360876393913042,KIFAP3,TSS1500,Hyper
cg24865007,0.0362126302608698,KIR2DS4,TSS1500,Hyper
cg18151858,-0.0303341812173913,LATS2,TSS1500,Hyper
cg19767548,0.0411893130993787,LDHC,TSS1500,Hyper
cg10680514,0.0540670456594203,LGALS13,TSS200,Hypo
cg07248814,-0.0420925875942029,LNPEP,TSS1500,Hyper
cg08436396,0.034137653379227,LYPD5,TSS1500,Hyper
cg02412050,-0.0314803329688601,MAPK14,TSS200,Hyper
cg09687947,-0.0350639945934782,MCM2,TSS1500,Hyper
cg26399819,-0.0331336268819875,MIER3,TSS1500,Hyper
cg07678010,0.0392028646677016,MIR1827,TSS1500,Hyper
cg02711460,-0.0313509043241106,MIR449C,TSS1500,Hyper
cg04735660,0.0311663603913043,MIR488,TSS1500,Hyper
cg19653246,0.0695191014347825,MIR654,TSS1500,Hypo
cg01263222,-0.0333789906827697,MLYCD,TSS1500,Hyper
cg25755428,0.033948284673913,MRI1,TSS1500,Hypo
cg17981101,0.046960637101449,MUC17,TSS200,Hyper
cg20762290,-0.0703041416521738,NFE2L1,TSS200,Hyper
cg22427279,0.0350848708179346,NHLH2,TSS1500,Hyper
cg10492935,0.0400895646695654,NOXO1,TSS1500,Hyper
cg10727171,-0.0318766320072462,NPAS3,TSS1500,Hyper
cg06023702,-0.0338949987006211,PAIP2B,TSS200,Hyper
cg22461201,0.0450127941086957,PDZD2,TSS1500,Hypo
cg01091258,-0.0312489733504347,PIGF,TSS1500,Hyper
cg17860186,-0.0350665512573913,PLEKHG2,TSS1500,Hyper
cg22069588,0.0543258931956521,PLRG1,TSS200,Hyper
cg12573849,-0.0400449725217391,POU3F3,TSS1500,Hyper
cg09430642,0.0507747211231884,POU5F1B,TSS1500,Hypo
cg17858192,-0.0700752737608695,PROM1,TSS200,Hypo
cg04619381,-0.0310274686289855,PRR15,TSS1500,Hyper
cg21450627,0.0310918485531401,PSD4,TSS1500,Hyper
cg21526212,-0.0676520403260869,PTCH1,TSS1500,Hyper
cg19358349,-0.0407424363695652,PTEN,TSS1500,Hyper
cg24816298,0.031575482806324,PTH,TSS1500,Hyper
cg09467501,-0.0304593570026087,PYY,TSS1500,Hyper
cg25511286,-0.0409709514264213,RAB18,TSS200,Hyper
cg06023349,-0.0401019758282608,RAMP3,TSS200,Hyper
cg06205333,-0.0406331415724637,RAP1A,TSS1500,Hyper
cg19857457,-0.0303551502309782,RPL17,TSS200,Hyper
cg13393778,-0.036297680597826,S1PR2,TSS200,Hyper
cg21879272,-0.0303025826449275,SAV1,TSS1500,Hyper
cg06732395,-0.0459774391413043,SCGB3A1,TSS1500,Hyper
cg00377727,0.0560710871376812,SEC23A,TSS1500,Hyper
cg14150973,-0.0354955599402173,SERTAD3,TSS200,Hypo
cg13191172,-0.0505427432782608,SLC25A4,TSS200,Hyper
cg05063944,-0.0332087884510869,SLC35F2,TSS200,Hyper
cg22367705,-0.0421583469434782,SLC9A1,TSS200,Hyper
cg03497297,-0.0494384868952568,SMCHD1,TSS1500,Hyper
cg02276845,-0.0316714702685422,STIM1,TSS1500,Hyper
cg01071279,0.0421369792782608,SUPV3L1,TSS1500,Hyper
cg01317217,-0.0456088146438127,TERF2,TSS1500,Hyper
cg14182667,-0.0387679765474307,THBS1,TSS1500,Hyper
cg03613717,-0.0342299818695652,TIAL1,TSS200,Hyper
cg06405222,-0.0433358068140096,TLR2,TSS200,Hyper
cg25184481,-0.031359840557971,TMEM196,TSS1500,Hyper
cg03761891,0.0505178042072462,TMEM40,TSS1500,Hyper
cg26309356,-0.032253274671278,TNKS2,TSS200,Hyper
cg15981620,-0.0337454616645962,TYK2,TSS200,Hyper
cg07264050,-0.0333673043881987,UBE2V2,TSS200,Hyper
cg12917258,-0.0301078739028132,UBTD1,TSS1500,Hyper
cg14589466,-0.0724465664782609,USP43,TSS200,Hyper
cg09972561,-0.0338154521887872,VPS13C,TSS1500,Hyper
cg26021304,0.0420109653913042,ZFP57,TSS200,Hyper
cg26219488,0.031327788034325,ZFR,TSS1500,Hypo
cg21664828,-0.0305984044601449,ZNF148,TSS1500,Hyper
