ID,gene,dbeta,feature
cg03630821,A1BG,0.255572,Body
cg06719334,A2BP1,-0.459499,Body
cg13776095,A2LD1,-0.277337,5'UTR
cg00134295,A2M,0.226737,TSS1500
cg15769388,A2ML1,-0.144131,TSS1500
cg03328754,A4GALT,0.085461,5'UTR
cg23669440,A4GNT,-0.213101,TSS1500
cg03382549,AAA1,-0.158949,Body
cg05224385,AAAS,0.012434,TSS1500
cg16118089,AACS,-0.105957,Body
cg21473545,AACSL,-0.09203,TSS200
cg13001012,AADAC,-0.059979,TSS1500
cg15092772,AADACL3,-0.227139,Body
cg11157076,AADACL4,0.064105,TSS1500
cg00150882,AADAT,0.103545,TSS1500
cg20940607,AAGAB,0.007456,1stExon
cg19289072,AAK1,0.202605,Body
cg21613754,AAMP,-0.006851,Body
cg04582695,AANAT,-0.149408,5'UTR
cg08750807,AARS,0.130546,3'UTR
cg10131297,AARS2,0.155852,3'UTR
cg22396850,AARSD1,0.161165,3'UTR
cg13939352,AASDH,-0.005808,TSS200
cg02453779,AASDHPPT,0.013638,1stExon
cg04893558,AASS,0.190377,5'UTR
cg11262262,AATF,0.083441,TSS1500
cg17279079,AATK,0.187404,Body
cg00231389,ABAT,0.298491,5'UTR
cg14019050,ABCA1,0.309006,TSS1500
cg14019757,ABCA10,-0.102043,5'UTR
cg04530015,ABCA12,-0.029273,3'UTR
cg00772192,ABCA13,-0.333655,Body
cg04119462,ABCA17P,0.209236,Body
cg13845858,ABCA2,0.083535,Body
cg10275969,ABCA3,0.144205,Body
cg01807748,ABCA4,-0.217295,Body
cg17302455,ABCA5,-0.022401,5'UTR
cg12082025,ABCA7,0.145974,Body
cg03850529,ABCA8,-0.195618,5'UTR
cg01517431,ABCA9,-0.243856,TSS1500
cg00862116,ABCB1,0.229294,5'UTR
cg18313106,ABCB10,0.015041,TSS200
cg00295325,ABCB11,0.08914,TSS200
cg04219946,ABCB4,0.216,Body
cg20966504,ABCB5,0.119437,TSS1500
cg06716437,ABCB6,0.122951,TSS1500
cg17112266,ABCB8,0.080129,Body
cg03131767,ABCB9,-0.25595,5'UTR
cg09109383,ABCC1,0.288919,Body
cg25545088,ABCC10,0.079973,TSS1500
cg04388863,ABCC11,-0.279265,TSS1500
cg09648454,ABCC12,0.142661,Body
cg11429658,ABCC13,-0.151062,Body
cg14303526,ABCC2,-0.17517,Body
cg14592673,ABCC3,-0.29962,3'UTR
cg10304534,ABCC4,-0.183968,Body
cg01324343,ABCC5,0.048846,5'UTR
cg10024478,ABCC6,-0.179744,3'UTR
cg06535308,ABCC8,0.192642,Body
cg09711028,ABCC9,0.059521,Body
cg11790681,ABCD2,0.040979,1stExon
cg11237362,ABCD3,-0.320654,Body
cg05878073,ABCD4,0.185794,Body
cg01306662,ABCE1,0.014015,5'UTR
cg25632840,ABCF1,0.13755,Body
cg02148324,ABCF2,-0.168789,TSS1500
cg05629195,ABCF3,0.136143,TSS1500
cg27243685,ABCG1,0.234407,Body
cg24207176,ABCG2,0.184908,1stExon
cg03222066,ABCG4,0.121369,TSS1500
cg13591352,ABCG5,0.232679,Body
cg13724820,ABCG8,-0.249812,Body
cg03315230,ABHD1,-0.160927,Body
cg22488352,ABHD10,0.047759,TSS1500
cg23795429,ABHD11,-0.043087,Body
cg06082906,ABHD12,0.124288,Body
cg21052932,ABHD12B,-0.23241,5'UTR
cg13922111,ABHD13,0.007467,5'UTR
cg04210566,ABHD14A,0.24965,Body
cg18328933,ABHD14B,-0.057444,1stExon
cg23112192,ABHD15,0.077656,1stExon
cg10173620,ABHD2,-0.319703,5'UTR
cg05948372,ABHD3,-0.240771,Body
cg06813554,ABHD4,-0.057866,TSS1500
cg24595152,ABHD5,-0.098757,Body
cg17574812,ABHD6,-0.14759,Body
cg12247222,ABHD8,0.224406,3'UTR
cg17850367,ABI1,-0.177641,TSS1500
cg24747427,ABI2,0.097662,3'UTR
cg00980784,ABI3,0.182651,TSS200
cg15028548,ABI3BP,0.20678,5'UTR
cg13670057,ABL1,0.354926,Body
cg11243304,ABL2,-0.172308,3'UTR
cg04508114,ABLIM1,0.330869,TSS200
cg17949969,ABLIM2,0.288408,Body
cg10879397,ABLIM3,0.154229,Body
cg24267699,ABO,0.336952,TSS1500
cg08540215,ABP1,-0.258705,TSS1500
cg14236443,ABR,0.302628,Body
cg17049320,ABRA,-0.087694,TSS1500
cg06728252,ABT1,0.204217,Body
cg03330058,ABTB1,-0.101615,Body
cg10835651,ABTB2,-0.262701,Body
cg25525163,ACAA1,-0.017255,TSS200
cg06135495,ACAA2,0.141951,Body
cg17939040,ACACA,-0.311952,Body
cg15996769,ACACB,0.197877,Body
cg25200151,ACAD10,-0.093257,5'UTR
cg12293095,ACAD11,0.010906,Body
cg01692842,ACAD8,0.105312,Body
cg20083871,ACAD9,0.009428,1stExon
cg09068528,ACADL,0.274875,5'UTR
cg22875332,ACADM,0.091115,TSS1500
cg21721566,ACADS,0.183968,TSS1500
cg18474502,ACADSB,-0.070733,Body
cg24825722,ACADVL,0.118669,TSS1500
cg12497142,ACAN,-0.244414,Body
cg25900902,ACAP1,0.10674,Body
cg26111327,ACAP2,-0.220253,TSS1500
cg03003335,ACAP3,0.211627,Body
cg24079790,ACAT1,0.023113,Body
cg17952826,ACAT2,0.078009,TSS1500
cg02583796,ACBD3,0.05328,TSS1500
cg27395066,ACBD4,0.240242,3'UTR
cg00507135,ACBD5,-0.254665,Body
cg08650426,ACBD6,-0.014007,1stExon
cg02317321,ACBD7,0.022992,TSS1500
cg24613080,ACCN1,0.425215,TSS1500
cg16615454,ACCN2,0.23933,Body
cg10289177,ACCN3,0.127896,Body
cg06175981,ACCN4,0.219471,Body
cg15736994,ACCN5,-0.170647,Body
cg18265608,ACCS,0.267505,TSS1500
cg08403064,ACCSL,-0.217158,TSS1500
cg04265926,ACD,0.004176,TSS1500
cg21094739,ACE,-0.065791,Body
cg12999109,ACER1,-0.244952,5'UTR
cg14628274,ACER2,0.243787,Body
cg27121309,ACER3,-0.320006,3'UTR
cg04156293,ACHE,0.309211,Body
cg26960833,ACIN1,0.153507,Body
cg12641024,ACLY,-0.147466,5'UTR
cg26890182,ACMSD,0.178582,Body
cg00555456,ACN9,-0.135825,TSS1500
cg13567378,ACO1,-0.050312,5'UTR
cg03907864,ACO2,0.003967,TSS200
cg10266490,ACOT11,0.403446,TSS200
cg16381688,ACOT13,-0.023885,TSS1500
cg23519812,ACOT2,0.009868,Body
cg21233517,ACOT4,0.012729,TSS200
cg23657782,ACOT6,-0.003733,Body
cg10976772,ACOT7,0.366814,Body
cg08101264,ACOT8,0.271892,TSS1500
cg26205890,ACOX1,-0.271743,Body
cg16587010,ACOX2,0.194326,TSS1500
cg27080986,ACOX3,0.302766,Body
cg09756855,ACOXL,-0.23759,5'UTR
cg26398848,ACP1,-0.03187,TSS1500
cg18843836,ACP2,-0.025396,3'UTR
cg03302259,ACP5,-0.112466,TSS1500
cg01834614,ACP6,-0.096685,TSS1500
cg01335127,ACPL2,-0.22043,5'UTR
cg15958424,ACPP,-0.298644,TSS200
cg15782391,ACPT,-0.190146,TSS1500
cg08423507,ACR,0.125961,Body
cg12216208,ACRBP,0.189491,Body
cg27121267,ACRV1,0.061396,Body
cg10633664,ACSBG1,-0.151341,Body
cg18660278,ACSBG2,-0.058767,Body
cg15506894,ACSF2,-0.144079,Body
cg02505676,ACSF3,-0.105938,Body
cg07942479,ACSL1,-0.173949,TSS1500
cg25947773,ACSL3,-0.110876,5'UTR
cg16920551,ACSL5,0.19488,5'UTR
cg07870237,ACSL6,0.289082,TSS1500
cg01555300,ACSM1,-0.02627,3'UTR
cg00394823,ACSM3,-0.147831,TSS200
cg21343895,ACSM4,-0.086771,TSS1500
cg06686156,ACSM5,0.217133,TSS1500
cg15988792,ACSS1,0.205035,1stExon
cg06342430,ACSS2,-0.191796,TSS1500
cg11649376,ACSS3,0.10838,Body
cg02970384,ACTA1,0.294972,Body
cg19335412,ACTA2,-0.200565,3'UTR
cg04490349,ACTB,-0.091686,TSS1500
cg26657920,ACTBL2,-0.190114,TSS1500
cg19970883,ACTC1,-0.263012,3'UTR
cg19415364,ACTG1,0.013148,TSS200
cg25118606,ACTG2,0.208412,5'UTR
cg03667091,ACTL6A,-0.009033,5'UTR
cg24471254,ACTL6B,0.478936,Body
cg22482658,ACTL7A,-0.023256,TSS200
cg19863405,ACTL7B,-0.051695,TSS1500
cg03220543,ACTL8,-0.194829,5'UTR
cg19611002,ACTL9,-0.193992,TSS1500
cg20505457,ACTN1,0.312015,Body
cg18770350,ACTN2,0.381378,1stExon
cg05475524,ACTN3,0.343184,Body
cg26831416,ACTN4,0.116302,Body
cg08825816,ACTR10,0.008587,TSS200
cg26477793,ACTR1A,-0.006568,Body
cg06698844,ACTR1B,-0.046496,TSS1500
cg08053057,ACTR2,-0.023176,Body
cg12644353,ACTR3,0.012082,5'UTR
cg26993105,ACTR3B,0.049684,Body
cg11740103,ACTR3C,-0.115727,TSS200
cg18857314,ACTR5,-0.088457,Body
cg12056857,ACTR6,0.006307,TSS1500
cg20879770,ACTR8,0.117521,TSS1500
cg15211996,ACTRT2,-0.295114,TSS1500
cg09499849,ACVR1,0.391649,5'UTR
cg09039672,ACVR1B,0.122019,Body
cg24893551,ACVR1C,0.136919,Body
cg14425722,ACVR2A,0.158933,TSS1500
cg02147316,ACVR2B,-0.183011,Body
cg12193731,ACVRL1,0.335349,TSS1500
cg13151269,ACY1,0.022246,Body
cg23130075,ACY3,-0.156167,TSS1500
cg12075442,ACYP1,-0.116105,TSS1500
cg08363415,ACYP2,-0.011676,Body
cg20622019,ADA,-0.039003,Body
cg00152611,ADAD1,-0.163454,5'UTR
cg00225858,ADAD2,-0.142642,TSS1500
cg27481594,ADAL,-0.071551,5'UTR
cg02816525,ADAM10,0.011822,Body
cg25558103,ADAM11,0.271898,TSS1500
cg24166018,ADAM12,-0.228755,Body
cg24935121,ADAM15,-0.117531,TSS1500
cg01393184,ADAM17,0.006019,TSS200
cg05276226,ADAM18,-0.015149,TSS200
cg13667243,ADAM19,0.367266,Body
cg11186850,ADAM2,-0.012378,TSS200
cg04206389,ADAM20,-0.008632,5'UTR
cg03512208,ADAM21,-0.017533,TSS1500
cg19992629,ADAM21P1,-0.033834,TSS1500
cg14825462,ADAM22,0.201776,Body
cg12243681,ADAM23,-0.22293,Body
cg17969683,ADAM28,-0.095862,TSS200
cg08746033,ADAM29,-0.17568,Body
cg16166968,ADAM30,0.243184,1stExon
cg22848598,ADAM32,0.193805,TSS200
cg06251395,ADAM33,0.201724,TSS1500
cg10327428,ADAM5P,0.362083,TSS200
cg20433580,ADAM7,-0.223501,Body
cg12891178,ADAM8,0.123843,Body
cg13863753,ADAM9,0.007735,Body
cg14124415,ADAMTS1,-0.179849,Body
cg11590772,ADAMTS10,0.290736,Body
cg26573704,ADAMTS12,0.403968,TSS200
cg00115654,ADAMTS13,0.21033,Body
cg04838832,ADAMTS14,0.223138,Body
cg19333883,ADAMTS15,-0.053085,Body
cg15411554,ADAMTS16,-0.408221,Body
cg03300787,ADAMTS17,-0.228279,Body
cg26941368,ADAMTS18,-0.146937,TSS1500
cg13701109,ADAMTS19,0.100763,TSS1500
cg18275958,ADAMTS2,-0.35052,Body
cg19619405,ADAMTS20,0.447989,TSS200
cg01664241,ADAMTS3,0.290627,TSS1500
cg24329783,ADAMTS4,0.056462,3'UTR
cg15237494,ADAMTS5,0.254613,1stExon
cg16580073,ADAMTS6,-0.173032,3'UTR
cg04137171,ADAMTS7,0.295926,TSS1500
cg04268950,ADAMTS8,0.239435,TSS1500
cg22081832,ADAMTS9,0.26775,Body
cg16714091,ADAMTSL1,0.31414,TSS1500
cg13748845,ADAMTSL2,-0.329994,Body
cg01152302,ADAMTSL3,0.238333,5'UTR
cg15107203,ADAMTSL4,0.150981,Body
cg17147471,ADAMTSL5,0.279628,Body
cg15108645,ADAP1,0.193989,3'UTR
cg26069230,ADAP2,0.257246,Body
cg00048381,ADAR,0.193261,5'UTR
cg14526825,ADARB1,-0.242433,3'UTR
cg12090430,ADARB2,-0.342109,Body
cg07393169,ADAT1,0.036242,3'UTR
cg22800823,ADAT2,-0.028408,Body
cg20243900,ADAT3,-0.140154,5'UTR
cg05923595,ADC,0.297719,5'UTR
cg18505710,ADCK1,-0.245244,Body
cg17381426,ADCK2,-0.178359,Body
cg21956507,ADCK4,0.101144,3'UTR
cg06948878,ADCK5,0.138474,Body
cg24801123,ADCY1,-0.14724,Body
cg04556393,ADCY10,-0.22791,Body
cg07391392,ADCY2,-0.196063,Body
cg27107076,ADCY3,0.192376,Body
cg23179456,ADCY4,0.435473,TSS200
cg15464481,ADCY5,-0.280725,Body
cg26266429,ADCY6,-0.103324,Body
cg01187464,ADCY7,0.052671,3'UTR
cg07851738,ADCY8,-0.261967,Body
cg07906046,ADCY9,0.208523,Body
cg11859607,ADCYAP1,0.379376,Body
cg24384519,ADCYAP1R1,-0.374693,Body
cg00162104,ADD1,-0.11078,Body
cg17075459,ADD2,0.214313,Body
cg03962527,ADD3,0.278736,5'UTR
cg03806087,ADH1A,-0.053262,TSS1500
cg05641529,ADH1B,0.098425,TSS1500
cg15785860,ADH1C,-0.039005,TSS1500
cg18060627,ADH5,0.133978,Body
cg08988543,ADH6,-0.016676,5'UTR
cg09954820,ADH7,-0.05002,TSS1500
cg16642695,ADHFE1,-0.223398,TSS1500
cg01370334,ADI1,0.069411,Body
cg23607622,ADIG,-0.217105,Body
cg03573747,ADIPOQ,-0.19347,5'UTR
cg17218466,ADIPOR1,-0.31624,TSS1500
cg21601852,ADIPOR2,0.017147,3'UTR
cg12505085,ADK,0.203355,Body
cg08259810,ADM,-0.100667,TSS1500
cg13332571,ADM2,-0.231753,3'UTR
cg12093180,ADNP,0.10925,TSS1500
cg26914205,ADNP2,0.166591,TSS1500
cg16863332,ADO,0.085358,3'UTR
cg03547181,ADORA1,0.233828,TSS200
cg26001125,ADORA2A,-0.08675,TSS1500
cg07563400,ADORA2B,0.356269,Body
cg14669379,ADORA3,0.4072,Body
cg00484488,ADPGK,0.140357,TSS1500
cg16904330,ADPRH,0.308132,5'UTR
cg20619751,ADPRHL1,-0.236059,Body
cg09506001,ADPRHL2,0.224923,3'UTR
cg22461835,ADRA1A,0.224574,TSS1500
cg16162590,ADRA1B,-0.181829,Body
cg12215340,ADRA1D,0.254595,1stExon
cg05563110,ADRA2A,0.192054,1stExon
cg21542793,ADRA2B,0.197048,TSS200
cg10235817,ADRA2C,0.223175,1stExon
cg05575054,ADRB1,0.334772,1stExon
cg21580376,ADRB2,0.125973,1stExon
cg22275864,ADRB3,0.289762,Body
cg09688579,ADRBK1,0.145583,Body
cg15154002,ADRBK2,0.039236,Body
cg08178815,ADRM1,-0.165752,Body
cg13370427,ADSL,-0.034011,Body
cg16991858,ADSS,-0.218866,Body
cg10797850,ADSSL1,-0.21045,3'UTR
cg10873171,AEBP1,0.284039,Body
cg16822174,AEBP2,-0.05757,Body
cg12741645,AEN,0.247289,5'UTR
cg05350224,AES,0.196213,3'UTR
cg23750206,AFAP1,0.381357,5'UTR
cg09651145,AFAP1L1,0.407643,TSS1500
cg06346505,AFAP1L2,0.213317,TSS200
cg19777710,AFARP1,-0.129385,TSS1500
cg26245086,AFF1,-0.271217,5'UTR
cg14445389,AFF3,-0.29871,Body
cg26090469,AFF4,-0.016407,Body
cg05142148,AFG3L1,0.033401,Body
cg03766998,AFG3L2,-0.048596,TSS1500
cg00797183,AFM,-0.051778,3'UTR
cg21940220,AFMID,-0.121143,Body
cg24607290,AFTPH,0.00414,5'UTR
cg14772412,AGA,-0.113628,3'UTR
cg09701233,AGAP1,-0.352149,Body
cg14209784,AGAP11,0.150227,TSS1500
cg01595558,AGAP2,-0.18849,Body
cg18449052,AGAP3,0.139376,3'UTR
cg18442758,AGAP7,-0.004048,TSS1500
cg04170298,AGBL1,-0.26759,Body
cg16174121,AGBL2,-0.057586,1stExon
cg24097460,AGBL3,0.100062,TSS1500
cg24553170,AGBL4,0.273591,Body
cg01947906,AGBL5,0.092782,3'UTR
cg23177883,AGER,0.128929,Body
cg06118116,AGFG1,-0.117057,TSS1500
cg19543017,AGFG2,-0.080424,3'UTR
cg27064238,AGGF1,-0.022156,TSS1500
cg02137183,AGK,0.201179,TSS1500
cg25758167,AGL,-0.210299,TSS1500
cg17385448,AGMAT,-0.113078,TSS200
