Probe_ID,import_level_in_forest,gene
cg03520644,0.002860588594606843,COL11A1
cg05047401,0.031341581676448134,SEMA4A
cg06355129,0.003966758193008743,NES
cg14156405,0.0005366205720283144,RGS7
cg15031661,0.0002872554596692529,FMN2
cg17154724,0.00012482468443197762,DNM3
cg23049458,0.02315159761925073,L1TD1
cg26841013,0.0015660589341456165,WNT3A
cg04037038,0.0,FRZB
cg19053239,0.0009781478247369148,KIF5C
cg00907288,0.0001907824222936763,SRGAP3
cg02164046,0.030686130196847548,SST
cg27083087,0.010581766801965648,VGLL4
cg00875805,0.0012838115837915122,MAML3
cg03544320,0.0005073326115922725,CRMP1
cg05164933,0.0005710227427209127,SFRP2
cg14866200,0.0002746913580246914,SHISA3
cg08862890,0.0006196013754217442,DOCK2
cg08481075,0.00032162005330219973,COL11A2
cg17264670,0.0,RGS17
cg18675097,0.07622317089091622,NKAPL
cg00840332,0.0,LEP
cg04778012,0.0014896076994304766,STAG3
cg13476133,0.0007051390410240467,GCK
cg27494647,0.013934618415307009,RARRES2
cg04842146,0.00023709623709623718,RALYL
cg07792478,0.00024433463112708275,MIR124-2
cg16783744,0.002383412562161936,DPYS
cg23290344,0.0047940956505234025,NEFM
cg24848035,0.02543968890934111,RGS22
cg14416311,0.0009044725854641463,GAS1
cg06304097,0.0004526670481276624,TCERG1L
cg09053680,0.001607581675501184,UTF1
cg12377139,0.02191361713032584,SPAG6
cg22831607,0.0006359134688212478,SFRP5
cg24680586,0.001645229251202603,INA
cg12161228,0.0,NOX4
cg14416371,0.00019197066515678498,MIR129-2
cg19811337,0.0031204878803872157,MAP3K11
cg25774643,0.0007513369987908529,SCT
cg00765705,0.002385649362249335,NCOR2
cg06947913,0.0016686749787215812,FAIM2
cg17241776,0.0007766108856244472,DLEU7
cg25032595,0.01797947323893371,CLDN10
cg05057720,0.016854459777425175,CLEC14A
cg07445246,0.019305354743125933,TCL1A
cg05905176,0.0008844175166021371,TNFAIP8L3
cg08680048,0.00027477616548317405,ITPKA
cg18582992,0.00036179492093358246,SHF
cg02732252,0.0018724361912551377,CLDN6
cg03306374,0.0021562078810126954,PRKCB
cg16596604,0.0021503640166385036,CRYM
cg00164949,0.0,C1QL1
cg01452847,0.0020386563258727552,MIR196A1
cg02374745,0.0027631871217389235,FBXO39
cg02745847,0.0,IGF2BP1
cg04946749,0.00018819480355456139,MGAT5B
cg05306745,0.00034755913788794314,TIMP2
cg14002960,0.0010217455734697113,NOL4
cg02571816,0.0,PPP1R14A
cg07517893,0.011288844179953192,PPP1R13L
cg22694191,0.00012718828152911754,HAPLN4
cg25352836,0.07570211608089114,TSSK6
cg26870725,0.0017840038459115673,MAST1
cg17508991,0.0031230059233826224,HCK
cg18759209,0.0008329455143823726,BMP7
cg19593767,0.00036752686328303644,TOX2
cg26995244,0.08429037164139794,PRR5
cg00630958,0.00012040043290043291,LEPR
cg05374271,0.0016067398826538288,RGS2
cg07810039,0.00035513267543985463,TGFB2
cg09649610,0.00026283862522548395,GNG4
cg10896862,0.00020602947060930523,MPZ
cg17080882,0.007234932751095043,TGFBR3
cg18877506,0.00019640295707823023,PDPN
cg22877509,0.0,RUSC1
cg25839439,0.013578590758764459,CAPZB
cg09211763,0.0,COL5A2
cg09499849,0.0,ACVR1
cg12001304,0.0,SPHKAP
cg16751493,0.0006011280413408765,PPP1R7
cg01009664,0.0007411522970929914,TRH
cg02534363,0.0,NBEAL2
cg15873301,0.0,SYN2
cg01114088,0.0002249519765443333,CYTL1
cg13870520,0.0035267151195757435,SCARB2
cg19974227,0.0,RGS12
cg21899596,0.0,HOPX
cg23750206,0.0006465392568785007,AFAP1
cg00489401,0.0,FLT4
cg07100000,0.0015000651025209601,FGF18
cg08351336,0.0006437931351148976,CARTPT
cg09651145,0.0013311617146246296,AFAP1L1
cg12290311,0.00036189064580231784,DAB2
cg07979401,0.0,LEMD2
cg15925365,0.001520487586641607,GSTA4
cg20624391,0.0002946044356173454,BVES
cg23165899,0.0,ID4
cg00764217,0.00018384631274530056,ST7
cg01158680,0.0,MAGI2
cg05158615,0.0055664682711984515,NPY
cg07469637,0.0006271204133827442,CDK6
cg16260298,0.0,CAV2
cg17437939,0.00035010300683675603,TAC1
cg18451588,0.0,PRR15
cg21179088,0.0,VSTM2A
cg03348397,0.0003168669336893637,RGS20
cg04127342,0.00037455294373937273,PENK
cg07581623,0.02282725778575813,DPYSL2
cg09159022,0.00130874349372844,CSMD1
cg14284618,0.001166184292412939,TACC1
cg24586039,0.000658076143969561,RBPMS
cg08076018,0.0008067803210975371,ANGPTL2
cg12717594,0.0,RECK
cg13670057,0.006491910353197001,ABL1
cg06169131,0.0003331632551085927,FGF8
cg06276663,0.0007617325706678838,SH3PXD2A
cg10119075,0.0,ITIH5
cg04142864,0.00017667493796526057,PHLDB1
cg11718030,0.0,BDNF
cg15918732,0.0,SERPING1
cg18710784,0.00035190432128108827,OPCML
cg25272143,0.0006351358949249384,AHNAK
cg05741937,0.004007520245145004,TXNRD1
cg07783282,0.007975630284865852,USP44
cg12122146,0.0,TMEM132D
cg13391820,0.0,CCND2
cg15341350,0.00011492768595041319,SRRM4
cg24973993,0.00475629629575861,CIT
cg13799919,0.000386823388753112,POLR1D
cg16727923,0.006279770595287924,SLITRK1
cg01537995,0.00022095332671300902,FLRT2
cg12425861,0.0002944108296761223,PACS2
cg18081258,0.0007261120782936763,NDRG2
cg24319381,0.0,CPEB1
cg26405020,0.0029314856481991816,FES
cg09743950,0.00043510808952715616,ITGAM
cg03635766,0.005256327965706068,IGFBP4
cg04191427,0.0018338464142426516,RPTOR
cg04918402,0.0011415210339432193,LIMD2
cg10588135,0.0004932656845365446,BCAS3
cg11859607,0.0008761353775935397,ADCYAP1
cg03576469,0.0,CCDC8
cg09293816,0.0026876633563984063,FCGRT
cg12034943,0.00040491355777979985,CRTC1
cg21514227,0.0002618706094376403,NOTCH3
cg06571407,0.00023627011780321893,CD40
cg24182521,0.0005168966871653787,PLTP
cg26029902,0.0034813459077581137,RAB22A
cg26186239,0.0060413732167710205,EEF1A2
cg19678828,0.0006878744116388534,CYYR1
cg20486569,0.0,CLDN5
