ID,gene,dbeta,feature
cg01723761,A2LD1,-0.043872,TSS200
cg23669440,A4GNT,-0.165524,TSS1500
cg05399607,AAA1,-0.176053,TSS1500
cg21473545,AACSL,-0.11501,TSS200
cg13001012,AADAC,-0.006571,TSS1500
cg25159668,AADACL2,-0.015956,TSS1500
cg06751920,AADACL4,-0.104451,TSS1500
cg00150882,AADAT,0.078042,TSS1500
cg05523882,AARS,-0.135095,TSS1500
cg00910127,AARS2,-0.151358,TSS1500
cg00016255,AARSD1,-0.073222,TSS1500
cg12283482,AASDH,-0.113609,TSS1500
cg13806966,ABCA2,-0.285852,TSS1500
cg10187674,ABCA5,-0.187379,TSS1500
cg01517431,ABCA9,-0.192522,TSS1500
cg06716437,ABCB6,0.06927,TSS1500
cg04388863,ABCC11,-0.157851,TSS1500
cg24476569,ABCC4,-0.125789,TSS1500
cg21253282,ABCE1,-0.008877,TSS200
cg02148324,ABCF2,-0.168894,TSS1500
cg13491563,ABCF3,-0.207062,TSS1500
cg22488352,ABHD10,0.015706,TSS1500
cg00966780,ABHD11,-0.03423,TSS1500
cg01806590,ABHD4,0.088934,TSS1500
cg24530660,ABI2,0.029957,TSS1500
cg08540215,ABP1,-0.182254,TSS1500
cg08837344,ABRA,-0.089375,TSS200
cg18353563,ABTB1,-0.113011,TSS1500
cg06069310,ACAA1,-0.042188,TSS1500
cg02022322,ACACB,-0.173901,TSS1500
cg01958008,ACAD9,-0.029625,TSS1500
cg22875332,ACADM,-0.063337,TSS1500
cg27621340,ACAN,0.262182,TSS1500
cg11807006,ACAP1,-0.171977,TSS200
cg24613080,ACCN1,0.429284,TSS1500
cg18265608,ACCS,-0.095251,TSS1500
cg08403064,ACCSL,-0.239695,TSS1500
cg02812142,ACMSD,-0.204664,TSS1500
cg00555456,ACN9,-0.016389,TSS1500
cg00159442,ACO2,0.001338,TSS200
cg10266490,ACOT11,0.31817,TSS200
cg16381688,ACOT13,-0.057135,TSS1500
cg08101264,ACOT8,0.095343,TSS1500
cg06768993,ACOX3,-0.183155,TSS1500
cg26398848,ACP1,0.024364,TSS1500
cg17658002,ACP5,-0.184817,TSS1500
cg09264377,ACP6,-0.187276,TSS1500
cg19541865,ACPP,-0.282105,TSS1500
cg15782391,ACPT,-0.174999,TSS1500
cg26034629,ACR,-0.15381,TSS1500
cg12007596,ACRBP,0.170042,TSS200
cg13996999,ACSBG2,-0.216701,TSS200
cg16066219,ACSL5,0.145811,TSS1500
cg07870237,ACSL6,0.200697,TSS1500
cg10078415,ACSM3,-0.233361,TSS1500
cg21343895,ACSM4,-0.166365,TSS1500
cg06342430,ACSS2,-0.085206,TSS1500
cg11659501,ACSS3,0.143148,TSS200
cg04490349,ACTB,-0.098856,TSS1500
cg26657920,ACTBL2,-0.162822,TSS1500
cg25198545,ACTL6A,0.014719,TSS200
cg22482658,ACTL7A,-0.019323,TSS200
cg19863405,ACTL7B,-0.040385,TSS1500
cg19611002,ACTL9,-0.220987,TSS1500
cg06177278,ACTN2,-0.250754,TSS1500
cg08825816,ACTR10,0.012424,TSS200
cg06698844,ACTR1B,-0.212313,TSS1500
cg11740103,ACTR3C,-0.131877,TSS200
cg00986050,ACTR5,0.009992,TSS200
cg12056857,ACTR6,0.016329,TSS1500
cg20879770,ACTR8,0.074076,TSS1500
cg14420245,ACVR2A,0.097937,TSS1500
cg12193731,ACVRL1,0.287209,TSS1500
cg18509826,ACY1,0.010136,TSS200
cg01903327,ACYP1,-0.092536,TSS1500
cg25558103,ADAM11,0.327096,TSS1500
cg07078329,ADAM17,-0.171551,TSS1500
cg15352186,ADAM2,-0.096532,TSS200
cg03512208,ADAM21,-0.168413,TSS1500
cg19992629,ADAM21P1,-0.042977,TSS1500
cg24399540,ADAM23,0.229696,TSS1500
cg17969683,ADAM28,-0.152612,TSS200
cg06251395,ADAM33,0.20214,TSS1500
cg14742937,ADAM5P,0.320792,TSS200
cg17897391,ADAM7,-0.157369,TSS1500
cg01759110,ADAMDEC1,-0.062142,TSS200
cg02186542,ADAMTS18,0.177265,TSS200
cg05211662,ADAMTS19,0.183031,TSS1500
cg19619405,ADAMTS20,0.429137,TSS200
cg02462195,ADAMTS5,0.305258,TSS1500
cg04863713,ADAMTSL4,-0.087995,TSS1500
cg01915822,ADCK5,-0.189968,TSS1500
cg24676071,ADCY1,0.2816,TSS1500
cg04907257,ADCY2,0.368041,TSS1500
cg16888658,ADCY3,-0.383816,TSS200
cg12265829,ADCY4,0.317329,TSS200
cg03806087,ADH1A,0.007168,TSS1500
cg15395354,ADH1B,0.072535,TSS1500
cg00689360,ADH1C,-0.094443,TSS200
cg12011299,ADH4,0.075473,TSS200
cg23249140,ADIPOQ,-0.144188,TSS200
cg17218466,ADIPOR1,-0.267062,TSS1500
cg08259810,ADM,-0.096708,TSS1500
cg02893180,ADM2,0.182255,TSS1500
cg24959938,ADNP2,-0.126933,TSS200
cg26001125,ADORA2A,-0.173598,TSS1500
cg19245381,ADORA2B,0.093539,TSS1500
cg21542793,ADRA2B,0.216251,TSS200
cg04578317,ADSSL1,-0.168645,TSS1500
cg19777710,AFARP1,-0.117402,TSS1500
cg10778295,AFP,-0.055137,TSS1500
cg14209784,AGAP11,0.216037,TSS1500
cg09205595,AGAP3,0.269757,TSS1500
cg16299440,AGAP7,-0.034363,TSS1500
cg24097460,AGBL3,0.022419,TSS1500
cg14424579,AGBL5,-0.023634,TSS200
cg06118116,AGFG1,-0.117541,TSS1500
cg27064238,AGGF1,-0.028909,TSS1500
cg25758167,AGL,-0.089808,TSS1500
cg17385448,AGMAT,-0.200151,TSS200
cg12565635,AGR2,-0.268007,TSS1500
cg11039314,AGR3,-0.115298,TSS200
cg05382012,AGRP,0.031013,TSS200
cg05710753,AGTR1,0.218584,TSS1500
cg08425760,AGTRAP,0.180336,TSS1500
cg11385353,AGXT,-0.155105,TSS200
cg09745307,AGXT2,-0.327906,TSS1500
cg19595244,AHCYL1,0.191363,TSS1500
cg23447569,AHNAK,-0.19357,TSS1500
cg13676215,AHR,-0.237466,TSS1500
cg17151621,AHSG,-0.137222,TSS1500
cg01674119,AIF1,0.104831,TSS1500
cg14006239,AIF1L,-0.132503,TSS1500
cg10636246,AIM2,-0.301769,TSS1500
cg21052656,AIP,-0.362476,TSS1500
cg20959866,AJAP1,0.341283,TSS1500
cg13993274,AK3,0.067022,TSS1500
cg23013958,AK3L1,-0.149202,TSS1500
cg16409049,AK5,0.136869,TSS1500
cg11630242,AKAP10,0.136393,TSS1500
cg03130816,AKIRIN1,0.106751,TSS1500
cg04663564,AKR1B1,-0.218452,TSS1500
cg10158681,AKR1C2,-0.105877,TSS1500
cg02435427,AKR1C4,-0.073717,TSS1500
cg15002691,AKR1D1,-0.131929,TSS200
cg12255897,AKR1E2,0.146152,TSS200
cg12798157,AKR7L,0.302434,TSS200
cg11739626,AKT1S1,-0.08181,TSS1500
cg03929796,ALAS1,-0.1453,TSS1500
cg01812894,ALDH1A1,-0.09489,TSS1500
cg16771578,ALDH1L1,0.158227,TSS1500
cg10887937,ALDH2,-0.111458,TSS1500
cg24563501,ALDH3B2,-0.223846,TSS1500
cg25375764,ALDH5A1,0.128,TSS1500
cg17653368,ALDH7A1,0.146505,TSS200
cg20352402,ALDH8A1,0.084248,TSS200
cg26181372,ALDOB,-0.099404,TSS1500
cg13344757,ALDOC,-0.092646,TSS1500
cg14795047,ALG10B,0.007156,TSS200
cg07148139,ALG11,0.011607,TSS1500
cg21157234,ALG2,0.008804,TSS1500
cg11708795,ALG5,-0.011516,TSS1500
cg02623413,ALG6,-0.009648,TSS1500
cg15117252,ALG8,0.004154,TSS200
cg14528835,ALG9,-0.141193,TSS1500
cg20385229,ALKBH1,-0.194752,TSS1500
cg04380213,ALKBH2,-0.122541,TSS1500
cg08337366,ALKBH7,-0.107281,TSS1500
cg23153730,ALMS1,0.006853,TSS200
cg03404566,ALOX12,-0.086992,TSS200
cg10227358,ALOX15,0.216697,TSS200
cg25138484,ALPP,-0.108736,TSS1500
cg07777793,ALPPL2,-0.110694,TSS1500
cg02223905,ALS2CL,-0.111263,TSS1500
cg10221596,ALS2CR12,0.184456,TSS200
cg23523215,ALS2CR4,-0.151646,TSS1500
cg19847477,ALS2CR8,0.006058,TSS1500
cg25800765,ALX1,0.384544,TSS1500
cg08149193,ALX4,0.405723,TSS1500
cg17364949,AMAC1L3,0.050535,TSS1500
cg13523386,AMBN,-0.022716,TSS200
cg13003878,AMBP,-0.086509,TSS200
cg08198187,AMN1,-0.274436,TSS1500
cg07329251,AMPD3,-0.247801,TSS200
cg15417488,ANAPC5,-0.110298,TSS1500
cg12090942,ANGEL1,-0.190297,TSS1500
cg14610958,ANGEL2,-0.227383,TSS1500
cg05630800,ANGPTL1,0.166178,TSS200
cg08076018,ANGPTL2,0.216087,TSS200
cg12593411,ANGPTL6,-0.099464,TSS1500
cg19737225,ANKLE1,-0.173308,TSS200
cg22468803,ANKRD12,-0.017995,TSS1500
cg20163243,ANKRD19,-0.03392,TSS1500
cg23363202,ANKRD20B,0.050166,TSS200
cg08856118,ANKRD26,-0.149992,TSS1500
cg26646567,ANKRD26P1,-0.149705,TSS1500
cg18493238,ANKRD30A,-0.052945,TSS1500
cg23457837,ANKRD31,-0.003119,TSS200
cg12053065,ANKRD33,0.102784,TSS200
cg26305827,ANKRD34B,-0.116811,TSS1500
cg27295832,ANKRD34C,0.234368,TSS1500
cg26926904,ANKRD37,0.013177,TSS1500
cg03173367,ANKRD39,-0.07955,TSS1500
cg20807852,ANKRD40,-0.090656,TSS1500
cg02266452,ANKRD42,0.025243,TSS200
cg25641145,ANKRD46,-0.249135,TSS1500
cg04737087,ANKRD53,-0.271057,TSS1500
cg27488279,ANKRD7,-0.139841,TSS200
cg09829636,ANKRD9,-0.148408,TSS1500
cg08030625,ANKS4B,-0.107109,TSS200
cg23235291,ANKZF1,0.006777,TSS200
cg25028542,ANLN,-0.093114,TSS1500
cg25027699,ANO4,-0.260188,TSS1500
cg02130133,ANO5,-0.146989,TSS1500
cg25286711,ANP32D,-0.020444,TSS200
cg00476580,ANP32E,0.021682,TSS1500
cg19405555,ANPEP,0.15412,TSS1500
cg10430941,ANTXRL,-0.178261,TSS1500
cg05272888,ANUBL1,-0.045598,TSS1500
cg06964816,ANXA3,-0.070089,TSS200
cg07337598,ANXA9,-0.179629,TSS1500
cg27568321,AP1AR,-0.022142,TSS200
cg10407113,AP1G1,-0.147434,TSS1500
cg02415661,AP1M1,-0.127323,TSS1500
cg00042882,AP1S1,-0.21987,TSS1500
cg14815743,AP2S1,0.128399,TSS1500
cg24814117,AP3B1,-0.06898,TSS1500
cg18404652,AP3M2,-0.105378,TSS1500
cg04872610,AP4B1,-0.127537,TSS1500
cg06730285,APBB3,-0.092629,TSS1500
