gene,ID_TCGA,dbeta_TCGA,feature_TCGA,ID_GEO,dbeta_GEO,feature_GEO
ACCN1,cg14603098,0.381269,TSS1500,cg24613080,0.227991,TSS1500
ACE,cg02131967,0.410417,TSS1500,cg09920557,0.236497,TSS1500
ADAMTS12,cg26573704,0.530484,TSS200,cg26573704,0.322027,TSS200
ADCY4,cg23179456,0.593492,TSS200,cg12265829,0.282241,TSS200
AFAP1L1,cg09651145,0.458358,TSS1500,cg09651145,0.282019,TSS1500
ALDH1L1,cg07330230,0.467413,TSS1500,cg11022432,0.308101,TSS1500
ANK1,cg14904662,0.456734,TSS1500,cg27498387,0.230629,TSS1500
ANXA2,cg20118643,0.529047,TSS1500,cg20118643,0.290101,TSS1500
ATOH1,cg15076145,0.387917,TSS1500,cg03369807,0.234902,TSS1500
ATP5G2,cg04418091,0.379246,TSS1500,cg04418091,0.246639,TSS1500
ATXN7L1,cg11617147,0.436321,TSS1500,cg18664667,0.297435,TSS1500
BICC1,cg09696939,0.446333,TSS1500,cg09696939,0.26823,TSS1500
BMP7,cg18759209,0.435679,TSS1500,cg18759209,0.260653,TSS1500
BOLA3,cg04542030,0.374259,TSS1500,cg04542030,0.305218,TSS1500
C11orf41,cg11623855,-0.387327,TSS200,cg11623855,-0.215717,TSS200
C11orf93,cg26459819,0.416798,TSS1500,cg10045354,0.267563,TSS1500
C11orf95,cg04986616,0.399983,TSS1500,cg09907758,0.324533,TSS1500
C1orf114,cg23818870,0.437936,TSS200,cg08047907,0.36475,TSS200
C2orf55,cg04787024,0.41499,TSS1500,cg17968795,0.260075,TSS1500
C2orf88,cg10168635,0.478338,TSS1500,cg08350814,0.361177,TSS1500
C3orf55,cg08504812,0.395708,TSS1500,cg08504812,0.24867,TSS1500
C3orf63,cg10908188,-0.412559,TSS1500,cg10908188,-0.232804,TSS1500
C7orf16,cg23348723,-0.426074,TSS1500,cg23348723,-0.229709,TSS1500
CA3,cg18674980,0.39373,TSS1500,cg07560510,0.283695,TSS1500
CAV1,cg17469978,0.408219,TSS200,cg17469978,0.280787,TSS200
CBX5,cg20687242,0.519533,TSS200,cg23824801,0.279102,TSS200
CCDC8,cg03576469,0.539237,TSS200,cg03576469,0.316289,TSS200
CCK,cg11142705,0.420773,TSS1500,cg11142705,0.297212,TSS1500
CD44,cg20143092,0.389448,TSS200,cg20143092,0.254485,TSS200
CDH23,cg24331301,0.480951,TSS1500,cg15323528,0.258901,TSS1500
CECR6,cg12441967,0.393846,TSS1500,cg12441967,0.310122,TSS1500
CFTR,cg00735923,0.422292,TSS200,cg17204129,0.284143,TSS1500
CLIP4,cg23428985,0.53498,TSS200,cg13257636,0.335487,TSS200
CNN3,cg18344652,0.447113,TSS1500,cg26227186,0.217355,TSS1500
CUGBP2,cg12178980,0.374341,TSS200,cg26150462,0.216663,TSS200
CUL1,cg03789645,0.420695,TSS1500,cg03789645,0.287059,TSS1500
CXCL1,cg02029926,0.434126,TSS1500,cg02029926,0.23469,TSS1500
CYP1A1,cg13570656,0.373713,TSS1500,cg22549041,0.258575,TSS1500
DCTN1,cg20303028,0.40066,TSS200,cg20303028,0.267811,TSS200
DDIT4L,cg08663159,0.407896,TSS1500,cg25071651,0.241112,TSS1500
DSCR6,cg16886987,0.42794,TSS1500,cg04965987,0.234631,TSS1500
DSE,cg09025324,0.438588,TSS1500,cg09025324,0.339851,TSS1500
DTNA,cg26530706,0.408595,TSS200,cg22009464,0.273753,TSS200
DUOX1,cg13605988,0.380137,TSS1500,cg06127885,0.229406,TSS1500
EFS,cg18844382,0.49463,TSS200,cg16585972,0.281456,TSS1500
EGFLAM,cg16317273,0.484771,TSS1500,cg15182643,0.281465,TSS1500
ENPP2,cg02156680,0.463145,TSS1500,cg02156680,0.2858,TSS1500
EPSTI1,cg22905097,0.382071,TSS200,cg19915711,0.345309,TSS200
EYA4,cg20787173,0.484922,TSS200,cg02446647,0.225266,TSS1500
FAM81A,cg25489866,0.418229,TSS1500,cg25489866,0.217191,TSS1500
FBN2,cg27223047,0.425691,TSS1500,cg27223047,0.240088,TSS1500
FBXO17,cg06244497,0.459667,TSS200,cg06244497,0.226464,TSS200
FBXO30,cg23095615,0.509274,TSS1500,cg09094393,0.349845,TSS1500
FCER1A,cg14696870,-0.401434,TSS1500,cg14696870,-0.237895,TSS1500
FJX1,cg23083315,0.42038,TSS200,cg04573276,0.313553,TSS200
FLOT1,cg13804182,0.396434,TSS1500,cg16493531,0.212481,TSS1500
GCNT2,cg12242450,0.366342,TSS200,cg12242450,0.212394,TSS200
GDAP1L1,cg09994356,0.501098,TSS200,cg09994356,0.277239,TSS200
GFRA3,cg09350274,0.449196,TSS200,cg09350274,0.291592,TSS200
GIT1,cg12080909,0.366381,TSS1500,cg12080909,0.314829,TSS1500
GLI3,cg25726664,0.43583,TSS1500,cg02483271,0.258636,TSS1500
GPR88,cg06223162,0.364998,TSS200,cg06223162,0.259837,TSS200
GPX3,cg13081720,0.37212,TSS200,cg13081720,0.290275,TSS200
GREM1,cg18145505,0.369786,TSS1500,cg18145505,0.283323,TSS1500
GRHL3,cg14616251,0.466417,TSS1500,cg22176324,0.331077,TSS1500
HAAO,cg08421126,0.445477,TSS200,cg01561916,0.303904,TSS1500
HES5,cg09827752,0.479556,TSS200,cg09827752,0.235023,TSS200
HIF3A,cg14117138,0.582526,TSS1500,cg14088357,0.308606,TSS1500
ICAM4,cg14993276,0.384289,TSS200,cg14993276,0.23966,TSS200
IFNGR2,cg22212414,0.421409,TSS200,cg24865779,0.276711,TSS200
ITIH5,cg10119075,0.493791,TSS1500,cg10119075,0.325386,TSS1500
JDP2,cg10101773,0.401647,TSS1500,cg10101773,0.241601,TSS1500
KIAA1751,cg26067203,0.421318,TSS200,cg26067203,0.230389,TSS200
KLHDC8A,cg07429623,0.367621,TSS200,cg07429623,0.254932,TSS200
KLK13,cg20104456,0.413743,TSS200,cg20104456,0.29339,TSS200
LAMA2,cg20640433,0.436823,TSS200,cg20640433,0.274944,TSS200
LDB1,cg25170591,0.479776,TSS1500,cg26412532,0.238236,TSS1500
LOC149134,cg03596016,0.592912,TSS1500,cg15176829,0.305149,TSS1500
LOC340094,cg08596532,-0.410098,TSS1500,cg13453847,-0.218851,TSS200
LPAR1,cg14102988,0.435269,TSS1500,cg14563260,0.333505,TSS1500
LUZP1,cg26530485,0.36041,TSS1500,cg26530485,0.234498,TSS1500
MARVELD1,cg06679087,0.461957,TSS1500,cg23733123,0.265847,TSS1500
MGC16275,cg13727849,0.401022,TSS1500,cg13727849,0.3076,TSS1500
MGC42105,cg21098557,0.408853,TSS1500,cg23502772,0.300842,TSS1500
MIR663,cg20395967,0.360793,TSS1500,cg10715092,0.214277,TSS1500
MIR9-1,cg26371731,0.438468,TSS200,cg20582655,0.210405,TSS200
MYCL1,cg15355146,0.361681,TSS1500,cg15355146,0.223718,TSS1500
