Unnamed: 0,gene
cg01324343,ABCC5
cg01306662,ABCE1
cg24079790,ACAT1
cg26398848,ACP1
cg04490349,ACTB
cg25198545,ACTL6A
cg06698844,ACTR1B
cg12644353,ACTR3
cg18959907,ACYP2
cg20622019,ADA
cg24441324,ADAMTSL4
cg21601852,ADIPOR2
cg25800328,AGBL2
cg06810461,AGRP
cg10158681,AKR1C2
cg16675581,AKR7A2
cg03237166,ALDH1B1
cg21882356,ANG
cg05954266,ANKHD1-EIF4EBP3
cg22468803,ANKRD12
cg11660725,ANKRD26
cg11731892,ANKRD36B
cg25028542,ANLN
cg02340851,ANP32E
cg05644480,APOC1
cg21084260,APOD
cg09633881,APTX
cg04838107,ARF6
cg22526226,ARID2
cg14077301,ARID4A
cg25036197,ARIH1
cg11827082,ARL11
cg21070272,ARL13B
cg27147556,ARL4D
cg01519350,ARMC8
cg07504428,ARRDC3
cg09292077,ASH1L
cg01583265,ASNS
cg14212631,ASPM
cg13321900,ATAD3A
cg06377929,ATAD3B
cg04122974,ATF4
cg26915351,ATG9A
cg12848864,ATM
cg21566348,ATP11B
cg17784027,ATP6V0D2
cg12927753,B3GALNT1
cg00174654,BCAS2
cg03354616,BCKDHB
cg24843609,BGLAP
cg20358655,BIRC3
cg13410000,BLM
cg04940109,BMPR2
cg12810264,BMS1
cg26276233,BRCA1
cg12435611,BRIP1
cg15506587,BTBD10
cg10170443,BTF3
cg01840268,BTN3A1
cg14345882,BTN3A2
cg10633981,C11orf58
cg27509381,C1QBP
cg00000108,C3orf35
cg19518232,C4orf3
cg24317406,CACYBP
cg14457132,CAGE1
cg00449067,CALCRL
cg09473576,CAMK2N1
cg10826045,CAPNS1
cg07003563,CAPZA1
cg04277677,CARD10
cg26944011,CASC1
cg04864609,CBX1
cg17144760,CCDC34
cg08201690,CCNA2
cg03950590,CCNB2
cg00628130,CCNE2
cg17381847,CCNG1
cg17512133,CCNI
cg27198997,CCR9
cg17510320,CCS
cg12126686,CD22
cg07458509,CD320
cg04171808,CD44
cg22183016,CD74
cg10327440,CDC42BPA
cg09955152,CDCA5
cg12477119,CDK12
cg15241520,CDK2AP2
cg01145389,CDKN2C
cg06884314,CENPE
cg09298289,CENPH
cg26517889,CENPJ
cg18192574,CENPK
cg24334259,CEP70
cg18247339,CFL2
cg20535781,CHFR
cg03916225,CHI3L2
cg20448129,CHORDC1
cg05342655,CHST15
cg05917963,CHUK
cg08997021,CKAP2
cg04394390,CMTM4
cg06814892,COMMD10
cg00682015,COMMD6
cg16609941,COPB2
cg24797830,COPS6
cg09618028,COX11
cg27288091,COX4I1
cg01568335,COX5B
cg17438055,COX7A2
cg19806933,COX8A
cg06519111,CPNE1
cg09895920,CREB3L4
cg27088449,CRKL
cg08460026,CTLA4
cg18191196,CUL5
cg14855841,CXCL10
cg08313880,CXCL16
cg22433261,CXXC1
cg04790755,CYHR1
cg20690488,CYP2J2
cg04845077,DCAF12
cg04022019,DCAF13
cg09302031,DCDC2
cg13622657,DCTN3
cg12743621,DDOST
cg17188169,DDX43
cg10983623,DDX6
cg19521564,DDX60
cg26160196,DEK
cg08244028,DHFR
cg00085830,DHX9
cg05196905,DIP2A
cg04777052,DIS3
cg04897208,DNAH8
cg06939115,DNAJA2
cg20906767,DNAJB11
cg11380624,DNAJC14
cg22989958,DOK1
cg27419330,DPY30
cg00718333,DRAM2
cg01116321,E2F1
cg08628635,E2F3
cg00066722,EBNA1BP2
cg07070840,ECD
cg24905316,ECHS1
cg20349687,EIF2AK3
cg05370988,EIF4A2
cg13783244,ELF2
cg13010299,ERGIC3
cg22310062,ESCO1
cg12518146,F2RL1
cg10551759,FAM3C
cg05155704,FAM83B
cg10639412,FAM98A
cg09382430,FANCM
cg13989528,FAU
cg19241168,FBXL2
cg15352185,FBXL3
cg26043391,FBXO28
cg25146879,FBXO3
cg11835582,FBXO8
cg25268537,FDXR
cg00085013,FGD5
cg01313622,FLVCR1
cg04587829,FN3K
cg21160151,FNIP1
cg25306006,FOLR2
cg10988041,FOXA1
cg04432695,FRS3
cg03013817,FSIP1
cg05374956,FUT6
cg22699500,GABARAPL1
cg09706180,GABPB1
cg24058132,GALC
cg13736064,GATAD1
cg13543286,GBA2
cg23540651,GBP3
cg02904701,GCLM
cg17317391,GDF9
cg21491201,GGCT
cg04472726,GINS4
cg02360175,GLYR1
cg24675730,GMEB1
cg25340675,GOLGB1
cg02401102,GOPC
cg18355337,GP6
cg16131748,GPR183
cg10277912,GPS2
cg08274380,GPSM2
cg21481320,GRWD1
cg12764051,GTF2H3
cg24981181,GTSE1
cg01583365,HAT1
cg21915449,HAVCR1
cg24652919,HCFC1R1
cg18515171,HEATR6
cg16578267,HES4
cg03572011,HEXIM1
cg04249769,HEY1
cg01787559,HGFAC
cg01182555,HIF1A
cg18133905,HIF1AN
cg01182048,HKDC1
cg03363242,HMBOX1
cg07732421,HMGCR
cg06203126,HMGCS1
cg02583484,HNRNPA1
cg20773320,HNRNPH1
cg00907427,HNRNPR
cg15974053,HSD17B14
cg05624853,HSD3B7
cg13506510,HSDL2
cg16783819,HSF2
cg25114580,HSPE1
cg01397325,HTATIP2
cg25808082,HUS1B
cg12763811,IARS2
cg10969006,IBSP
cg08851727,ICMT
cg26105702,IDH1
cg17712202,IER2
cg15825970,IFI30
cg21292957,IFNAR2
cg09507928,IK
cg08441850,IKZF3
cg23553480,INPP5D
cg21796430,INTS6
cg22277972,ISCU
cg25140773,ISOC1
cg16204066,ITPR3
cg13661497,JAK2
cg16645584,JUN
cg23271558,KDM1A
cg11214164,KDM5A
cg24412469,KIF14
cg02343814,KIF18A
cg05008854,KIN
cg16297435,KLC4
cg09256781,KLHL7
cg09771049,KPNA2
cg13602343,KRT20
cg16907514,KTN1
cg26255649,L2HGDH
cg10500147,LAG3
cg19502700,LARP7
cg23815000,LCN1
cg03793778,LGALS7
cg27625456,LGALS9
cg18147735,LIAS
cg20742981,LIMK2
cg23876292,LMAN1
cg16857548,LPIN2
cg11614622,LRFN4
cg00023288,LRPPRC
cg10860819,LRRK2
cg13775054,LSS
cg04843946,LYRM2
cg15061025,LZTFL1
cg02447620,MAD2L1BP
cg04831694,MAK
cg03250779,MAP2K7
cg21244397,MASTL
cg23945382,MBD2
cg22691796,MCM4
cg11446240,MCM6
cg22513888,MDH1
cg01202278,MDM2
cg24077080,MEAF6
cg20376447,MED13
cg14295955,MED19
cg14279528,MELK
cg10752516,MEMO1
cg10879244,MEN1
cg07243656,METTL14
cg13673779,MEX3C
cg00948862,MGAT2
cg03677924,MIP
cg06802658,MIPOL1
cg07686441,MIR1266
cg12255698,MIR132
cg21683783,MIR15A
cg00477302,MIR182
cg01966791,MIR1914
cg09349409,MIR192
cg14161399,MIR200B
cg18864164,MIR2110
cg02000032,MIR29B1
cg04378107,MIR301B
cg24675879,MIR423
cg03655940,MIR484
cg16615211,MIR564
cg20113820,MIR596
cg22704775,MIR611
cg21028463,MIR636
cg09380135,MIR641
cg18691055,MKI67
cg19494591,MKRN1
cg00703445,MMD
cg12020179,MMP20
cg01283863,MMP24
cg23562011,MOAP1
cg26608221,MOGS
cg07894162,MORC2
cg11839415,MPL
cg07494646,MPST
cg09041614,MRPL13
cg01617022,MRPL19
cg03538470,MRPL48
cg20669710,MRPS30
cg22269526,MSH2
cg22290284,MST1
cg08693344,MT1F
cg16813892,MTF2
cg24886176,MXD1
cg01562897,MYCBP
cg00358220,MYL12A
cg22132788,MYO1G
cg03530925,MYSM1
cg13466364,NAA15
cg01092528,NAAA
cg24309739,NAF1
cg14761901,NAP1L1
cg10318313,NAP1L4
cg03509991,NASP
cg17724365,NBN
cg17301289,NBR2
cg00473916,NCKAP1
cg18849300,NCKIPSD
cg01601944,NCOA3
cg08610982,NCR3
cg06454226,NDC80
cg12177551,NEAT1
cg15831905,NEK2
cg17742559,NEK8
cg20203089,NFKB2
cg15591198,NMNAT1
cg23731742,NOC2L
cg11062848,NOL7
cg03920169,NOP2
cg19822851,NR2C2AP
cg26235659,NR2E3
cg17760571,NSA2
cg22911074,NSUN2
cg21620535,NUCB2
cg10919176,NUDCD1
cg02904093,NUDT21
cg23371950,NUDT5
cg07939768,NUFIP2
cg18187726,NUP107
cg10786622,NUP153
cg19233923,OTUB1
cg09246754,P4HA1
cg16280098,PABPN1
cg12364755,PAFAH1B1
cg08990543,PAICS
cg17320237,PAIP2B
cg02166313,PAPOLA
cg15078479,PARP2
cg07085476,PCF11
cg13649242,PDCD2
cg06986184,PDE7A
cg01761710,PDIA2
cg25551691,PEBP1
cg27121959,PGR
cg24085344,PHB
cg27578754,PHF14
cg21493583,PIGF
cg08409953,PIK3R4
cg05657581,PKN2
cg27458987,PKP2
cg14225926,PLRG1
cg05755837,PMPCB
cg24025538,PNKP
cg17607737,POLD4
cg19374476,POLE
cg00070052,POLE3
cg01877814,POLG
cg20997028,POLG2
cg05285228,POT1
cg04192557,PPIA
cg15804432,PPIB
cg18656765,PPID
cg15748192,PPIG
cg04129946,PPIL3
cg15456646,PPM1A
cg14263244,PPP1R12A
cg20400248,PPP1R3B
cg26645468,PPP2CA
cg01213445,PRC1
cg17099889,PRKAG1
cg21247948,PRKD3
cg03442642,PRPF38B
cg09726208,PRR11
cg10612060,PSMA4
cg19269201,PSMA5
cg09285771,PSMA6
cg02466349,PSMD7
cg26279152,PSPC1
cg03595439,PTMA
cg14385738,PTPN22
cg14305239,PTRH1
cg11328140,PWP1
cg11429632,RAB14
cg24478966,RABAC1
cg15209169,RABGAP1
cg18884741,RABGEF1
cg19110982,RALY
cg26278647,RANBP9
cg11245205,RASD1
cg05676622,RBM4
cg13131501,RBM8A
cg15213122,RBP2
cg06481786,RDM1
cg24508561,RDX
cg09330596,RFX5
cg17890983,RFXAP
cg14595269,RHEB
cg00016968,RHOC
cg08456130,RMND1
cg26365399,RNF146
cg07585136,RNF168
cg21436938,RNF183
cg24820936,RNF19A
cg23882285,ROCK1
cg19857457,RPL17
cg06804879,RPL19
cg27592126,RPL23
cg06367459,RPL28
cg00866632,RPL29
cg15296129,RPL34
cg27140880,RPL37A
cg25820475,RPL41
cg00517855,RPL8
cg15400169,RPLP0
cg08833169,RPLP2
cg04936382,RPRD1B
cg27542512,RPS27
cg03923774,RPS6KB1
cg24624841,RPS9
cg13549760,RRAGA
cg24341944,RSRC1
cg20415828,RSRC2
cg16196077,RTKN2
cg04410989,SAMHD1
cg23360000,SARS2
cg24151027,SCAMP1
cg06294637,SDCBP
cg09315878,SDF4
cg01808736,SDHA
cg23442477,SEC11A
cg18760173,SERBP1
cg16975695,SERINC1
cg18123677,SERPINI1
cg10589385,SETDB1
cg21462844,SGK3
cg04540406,SHCBP1
cg20283449,SIX4
cg11021200,SKA3
cg19957803,SKP1
cg26973177,SLC12A3
cg00747849,SLC25A1
cg19931596,SLC25A12
cg05671585,SLC25A4
cg00071051,SLC35B2
cg26212328,SLC38A2
cg00534274,SLC7A11
cg00415057,SLC7A6
cg02367472,SLU7
cg02953029,SMARCAD1
cg16667480,SMARCC1
cg14289863,SMC5
cg05497175,SNAI3
cg14702007,SNHG8
cg20768399,SNIP1
cg21085351,SNORD104
cg11799735,SNORD15A
cg04102126,SNORD76
cg04620101,SNRPA1
cg23035341,SNRPE
cg07894334,SOCS5
cg14515483,SOD2
cg11940960,SON
cg21523688,SORD
cg19221489,SPATA2
cg13525064,SPR
cg14326607,SPTLC1
cg23974739,SRD5A1
cg26945780,SRPK1
cg17187922,SS18
cg05905586,SSBP2
cg26848248,SSR1
cg25452632,STAT2
cg04347356,STIL
cg14718170,STK11IP
cg02675173,STK3
cg02344078,STK4
cg01210111,STRN
cg12254611,STRN4
cg16340030,STX3
cg15084269,STX6
cg01135200,STXBP5
cg16924120,SUDS3
cg09864156,SUPV3L1
cg01616474,SVIP
cg16245510,SYF2
cg16326609,SYNJ2BP
cg15719903,TAPBPL
cg10233455,TARDBP
cg25455811,TBCA
cg24710073,TBP
cg22856972,TBPL1
cg20568408,TDP1
cg23103367,TDRD3
cg02995731,TDRG1
cg23157637,TEP1
cg00281153,TERF2IP
cg14271908,TFAM
cg08615333,TGFB3
cg27273675,TGFBRAP1
cg08963669,TMBIM4
cg15128334,TMEM41A
cg09840122,TMPO
cg15022844,TMUB1
cg02008544,TNFRSF10B
cg17504397,TOP2A
cg23811942,TP53AIP1
cg07619142,TP53I11
cg16063666,TP53TG1
cg19502932,TPP1
cg02144332,TPSD1
cg04108240,TRA2A
cg22358121,TRAPPC4
cg13821176,TRIB1
cg08307039,TRIM23
cg19476058,TRIM28
cg18199720,TRIM33
cg18913076,TSGA10
cg06616029,TTBK2
cg13985784,TUSC1
cg01547809,TUSC2
cg02804341,TWF1
cg09667582,UBE2Q2
cg13395333,UBE2T
cg05182265,UBE3C
cg16907075,UBQLN4
cg09899665,UCHL3
cg14655843,UGCG
cg20982606,UNG
cg02471512,UQCRC2
cg19823452,USE1
cg15770046,USF2
cg23366050,USP14
cg01165661,USP19
cg27531832,USP37
cg01514075,VAMP3
cg19743759,VCP
cg01305745,VKORC1
cg06282270,VWCE
cg06862374,WNT6
cg26306411,XBP1
cg20313362,YBX1
cg06219337,YWHAE
cg05856399,ZBTB24
cg21761427,ZKSCAN4
cg02505117,ZNF131
cg14037413,ZNF143
cg26649251,ZNF224
cg23273301,ZNF24
cg26498020,ZNF350
cg05046597,ZNF398
cg03884783,ZNF569
cg27614445,ZNF639
cg20671910,ZNF687
cg18440048,ZNF70
cg17853707,ZNF91
