gene,ID_TCGA,dbeta_TCGA,feature_TCGA,ID_GEO,dbeta_GEO,feature_GEO,cluster
ACTBL2,cg20772593,-0.400823,TSS200,cg20772593,-0.394926,TSS200,4
ADAMTS16,cg15048991,0.428682,TSS1500,cg16508480,0.428322,TSS1500,2
ADCY4,cg14287235,0.447031,TSS1500,cg05031016,0.356912,TSS1500,2
B3GALT1,cg00282195,-0.413581,TSS1500,cg00282195,-0.358925,TSS1500,2
BMP10,cg10881615,-0.39008,TSS1500,cg10881615,-0.42439,TSS1500,2
BTG4,cg18515591,0.462752,TSS1500,cg18515591,0.350333,TSS1500,2
C10orf90,cg09621603,-0.436271,TSS200,cg09621603,-0.376375,TSS200,2
C1D,cg03138124,-0.398462,TSS1500,cg03138124,-0.405199,TSS1500,1
C6orf186,cg20737185,0.645586,TSS200,cg20737185,0.481006,TSS200,2
C8orf42,cg05142982,0.496476,TSS1500,cg05142982,0.352776,TSS1500,2
C8orf85,cg22869944,-0.453352,TSS1500,cg22869944,-0.412081,TSS1500,4
CCL7,cg01520122,-0.410935,TSS1500,cg01520122,-0.38603,TSS1500,2
CD40,cg19785066,0.404676,TSS1500,cg06571407,0.385795,TSS200,4
CHL1,cg01295518,0.507352,TSS1500,cg09861201,0.387957,TSS200,4
CLDN17,cg24936695,-0.412179,TSS200,cg17628023,-0.376336,TSS1500,3
CLRN1,cg24721964,-0.437084,TSS1500,cg16118414,-0.386823,TSS200,4
CLSTN2,cg02315940,0.407548,TSS200,cg11993539,0.386984,TSS200,4
CMTM3,cg16335762,0.504089,TSS1500,cg16335762,0.427979,TSS1500,2
CNTNAP2,cg23708361,0.461906,TSS200,cg23708361,0.419104,TSS200,4
COL23A1,cg07765621,0.434559,TSS1500,cg10730712,0.390867,TSS1500,2
COL4A1,cg27546237,0.58146,TSS1500,cg01956420,0.401242,TSS200,2
DOK6,cg27347269,0.586106,TSS1500,cg12799689,0.444457,TSS1500,2
DRD4,cg00556112,0.501686,TSS200,cg12928379,0.40505,TSS200,4
EFS,cg18844382,0.503696,TSS200,cg14370314,0.365811,TSS200,2
ESRRG,cg00913949,0.464623,TSS1500,cg21784383,0.366246,TSS200,1
EYA4,cg20286200,0.605971,TSS1500,cg11664500,0.429873,TSS200,2
FAM19A4,cg09868336,0.522221,TSS200,cg04347354,0.369092,TSS1500,2
FAM5C,cg23010538,0.434187,TSS1500,cg23010538,0.386389,TSS1500,2
FBN2,cg11965976,0.613754,TSS1500,cg25532099,0.436135,TSS1500,2
FIGN,cg04457196,0.558779,TSS1500,cg03878133,0.448518,TSS1500,2
FLG,cg10500702,-0.409564,TSS1500,cg10500702,-0.362835,TSS1500,2
FOXI2,cg16642284,0.546439,TSS200,cg08829841,0.423216,TSS200,1
GAP43,cg05773207,-0.408279,TSS1500,cg23385162,-0.419595,TSS1500,4
GATA2,cg19638477,0.531777,TSS1500,cg13483882,0.385003,TSS1500,1
GFRAL,cg11823729,-0.417113,TSS1500,cg20650484,-0.373234,TSS1500,4
GPR26,cg16783279,0.456132,TSS1500,cg04549162,0.359815,TSS200,4
GRIK3,cg19206040,0.420259,TSS1500,cg19206040,0.367233,TSS1500,4
GSC2,cg23774356,0.428391,TSS200,cg06695663,0.390456,TSS200,1
HMGCLL1,cg07369569,-0.423381,TSS1500,cg07369569,-0.360751,TSS1500,2
IKZF1,cg07589773,0.541016,TSS1500,cg07589773,0.469398,TSS1500,1
INA,cg24680586,0.427983,TSS200,cg23642747,0.407532,TSS1500,4
IRX4,cg07882671,0.4835,TSS200,cg24876960,0.402456,TSS1500,1
ITGA8,cg08361126,0.454487,TSS1500,cg08361126,0.382202,TSS1500,4
KCNA1,cg20392607,0.553413,TSS1500,cg04891086,0.372976,TSS1500,4
KCNG1,cg24924779,0.409491,TSS1500,cg15081220,0.360323,TSS1500,3
KIFC3,cg27026192,0.408765,TSS1500,cg27026192,0.411694,TSS1500,2
KRTAP24-1,cg09892262,-0.417379,TSS1500,cg09892262,-0.365645,TSS1500,2
KY,cg22889573,0.48632,TSS200,cg12307306,0.370173,TSS200,2
LRRFIP1,cg15674193,0.45298,TSS1500,cg02367660,0.353533,TSS1500,1
MIR124-3,cg02650317,0.56585,TSS1500,cg03387135,0.376177,TSS200,1
MMP26,cg12493906,-0.423871,TSS200,cg12493906,-0.373962,TSS200,2
NALCN,cg04117435,0.512955,TSS1500,cg10774877,0.436097,TSS200,3
NDRG4,cg04190807,0.445935,TSS1500,cg04942472,0.366903,TSS1500,2
NPR3,cg07663789,0.440463,TSS1500,cg06028303,0.39916,TSS200,4
NTM,cg20881910,0.416098,TSS1500,cg23699196,0.397444,TSS1500,3
OR10J5,cg26043322,-0.41633,TSS1500,cg26043322,-0.363035,TSS1500,4
PCDH10,cg04035209,0.461828,TSS1500,cg01408654,0.41767,TSS200,4
PDE4B,cg22488256,0.436237,TSS200,cg10552807,0.353312,TSS1500,2
PIGB,cg19991916,-0.500759,TSS1500,cg19991916,-0.442966,TSS1500,2
PODN,cg04765848,0.429059,TSS1500,cg04765848,0.374262,TSS1500,2
PPP1R16B,cg11172693,0.475834,TSS200,cg11172693,0.421176,TSS200,2
PTPN5,cg07717429,0.47914,TSS200,cg06671842,0.381084,TSS200,2
RASGRF1,cg11806630,0.455712,TSS1500,cg25673084,0.352989,TSS1500,2
RIMS4,cg21656205,0.458273,TSS1500,cg27361134,0.374069,TSS1500,4
SALL1,cg00177451,0.511174,TSS1500,cg14115575,0.437297,TSS1500,1
SCN7A,cg05331214,-0.430252,TSS1500,cg06746492,-0.372046,TSS1500,3
SHISA2,cg16572375,0.433775,TSS1500,cg16572375,0.367228,TSS1500,2
SIRPD,cg11295724,-0.39988,TSS200,cg17423978,-0.352091,TSS1500,2
SIRPG,cg23295754,-0.441368,TSS1500,cg13408605,-0.35144,TSS1500,2
SLC18A3,cg23987444,0.506439,TSS1500,cg08996579,0.417098,TSS1500,3
SLC4A11,cg21304453,0.403151,TSS1500,cg23413506,0.405164,TSS1500,3
