ID,gene,dbeta,feature
cg02499308,ACMSD,-0.502593,TSS1500
cg20772593,ACTBL2,-0.400823,TSS200
cg15048991,ADAMTS16,0.428682,TSS1500
cg08190291,ADAMTS5,0.587659,TSS200
cg23684973,ADARB2,0.539329,TSS1500
cg14287235,ADCY4,0.447031,TSS1500
cg15170605,ADD2,0.496852,TSS200
cg01588438,ADHFE1,0.685947,TSS200
cg22295787,ADRA1A,0.390273,TSS1500
cg13801416,AKR1B1,0.45936,TSS200
cg12740757,ALK,0.401216,TSS200
cg00268840,ALX4,0.473444,TSS1500
cg00282706,ANO2,-0.404096,TSS200
cg19523082,ARMC3,0.44638,TSS200
cg00282195,B3GALT1,-0.413581,TSS1500
cg24348705,B3GAT2,0.392271,TSS200
cg12161192,BASE,-0.408854,TSS1500
cg15081844,BFSP2,-0.436583,TSS1500
cg11114757,BIRC2,-0.411411,TSS1500
cg10881615,BMP10,-0.39008,TSS1500
cg18952647,BNC1,0.391032,TSS1500
cg24589459,BOLL,0.587601,TSS1500
cg17319486,BRUNOL4,0.486759,TSS1500
cg18515591,BTG4,0.462752,TSS1500
cg14159026,BVES,0.444913,TSS1500
cg09621603,C10orf90,-0.436271,TSS200
cg07409200,C13orf30,-0.401058,TSS1500
cg05245861,C18orf34,0.480446,TSS1500
cg03138124,C1D,-0.398462,TSS1500
cg16849609,C1QL2,0.437331,TSS200
cg05003411,C1QTNF7,-0.404975,TSS1500
cg12769118,C1orf150,-0.455905,TSS200
cg01671881,C20orf71,-0.41031,TSS1500
cg11800608,C20orf85,-0.390419,TSS1500
cg12861945,C4orf39,0.391984,TSS200
cg20737185,C6orf186,0.645586,TSS200
cg14838115,C7orf71,-0.458586,TSS200
cg05142982,C8orf42,0.496476,TSS1500
cg22869944,C8orf85,-0.453352,TSS1500
cg25039722,CA10,0.411088,TSS1500
cg01815671,CCDC37,0.419504,TSS200
cg11641611,CCDC48,0.677341,TSS200
cg01520122,CCL7,-0.410935,TSS1500
cg23350385,CCRL2,-0.400192,TSS1500
cg27534912,CD1C,-0.414929,TSS1500
cg19785066,CD40,0.404676,TSS1500
cg01295518,CHL1,0.507352,TSS1500
cg27051318,CHRNA6,-0.41756,TSS200
cg03853987,CHST10,0.49612,TSS200
cg09469554,CLDN10,0.453015,TSS200
cg24936695,CLDN17,-0.412179,TSS200
cg24721964,CLRN1,-0.437084,TSS1500
cg02315940,CLSTN2,0.407548,TSS200
cg16626067,CMTM2,0.473429,TSS200
cg16335762,CMTM3,0.504089,TSS1500
cg02622052,CNTN1,0.441729,TSS200
cg23708361,CNTNAP2,0.461906,TSS200
cg07765621,COL23A1,0.434559,TSS1500
cg07095995,COL25A1,0.58041,TSS200
cg27546237,COL4A1,0.58146,TSS1500
cg19461621,COLEC12,0.458026,TSS1500
cg12855522,CPNE5,0.430145,TSS1500
cg04991805,CRTAC1,0.534904,TSS1500
cg07896832,CSPP1,-0.393729,TSS1500
cg26450106,CST7,-0.497516,TSS1500
cg07195011,CTNND2,0.408343,TSS200
cg22174742,DAAM2,0.416099,TSS1500
cg01297020,DAOA,-0.39804,TSS1500
cg13186327,DBX2,0.468182,TSS200
cg14776195,DEFB118,-0.422931,TSS1500
cg25412387,DEFB124,-0.436473,TSS1500
cg07700514,DKFZP434H168,0.546327,TSS200
cg14716968,DLG2,-0.475634,TSS1500
cg00741836,DOK5,0.487894,TSS200
cg27347269,DOK6,0.586106,TSS1500
cg18252309,DPP6,0.459507,TSS1500
cg06237774,DPY19L2P4,0.443446,TSS1500
cg00556112,DRD4,0.501686,TSS200
cg16886987,DSCR6,0.548046,TSS1500
cg25535587,DYDC2,0.549748,TSS200
cg18844382,EFS,0.503696,TSS200
cg08496664,EIF3IP1,-0.403792,TSS1500
cg14874750,EMID2,0.439145,TSS200
cg02168857,EPHA7,0.394226,TSS1500
cg00913949,ESRRG,0.464623,TSS1500
cg20286200,EYA4,0.605971,TSS1500
cg06947913,FAIM2,0.481722,TSS200
cg11279444,FAM159A,0.394886,TSS200
cg13631916,FAM162B,0.483049,TSS200
cg02108033,FAM184B,0.444891,TSS200
cg09868336,FAM19A4,0.522221,TSS200
cg13843613,FAM5B,0.447956,TSS1500
cg23010538,FAM5C,0.434187,TSS1500
cg10731073,FAT4,0.449961,TSS200
cg11965976,FBN2,0.613754,TSS1500
cg20924470,FBXL21,0.521499,TSS200
cg04457196,FIGN,0.558779,TSS1500
cg10500702,FLG,-0.409564,TSS1500
cg18412834,FLJ16779,0.5347,TSS200
cg01908338,FLJ42875,0.398519,TSS1500
cg04744713,FLJ43860,-0.39321,TSS200
cg00157796,FNDC1,0.421286,TSS200
cg08638320,FOXD2,0.392763,TSS1500
cg19786627,FOXG1,0.410838,TSS1500
cg16642284,FOXI2,0.546439,TSS200
cg08334984,FREM3,0.447013,TSS200
cg06479604,GABRA1,0.421697,TSS1500
cg03304610,GALNTL6,0.441872,TSS1500
cg05773207,GAP43,-0.408279,TSS1500
cg19638477,GATA2,0.531777,TSS1500
cg20265733,GATA5,0.593556,TSS200
cg07376029,GC,-0.440091,TSS1500
cg14250833,GCM2,0.419003,TSS200
cg00773902,GDF1,0.436589,TSS1500
cg03734437,GDF6,0.545935,TSS1500
cg18237607,GDNF,0.520093,TSS1500
cg11823729,GFRAL,-0.417113,TSS1500
cg16677191,GLRX,-0.469231,TSS1500
cg10273340,GNAO1,0.406228,TSS1500
cg07068327,GPR123,0.463252,TSS200
cg16783279,GPR26,0.456132,TSS1500
cg01229798,GRID1,0.415438,TSS1500
cg24868359,GRIK1,0.394738,TSS1500
cg19206040,GRIK3,0.420259,TSS1500
cg03100024,GRIK5,-0.390627,TSS1500
cg16368442,GRIN2A,0.465476,TSS1500
cg05848509,GRIN2C,0.39405,TSS1500
cg23774356,GSC2,0.428391,TSS200
cg20676696,GSTM2,0.510332,TSS200
cg20785459,HBBP1,-0.442773,TSS1500
cg12629515,HIST1H3J,-0.398796,TSS1500
cg13064062,HIST4H4,-0.422809,TSS1500
cg05595692,HK2,-0.422267,TSS1500
cg07369569,HMGCLL1,-0.423381,TSS1500
cg19598584,HOXA2,0.462243,TSS1500
cg23860325,HPVC1,-0.474367,TSS1500
cg12503102,HS3ST3A1,0.498103,TSS1500
cg10262052,IDO1,-0.415485,TSS1500
cg07589773,IKZF1,0.541016,TSS1500
cg24680586,INA,0.427983,TSS200
cg22792646,INSC,0.471033,TSS200
cg14202325,IQSEC1,0.414724,TSS1500
cg05766140,IRF4,0.578896,TSS200
cg07882671,IRX4,0.4835,TSS200
cg08361126,ITGA8,0.454487,TSS1500
cg17297305,IVNS1ABP,-0.455989,TSS1500
cg20392607,KCNA1,0.553413,TSS1500
cg09410234,KCNA3,0.451464,TSS200
cg24926465,KCNAB1,-0.460402,TSS1500
cg24924779,KCNG1,0.409491,TSS1500
cg22434409,KCNIP4,0.498131,TSS1500
cg03603951,KCNK12,0.425358,TSS200
cg11008243,KCNQ5,0.517194,TSS1500
cg14664759,KCNT2,0.413058,TSS1500
cg24543552,KHDC1L,-0.42651,TSS200
cg04398581,KHDRBS2,0.610486,TSS1500
cg00544449,KIAA1024,0.524055,TSS200
cg04692156,KIAA1671,-0.394884,TSS1500
cg27026192,KIFC3,0.408765,TSS1500
cg07639900,KLF6,-0.420816,TSS1500
cg08131100,KRBA1,0.617541,TSS1500
cg06790305,KRTAP19-8,-0.405711,TSS1500
cg09892262,KRTAP24-1,-0.417379,TSS1500
cg22889573,KY,0.48632,TSS200
cg19820372,LAYN,0.473274,TSS200
cg20129082,LOC100126784,0.412665,TSS200
cg19664945,LOC100302652,0.510185,TSS200
cg02347881,LOC144776,-0.408189,TSS1500
cg00937286,LOC286094,-0.402758,TSS1500
cg04329382,LOC400931,-0.40069,TSS1500
cg23853165,LOC441666,-0.394354,TSS1500
cg26164310,LPPR4,0.527055,TSS200
cg23676439,LRAT,0.410635,TSS1500
cg15674193,LRRFIP1,0.45298,TSS1500
cg02810692,LRTM1,-0.408094,TSS1500
cg07237979,LSP1,-0.391485,TSS200
cg01557027,LUZP2,0.414604,TSS200
cg02523844,MAGI2,0.540259,TSS1500
cg04804539,MAL,0.488846,TSS1500
cg02650317,MIR124-3,0.56585,TSS1500
cg14416371,MIR129-2,0.507431,TSS200
cg22333214,MIR137,0.506341,TSS200
cg26548251,MIR548F3,-0.405327,TSS1500
cg16341266,MIR548I4,-0.479529,TSS1500
cg09713234,MKX,0.427824,TSS1500
cg01673994,MMP16,0.416156,TSS1500
cg06943420,MMP23A,0.402595,TSS1500
cg24535439,MMP23B,0.51559,TSS1500
cg12493906,MMP26,-0.423871,TSS200
cg01148441,MPPED1,0.441503,TSS200
cg10422455,MRGPRX2,-0.402874,TSS1500
cg12296772,MTMR7,0.466533,TSS200
cg04117435,NALCN,0.512955,TSS1500
cg15707093,NBLA00301,0.414016,TSS1500
cg04190807,NDRG4,0.445935,TSS1500
cg09008705,NGF,0.521114,TSS200
cg27063372,NHLRC4,0.4394,TSS200
cg02861926,NLRP11,-0.391185,TSS1500
cg15531403,NPBWR1,0.449316,TSS1500
cg13585930,NPFFR1,-0.512317,TSS1500
cg07663789,NPR3,0.440463,TSS1500
cg24242823,NPY,0.439643,TSS200
cg03430846,NRG1,0.540092,TSS200
cg01151966,NRG3,0.522296,TSS1500
cg08346232,NT5DC3,-0.424532,TSS1500
cg20881910,NTM,0.416098,TSS1500
cg23253569,OLIG2,0.406418,TSS200
cg25614094,OPRK1,0.415993,TSS200
cg15700197,OR10J1,-0.418039,TSS1500
cg26043322,OR10J5,-0.41633,TSS1500
cg01733284,OR10K2,-0.400288,TSS1500
cg06846214,OR2T6,-0.398561,TSS1500
cg14269191,OR51B2,-0.443196,TSS1500
