Gene,Cluster,Probe_ID,gene_x,"J,J","J,CZ","J,J_rank","J,CZ_rank","J,ER_rank",train_AUC
FAT4,3,cg17265829,FAT4,0.984496124,0.984496124,3.0,3.0,2.0,0.806244334
PLXNC1,3,cg00020799,PLXNC1,0.962162162,0.983783784,5.0,4.0,3.0,0.873380259
MMP9,3,cg26132320,MMP9,0.955357143,0.955357143,7.0,7.0,5.0,0.839305711
RAB11FIP1,3,cg14089503,RAB11FIP1,0.950405716,0.950405716,10.0,10.0,11.0,0.847011145
CYTL1,3,cg01114088,CYTL1,0.946091644,0.946091644,13.0,13.0,9.0,0.831040367
GSTA4,3,cg15925365,GSTA4,0.942169879,0.942169879,14.0,14.0,30.0,0.890284221
ABL1,3,cg13670057,ABL1,0.940414508,0.940414508,15.0,15.0,10.0,0.854743241
RAB22A,3,cg26029902,RAB22A,0.932249322,0.874579946,18.0,71.0,59.0,0.835999573
DGKI,3,cg00029246,DGKI,0.931216931,0.931216931,19.0,18.0,64.0,0.847117794
TRH,3,cg01009664,TRH,0.931016775,0.931016775,20.0,19.0,22.0,0.924972004
BDNF,3,cg11718030,BDNF,0.925813351,0.925813351,23.0,22.0,32.0,0.816909295
RGS2,3,cg05374271,RGS2,0.925531915,0.925531915,24.0,23.0,13.0,0.818642351
CD1B,3,cg04574507,CD1B,0.922680412,0.922680412,28.0,28.0,17.0,0.799045486
INA,3,cg24680586,INA,0.920918367,0.920918367,29.0,29.0,14.0,0.836986082
WNT3A,3,cg26841013,WNT3A,0.915,0.915,31.0,31.0,46.0,0.732656108
RGS12,3,cg19974227,RGS12,0.914036939,0.914036939,32.0,32.0,92.0,0.867514531
LIMD2,3,cg04918402,LIMD2,0.906005222,0.906005222,36.0,36.0,37.0,0.901855703
TGFBR3,3,cg17080882,TGFBR3,0.902857143,0.902857143,38.0,37.0,28.0,0.902308964
HOPX,3,cg21899596,HOPX,0.90032611,0.90032611,39.0,38.0,34.0,0.861115555
MAST1,3,cg26870725,MAST1,0.9,0.9,41.0,40.0,24.0,0.853170159
POLR1D,3,cg13799919,POLR1D,0.9,0.9,41.0,40.0,29.0,0.803924705
LNX1,3,cg02196651,LNX1,0.8975,0.8975,43.0,42.0,53.0,0.710446329
SRGAP3,3,cg00907288,SRGAP3,0.896704136,0.896704136,44.0,43.0,205.0,0.839998934
CLDN5,3,cg20486569,CLDN5,0.891472868,0.891472868,50.0,50.0,18.0,0.955393804
NDRG2,3,cg18081258,NDRG2,0.89077551,0.89077551,51.0,51.0,41.0,0.86850104
LOXL2,3,cg09535960,LOXL2,0.889460154,0.889460154,52.0,52.0,31.0,0.804911214
CIT,3,cg24973993,CIT,0.886010363,0.886010363,56.0,56.0,309.0,0.718631686
TOX2,3,cg19593767,TOX2,0.885786802,0.885786802,57.0,57.0,67.0,0.793553032
NEFM,3,cg23290344,NEFM,0.884816754,0.884816754,58.0,58.0,54.0,0.813629819
DLK1,3,cg02874376,DLK1,0.883152174,0.883152174,59.0,59.0,48.0,0.861435504
TXNRD1,3,cg05741937,TXNRD1,0.882653061,0.882653061,60.0,60.0,50.0,0.760491655
KIF5C,3,cg19053239,KIF5C,0.881136951,0.881136951,62.0,62.0,42.0,0.791393377
NKAPL,3,cg18675097,NKAPL,0.880880773,0.880880773,63.0,63.0,51.0,0.919532875
FLG,3,cg22719314,FLG,0.87755102,0.87755102,67.0,66.0,55.0,0.897803018
NES,3,cg06355129,NES,0.876455696,0.876455696,69.0,68.0,33.0,0.856156348
NPTX2,3,cg18952796,NPTX2,0.8725,0.8725,73.0,73.0,61.0,0.71823175
PRKCB,3,cg03306374,PRKCB,0.870786517,0.893726592,74.0,47.0,38.0,0.916386711
ACTN2,3,cg18770350,ACTN2,0.8675,0.8675,76.0,76.0,57.0,0.737135392
PDLIM3,3,cg25581330,PDLIM3,0.867032967,0.867032967,77.0,77.0,66.0,0.903908708
C4BPA,3,cg14856606,C4BPA,0.865869565,0.865869565,79.0,79.0,230.0,0.844051618
PLEKHF1,3,cg14945937,PLEKHF1,0.864661654,0.864661654,83.0,83.0,79.0,0.794512878
RBM47,3,cg10019467,RBM47,0.860526316,0.860526316,87.0,87.0,87.0,0.882338826
CDH4,3,cg07198552,CDH4,0.857881137,0.857881137,88.0,88.0,308.0,0.89337706
MYT1L,3,cg22511877,MYT1L,0.8575,0.8575,89.0,89.0,74.0,0.846984482
