ID,gene,dbeta,feature,cluster
cg10266490,ACOT11,0.31817,TSS200,3
cg25558103,ADAM11,0.327096,TSS1500,3
cg14742937,ADAM5P,0.320792,TSS200,3
cg19619405,ADAMTS20,0.429137,TSS200,3
cg02462195,ADAMTS5,0.305258,TSS1500,3
cg04907257,ADCY2,0.368041,TSS1500,3
cg16888658,ADCY3,-0.383816,TSS200,3
cg12265829,ADCY4,0.317329,TSS200,3
cg09745307,AGXT2,-0.327906,TSS1500,3
cg10636246,AIM2,-0.301769,TSS1500,3
cg21052656,AIP,-0.362476,TSS1500,3
cg20959866,AJAP1,0.341283,TSS1500,3
cg12798157,AKR7L,0.302434,TSS200,3
cg25800765,ALX1,0.384544,TSS1500,1
cg08149193,ALX4,0.405723,TSS1500,1
cg05919685,APCS,-0.343529,TSS1500,3
cg17187764,APOBEC1,-0.347305,TSS200,3
cg25075794,AQP1,0.325203,TSS200,2
cg09015973,ARHGEF4,0.385615,TSS1500,3
cg26165146,ARNTL2,-0.364125,TSS1500,1
cg23685969,ASCC1,-0.329543,TSS1500,3
cg23339656,ATG16L1,-0.322485,TSS1500,3
cg08995424,ATP5G2,0.293562,TSS1500,3
cg26492446,BHLHE23,0.331937,TSS200,1
cg13356896,BOLL,0.330308,TSS200,3
cg20874052,C11orf60,-0.292507,TSS1500,3
cg14933439,C16orf78,-0.333423,TSS200,1
cg12374721,C17orf93,0.504937,TSS1500,1
cg08047907,C1orf114,0.403691,TSS200,3
cg12769118,C1orf150,-0.380629,TSS200,3
cg18674980,CA3,0.407801,TSS1500,3
cg04902729,CACNA1E,0.38044,TSS200,2
cg20779964,CBLN4,0.350316,TSS200,3
cg13480357,CCDC108,0.315283,TSS200,3
cg12468774,CCDC36,0.306549,TSS200,3
cg03576469,CCDC8,0.326066,TSS200,3
cg10395685,CCDC81,0.419829,TSS200,3
cg18264219,CCL23,-0.314555,TSS1500,3
cg06083483,CCL8,-0.292226,TSS200,3
cg23817981,CCR4,0.294548,TSS200,2
cg27534912,CD1C,-0.3209,TSS1500,3
cg12606911,CD8A,0.443274,TSS1500,2
cg11036833,CDO1,0.383028,TSS200,3
cg01499197,CDX2,0.349928,TSS1500,1
cg24414363,CENPM,-0.313924,TSS200,1
cg17204129,CFTR,0.368248,TSS1500,2
cg26531231,CHRNA9,-0.3509,TSS1500,2
cg10182317,CLVS2,0.31092,TSS200,3
cg08032924,CMTM2,0.404335,TSS1500,3
cg13553455,COL17A1,-0.303111,TSS1500,3
cg19867917,COLEC11,0.361582,TSS200,3
cg20170777,COX10,-0.336403,TSS1500,3
cg15163151,COX6C,-0.292832,TSS1500,3
cg21290814,CRTC1,-0.315255,TSS1500,3
cg11694519,CRYAB,0.343249,TSS1500,3
cg23405212,CRYGD,0.319836,TSS200,3
cg21320567,CSPP1,-0.31392,TSS1500,3
cg24168221,CST9,-0.301828,TSS1500,3
cg03625109,DBC1,0.304307,TSS1500,3
cg01687040,DCD,-0.354907,TSS1500,3
cg23752828,DCTN2,-0.306801,TSS1500,3
cg06372145,DEFB119,-0.308352,TSS1500,3
cg12279138,DEGS1,-0.29354,TSS1500,3
cg17611742,DENND1B,-0.302162,TSS1500,3
cg21587469,DGKA,-0.338448,TSS1500,3
cg06277657,DGKI,0.320952,TSS1500,3
cg01629435,DGUOK,-0.347485,TSS1500,3
cg00933411,DLC1,-0.332881,TSS1500,3
cg15503081,DNASE2,-0.337019,TSS1500,3
cg03890691,DOC2A,0.315236,TSS1500,3
cg00556112,DRD4,0.352597,TSS200,2
cg23847712,DRD5,0.350885,TSS200,2
cg00240178,EEF1A1,-0.291142,TSS1500,3
cg16905506,EFNA4,-0.294293,TSS1500,3
cg19766988,EIF3G,-0.309079,TSS1500,3
cg16324018,ELMOD3,-0.29929,TSS1500,3
cg23424003,EMID2,0.332589,TSS200,3
cg15540820,EOMES,0.414821,TSS1500,1
cg12488585,EP400,-0.293275,TSS1500,3
cg21306240,EPHA10,0.345853,TSS200,3
cg21784383,ESRRG,0.380634,TSS200,1
cg06544111,EVX1,0.481302,TSS1500,1
cg18463607,EXOC1,-0.320539,TSS1500,3
cg05754905,F11R,-0.376154,TSS1500,3
cg02543636,FAM188B,-0.296299,TSS1500,3
cg21684179,FAM40A,-0.297105,TSS1500,3
cg08786003,FCRL3,-0.320387,TSS200,2
cg05033369,FCRLA,-0.343698,TSS1500,2
cg00160981,FCRLB,-0.295477,TSS1500,2
cg12004787,FGF19,0.292623,TSS1500,3
cg26517663,FOXB1,0.31155,TSS1500,1
cg12626956,FOXB2,0.366964,TSS200,1
cg22438763,FOXD2,0.427332,TSS1500,1
cg04037038,FRZB,0.343875,TSS1500,3
cg26673195,G6PC,-0.297097,TSS200,3
cg13166213,GATA4,0.314153,TSS1500,1
cg08202226,GATAD2B,-0.414724,TSS1500,3
cg04209913,GDNF,0.42969,TSS1500,3
cg03330485,GFRA2,0.298793,TSS1500,2
cg25783892,GHITM,-0.353794,TSS1500,3
cg17152757,GHSR,0.318624,TSS200,2
cg22941646,GNG4,0.409292,TSS1500,3
cg11709405,GRHL3,-0.320097,TSS200,1
cg13080565,GRIK2,0.407541,TSS200,2
cg06165395,GRIK3,0.314659,TSS1500,2
cg00582971,GRM6,0.415879,TSS200,2
cg10469791,GRXCR1,-0.290665,TSS200,3
cg15440688,GSC,0.362186,TSS1500,1
cg25210835,GSTM5,0.301138,TSS200,3
cg19743103,HES3,0.301264,TSS200,1
cg11724147,HIBADH,-0.292708,TSS1500,3
cg12260798,HIST1H4F,0.369215,TSS200,3
cg04219321,HLF,0.337455,TSS1500,1
cg09473613,HMGCL,-0.367152,TSS1500,3
cg02215357,HNRNPA1L2,-0.290599,TSS1500,3
