ID,gene,dbeta,feature
cg22286978,A1BG,0.340249,Body
cg03817621,A1CF,-0.041243,5'UTR
cg08160063,A2BP1,-0.269301,Body
cg25710107,A2LD1,0.280462,TSS1500
cg00134295,A2M,-0.278411,TSS1500
cg03490200,A2ML1,-0.210279,1stExon
cg00241712,A4GALT,0.096716,5'UTR
cg23669440,A4GNT,0.149841,TSS1500
cg03382549,AAA1,0.122989,Body
cg10765909,AAAS,-0.071944,TSS200
cg02766259,AACS,-0.195851,3'UTR
cg21473545,AACSL,-0.029573,TSS200
cg13001012,AADAC,0.07452,TSS1500
cg19620994,AADACL3,-0.180741,TSS1500
cg06751920,AADACL4,0.227096,TSS1500
cg18716979,AADAT,-0.106732,TSS1500
cg07462279,AAGAB,0.351459,3'UTR
cg11423556,AAK1,0.196347,Body
cg21613754,AAMP,0.155802,Body
cg14699839,AANAT,-0.066178,5'UTR
cg08750807,AARS,-0.0583,3'UTR
cg10131297,AARS2,-0.111415,3'UTR
cg16981346,AARSD1,-0.096479,Body
cg12283482,AASDH,-0.120786,TSS1500
cg02453779,AASDHPPT,-0.060635,1stExon
cg04893558,AASS,0.217739,5'UTR
cg11414044,AATF,-0.05953,Body
cg25986678,AATK,-0.183039,Body
cg05007180,ABAT,-0.18498,Body
cg14326305,ABCA1,0.100044,Body
cg16937333,ABCA11P,0.000165,TSS1500
cg04530015,ABCA12,-0.058893,3'UTR
cg03372042,ABCA13,-0.19387,Body
cg07915849,ABCA17P,0.062681,Body
cg14151317,ABCA2,-0.213058,Body
cg00644103,ABCA3,-0.194401,Body
cg18800235,ABCA4,0.286378,Body
cg07372195,ABCA5,0.122484,5'UTR
cg12082025,ABCA7,-0.166359,Body
cg20561863,ABCA8,-0.061006,Body
cg01517431,ABCA9,-0.07561,TSS1500
cg12270822,ABCB1,0.397358,5'UTR
cg18313106,ABCB10,-0.055287,TSS200
cg24334048,ABCB11,-0.117777,Body
cg25679366,ABCB4,0.174357,5'UTR
cg23626475,ABCB5,-0.105098,Body
cg23153680,ABCB6,-0.109389,TSS1500
cg22134611,ABCB8,-0.027153,Body
cg03131767,ABCB9,0.092012,5'UTR
cg09255514,ABCC1,0.26278,Body
cg25545088,ABCC10,0.175973,TSS1500
cg09228051,ABCC11,-0.197474,1stExon
cg09648454,ABCC12,-0.210447,Body
cg11429658,ABCC13,0.067368,Body
cg09448875,ABCC2,-0.260804,TSS200
cg13725958,ABCC3,-0.155713,5'UTR
cg24603573,ABCC4,-0.10005,Body
cg09230938,ABCC5,0.286861,Body
cg10024478,ABCC6,0.048129,3'UTR
cg06289735,ABCC6P1,-0.0244,TSS1500
cg11981631,ABCC8,0.230974,Body
cg09711028,ABCC9,0.010526,Body
cg11790681,ABCD2,0.032684,1stExon
cg11237362,ABCD3,0.164247,Body
cg05878073,ABCD4,-0.180202,Body
cg07702259,ABCE1,0.022678,5'UTR
cg11606826,ABCF1,0.165042,Body
cg07824710,ABCF2,-0.041895,Body
