Probe_ID,import_level_in_forest,gene
cg25136495,0.08470199722789842,LPAR5
cg10266490,0.05109937050255348,ACOT11
cg00058879,0.043615117696677204,CACNA1I
cg17538572,0.02894873959973717,CYP26A1
cg08958294,0.01644838373575126,GRM1
cg13096208,0.016322583883654103,ST8SIA3
cg17152757,0.015191270619970922,GHSR
cg23248887,0.01218145402481788,SSTR1
cg07792478,0.011761982298575425,MIR124-2
cg06132069,0.008757359184497795,SLC12A5
cg08214995,0.008375517151811474,HS3ST2
cg05863502,0.00832254004164229,CACNA1B
cg19370054,0.008157850890216336,CNGA3
cg07563400,0.007908295063083612,ADORA2B
cg14502484,0.006486973755329127,SLC6A3
cg08578734,0.006119775130701504,GRIA1
cg00735923,0.006101182088192378,CFTR
cg07790615,0.005934250492014731,RYR2
cg18674980,0.005560389584417265,CA3
cg14416371,0.005431955874742865,MIR129-2
cg13545212,0.005389439941523088,SLC13A5
cg17437939,0.005108815599522256,TAC1
cg12717594,0.004953636269749248,RECK
cg26043257,0.004177943992695966,CD38
cg14777768,0.003563223075579092,SLC2A2
cg13759674,0.0035542655650078426,GRIN1
cg20399616,0.0034946067262125436,BCAT1
cg27267227,0.0034859930825272313,SEZ6L2
cg22052659,0.003421011373042296,CSMD3
cg02571816,0.0034151389136047095,PPP1R14A
cg19256314,0.0032623885034705033,SSH1
cg10119075,0.002825463498435339,ITIH5
cg04574090,0.002733755649350021,KCNE3
cg15918732,0.0024255936690190457,SERPING1
cg09799983,0.0023496249230917153,CYP1B1
cg17373442,0.0023035246348355604,CHST2
cg01452847,0.00228573877607367,MIR196A1
cg03502002,0.0021946509496787,GALR1
cg06998282,0.001957551153146902,ENPP2
cg06482428,0.0018651214462455175,KCNIP4
cg13315970,0.001817621433742902,NT5E
cg07676859,0.0017938270992677217,SSTR4
cg14669379,0.0016348726613779287,ADORA3
cg10646402,0.0016293916088058564,PTPRO
cg07879739,0.0015348984077021128,GALR3
cg04849842,0.0015264155295444915,KCNK9
cg00582971,0.0012064192446445167,GRM6
cg04306063,0.0010096849036713817,CRHBP
cg05306745,0.0007343972157668658,TIMP2
cg10976772,0.0007006279770773357,ACOT7
cg05158615,0.0006441488477264091,NPY
cg15603568,0.0005218972387680323,GRIA4
cg02770054,0.00029228551336146264,ATP4A
