gene,ID_TCGA,dbeta_TCGA,feature_TCGA,ID_GEO,dbeta_GEO,feature_GEO
ACTBL2,cg20772593,-0.40309,TSS200,cg20772593,-0.409128,TSS200
ADAMTS16,cg15048991,0.425632,TSS1500,cg16508480,0.429043,TSS1500
B3GALT1,cg00282195,-0.415014,TSS1500,cg00282195,-0.362844,TSS1500
C10orf90,cg09621603,-0.436953,TSS200,cg09621603,-0.386669,TSS200
C1D,cg03138124,-0.397899,TSS1500,cg03138124,-0.409993,TSS1500
C1QL2,cg16849609,0.435895,TSS200,cg16849609,0.355777,TSS200
C6orf186,cg20737185,0.650096,TSS200,cg20737185,0.479965,TSS200
C8orf85,cg22869944,-0.451615,TSS1500,cg22869944,-0.421921,TSS1500
CCL7,cg01520122,-0.415848,TSS1500,cg01520122,-0.390549,TSS1500
CD40,cg19785066,0.398791,TSS1500,cg06571407,0.383365,TSS200
CHL1,cg01295518,0.511482,TSS1500,cg09861201,0.386218,TSS200
CLDN17,cg24936695,-0.421716,TSS200,cg17628023,-0.382759,TSS1500
CLRN1,cg24721964,-0.437493,TSS1500,cg16118414,-0.392633,TSS200
CLSTN2,cg02315940,0.40532,TSS200,cg11993539,0.376227,TSS200
CNTNAP2,cg23708361,0.469378,TSS200,cg23708361,0.410246,TSS200
COL23A1,cg07765621,0.432213,TSS1500,cg10730712,0.385611,TSS1500
COL4A1,cg27546237,0.588402,TSS1500,cg01956420,0.409691,TSS200
DOK6,cg27347269,0.592998,TSS1500,cg12799689,0.453898,TSS1500
DRD4,cg00556112,0.503741,TSS200,cg12928379,0.39862,TSS200
EIF3IP1,cg08496664,-0.405972,TSS1500,cg04454807,-0.37449,TSS200
EYA4,cg20286200,0.608012,TSS1500,cg20787173,0.435175,TSS200
FAM184B,cg02108033,0.447901,TSS200,cg02108033,0.359705,TSS200
FAM19A4,cg09868336,0.524003,TSS200,cg04347354,0.355964,TSS1500
FAM5C,cg23010538,0.436304,TSS1500,cg23010538,0.360659,TSS1500
FIGN,cg04457196,0.560232,TSS1500,cg03878133,0.438725,TSS1500
FLG,cg10500702,-0.407509,TSS1500,cg10500702,-0.360554,TSS1500
FOXI2,cg16642284,0.544823,TSS200,cg08829841,0.411168,TSS200
GAP43,cg05773207,-0.405604,TSS1500,cg23385162,-0.430267,TSS1500
GATA2,cg19638477,0.526441,TSS1500,cg19638477,0.372913,TSS1500
GFRAL,cg11823729,-0.420912,TSS1500,cg20650484,-0.378489,TSS1500
GPR26,cg16783279,0.456812,TSS1500,cg04549162,0.386357,TSS200
GSC2,cg23774356,0.432463,TSS200,cg06695663,0.378378,TSS200
HBBP1,cg20785459,-0.447186,TSS1500,cg20785459,-0.437009,TSS1500
HMGCLL1,cg07369569,-0.427388,TSS1500,cg07369569,-0.367219,TSS1500
HPVC1,cg23860325,-0.47958,TSS1500,cg21336434,-0.367293,TSS1500
INA,cg24680586,0.422924,TSS200,cg23642747,0.39126,TSS1500
IRX4,cg07882671,0.490231,TSS200,cg24876960,0.434059,TSS1500
ITGA8,cg08361126,0.457527,TSS1500,cg08361126,0.366983,TSS1500
KCNA1,cg20392607,0.550949,TSS1500,cg04891086,0.366048,TSS1500
KIFC3,cg27026192,0.426938,TSS1500,cg27026192,0.382537,TSS1500
KRTAP24-1,cg09892262,-0.421757,TSS1500,cg09892262,-0.37309,TSS1500
KY,cg22889573,0.490432,TSS200,cg22889573,0.361549,TSS200
LOC286094,cg00937286,-0.410943,TSS1500,cg00937286,-0.372408,TSS1500
LOC441666,cg23853165,-0.398163,TSS1500,cg08967936,-0.386638,TSS1500
LPPR4,cg26164310,0.527945,TSS200,cg26164310,0.412552,TSS200
MEST,cg20380768,-0.392886,TSS1500,cg22115706,-0.377019,TSS1500
MIR124-3,cg02650317,0.563885,TSS1500,cg08737296,0.351847,TSS1500
MIR548I4,cg16341266,-0.480486,TSS1500,cg16341266,-0.407093,TSS1500
MMP23A,cg06943420,0.403604,TSS1500,cg06943420,0.350962,TSS1500
MMP26,cg12493906,-0.422763,TSS200,cg12493906,-0.381798,TSS200
NALCN,cg04117435,0.515954,TSS1500,cg23056157,0.433171,TSS200
NDRG4,cg04190807,0.444053,TSS1500,cg04942472,0.353909,TSS1500
NPR3,cg07663789,0.444524,TSS1500,cg06028303,0.384698,TSS200
OR10J5,cg26043322,-0.419167,TSS1500,cg26043322,-0.371084,TSS1500
OR10S1,cg00621646,-0.390867,TSS1500,cg05024715,-0.357956,TSS1500
PCDH10,cg04035209,0.461573,TSS1500,cg01408654,0.40722,TSS200
PIGB,cg19991916,-0.501713,TSS1500,cg19991916,-0.432843,TSS1500
PODN,cg04765848,0.424938,TSS1500,cg04765848,0.360026,TSS1500
RASGRF1,cg11806630,0.453385,TSS1500,cg25673084,0.354732,TSS1500
RIMS4,cg21656205,0.459892,TSS1500,cg27361134,0.366215,TSS1500
SALL1,cg00177451,0.51288,TSS1500,cg14115575,0.417576,TSS1500
SCN7A,cg05331214,-0.439333,TSS1500,cg06746492,-0.369593,TSS1500
