ID,gene,dbeta,feature
cg22286978,A1BG,0.030364,Body
cg03817621,A1CF,-0.103193,5'UTR
cg08390979,A2BP1,-0.184229,5'UTR
cg00336946,A2LD1,-0.088995,TSS1500
cg00146928,A2M,-0.088,TSS1500
cg04884118,A2ML1,-0.069195,Body
cg09744051,A4GALT,0.151974,5'UTR
cg09866565,A4GNT,0.104294,Body
cg05399607,AAA1,-0.184587,TSS1500
cg05224385,AAAS,-0.009611,TSS1500
cg17297045,AACS,-0.144928,Body
cg03228145,AACSL,0.031023,TSS1500
cg13001012,AADAC,-0.009065,TSS1500
cg04291383,AADACL3,-0.120333,3'UTR
cg06751920,AADACL4,0.083511,TSS1500
cg07462279,AAGAB,0.041511,3'UTR
cg24171555,AAK1,-0.105447,Body
cg04582695,AANAT,-0.091127,5'UTR
cg06733215,AARS,0.027729,5'UTR
cg00910127,AARS2,-0.080749,TSS1500
cg22396850,AARSD1,0.127384,3'UTR
cg04573661,AASDH,-0.054022,TSS1500
cg19292625,AASDHPPT,0.048555,Body
cg13561372,AASS,-0.046386,5'UTR
cg04703476,AATF,0.053703,Body
cg23499929,AATK,-0.134409,Body
cg26778345,ABAT,0.234126,5'UTR
cg14019050,ABCA1,0.119589,TSS1500
cg14019757,ABCA10,-0.03884,5'UTR
cg04530015,ABCA12,-0.123099,3'UTR
cg03372042,ABCA13,-0.155027,Body
cg04119462,ABCA17P,0.189234,Body
cg14151317,ABCA2,-0.178951,Body
cg10275969,ABCA3,0.099221,Body
cg01922613,ABCA4,0.124123,Body
cg03805929,ABCA5,0.085115,5'UTR
cg22081096,ABCA6,-0.039782,1stExon
cg02253236,ABCA7,0.033211,Body
cg20561863,ABCA8,0.046963,Body
cg22093121,ABCA9,0.06105,TSS200
cg15759056,ABCB1,0.14331,5'UTR
cg18313106,ABCB10,0.01526,TSS200
cg21346679,ABCB11,-0.067891,TSS1500
cg04219946,ABCB4,0.150618,Body
cg25826515,ABCB5,0.087313,Body
cg02776283,ABCB6,0.027933,3'UTR
cg26175729,ABCB8,-0.055093,Body
cg15656257,ABCB9,0.128136,5'UTR
cg06503456,ABCC1,-0.146322,Body
cg00050375,ABCC10,0.129915,Body
cg04388863,ABCC11,-0.128714,TSS1500
cg09648454,ABCC12,0.032346,Body
cg11429658,ABCC13,-0.108674,Body
cg02672229,ABCC2,0.033133,Body
cg14592673,ABCC3,-0.132918,3'UTR
cg00241432,ABCC4,-0.101886,Body
cg05044414,ABCC5,0.069409,5'UTR
cg10024478,ABCC6,0.081211,3'UTR
cg06289735,ABCC6P1,-0.056636,TSS1500
cg06535308,ABCC8,0.177255,Body
cg09185990,ABCC9,-0.133777,TSS1500
cg13406085,ABCD2,-0.028803,Body
cg11689700,ABCD3,0.030383,3'UTR
cg05878073,ABCD4,0.065385,Body
cg05177685,ABCF1,0.102358,Body
cg02148324,ABCF2,-0.090779,TSS1500
cg13491563,ABCF3,-0.058438,TSS1500
cg20214535,ABCG1,0.107189,TSS1500
cg24207176,ABCG2,0.134904,1stExon
cg03222066,ABCG4,0.098089,TSS1500
cg15889012,ABCG5,0.038122,Body
cg13724820,ABCG8,-0.118856,Body
cg17345276,ABHD1,-0.13486,Body
cg10672681,ABHD10,-0.026058,TSS1500
cg24614218,ABHD11,-0.021543,Body
cg24007254,ABHD12,0.04987,3'UTR
cg01270593,ABHD12B,0.142248,5'UTR
cg04210566,ABHD14A,0.1244,Body
cg18328933,ABHD14B,-0.111501,1stExon
cg23112192,ABHD15,0.150637,1stExon
cg23124613,ABHD2,-0.171349,Body
cg05766064,ABHD3,0.190505,Body
cg06813554,ABHD4,-0.069336,TSS1500
cg07675262,ABHD5,0.126131,Body
cg17574812,ABHD6,0.050733,Body
cg12247222,ABHD8,0.126007,3'UTR
cg26142490,ABI1,0.129832,Body
cg24530660,ABI2,0.054859,TSS1500
cg06952307,ABI3,0.115807,5'UTR
cg06675705,ABI3BP,-0.121539,Body
cg13670057,ABL1,0.249195,Body
cg04574732,ABL2,0.035397,TSS1500
cg04055345,ABLIM1,0.230203,Body
cg15688324,ABLIM2,0.145687,Body
cg10879397,ABLIM3,0.139302,Body
cg24267699,ABO,0.140013,TSS1500
cg07897701,ABP1,0.058233,TSS1500
cg19029445,ABR,-0.201746,3'UTR
cg07005767,ABRA,0.092438,TSS200
cg02478829,ABT1,-0.108779,Body
cg18353563,ABTB1,0.115219,TSS1500
cg04954111,ABTB2,0.193297,Body
cg10548708,ACAA1,-0.109508,Body
cg00231140,ACAA2,0.109043,Body
cg21096718,ACACA,0.134564,Body
cg02022322,ACACB,-0.083289,TSS1500
cg25200151,ACAD10,-0.122437,5'UTR
cg05279761,ACAD11,0.149289,Body
cg01692842,ACAD8,-0.100481,Body
cg01958008,ACAD9,-0.025318,TSS1500
cg01812328,ACADL,0.070285,TSS1500
cg20003976,ACADM,-0.024879,TSS1500
cg21721566,ACADS,0.135217,TSS1500
cg18474502,ACADSB,-0.077433,Body
cg21636577,ACADVL,-0.063123,TSS1500
cg08631783,ACAN,-0.115383,3'UTR
cg25900902,ACAP1,0.132472,Body
cg26111327,ACAP2,-0.175752,TSS1500
cg27185793,ACAP3,0.159148,Body
cg04180462,ACAT1,0.02184,Body
cg10268548,ACAT2,-0.089649,Body
cg18385299,ACBD3,-0.054287,Body
cg00677574,ACBD4,0.363166,3'UTR
cg00507135,ACBD5,-0.096389,Body
cg15107887,ACBD6,0.105256,Body
cg14841842,ACBD7,-0.009671,TSS200
cg24613080,ACCN1,0.226223,TSS1500
cg06587257,ACCN2,0.099796,5'UTR
cg01650776,ACCN3,0.192606,Body
cg06175981,ACCN4,0.183593,Body
cg15736994,ACCN5,0.024971,Body
cg18265608,ACCS,0.210733,TSS1500
cg15035528,ACCSL,-0.049094,TSS1500
cg09920557,ACE,0.243815,TSS1500
cg19598519,ACER1,-0.107553,5'UTR
cg02616710,ACER2,-0.045957,TSS1500
