Unnamed: 0,dbeta,gene
cg00134295,0.20714281289674116,A2M
cg15769388,-0.1431616349770276,A2ML1
cg13001012,-0.056939539822078875,AADAC
cg00150882,0.15761409061705414,AADAT
cg20940607,0.009114364926788548,AAGAB
cg04582695,-0.13196525695463637,AANAT
cg04893558,0.17238583321554143,AASS
cg11262262,0.10898635281241303,AATF
cg00231389,0.2774750381302546,ABAT
cg14019050,0.29081560788441,ABCA1
cg14019757,-0.09162196432616948,ABCA10
cg13845858,0.07361886763681935,ABCA2
cg10275969,0.11599727039466491,ABCA3
cg01807748,-0.20796465616839346,ABCA4
cg17302455,-0.018701510013781366,ABCA5
cg03850529,-0.16112351791392218,ABCA8
cg01517431,-0.22316742712338575,ABCA9
cg00862116,0.24260117117297494,ABCB1
cg00295325,0.08415952685147624,ABCB11
cg04996195,0.22615838691890205,ABCB4
cg20966504,0.09313616001822454,ABCB5
cg23153680,0.13459602676050167,ABCB6
cg09109383,0.24843611020233666,ABCC1
cg25545088,0.06005289494236904,ABCC10
cg04388863,-0.26153815645152906,ABCC11
cg14303526,-0.17002573709749103,ABCC2
cg14592673,-0.3116319747452036,ABCC3
cg18016288,-0.22852200444618295,ABCC4
cg01324343,0.04524499493975048,ABCC5
cg10024478,-0.17485446855042397,ABCC6
cg06535308,0.19759478045002968,ABCC8
cg01306662,0.02780531624604058,ABCE1
cg27243685,0.211637185662433,ABCG1
cg24207176,0.19849113354724363,ABCG2
cg06622994,-0.11672510141963613,ABCG4
cg10173620,-0.29960364871222245,ABHD2
cg24595152,-0.08525697732190664,ABHD5
cg17574812,-0.12702400337403438,ABHD6
cg17850367,-0.20312518350385048,ABI1
cg24747427,0.08473580832368226,ABI2
cg00980784,0.1931108099661488,ABI3
cg15028548,0.20695959027197053,ABI3BP
cg13670057,0.3591697018830469,ABL1
cg11243304,-0.1639094419925329,ABL2
cg24267699,0.3272462261950887,ABO
cg14236443,0.3003693437586478,ABR
cg17939040,-0.2805395613332803,ACACA
cg15996769,0.18124278291047574,ACACB
cg01692842,0.07803580069860629,ACAD8
cg09068528,0.28445918098882317,ACADL
cg22875332,0.06437531588066557,ACADM
cg21721566,0.13518635284065478,ACADS
cg12497142,-0.22821885699490943,ACAN
cg24079790,0.027261243204496948,ACAT1
cg00507135,-0.2456783122682146,ACBD5
cg18265608,0.2475234319399069,ACCS
cg08834429,0.005213861095663776,ACD
cg21094739,-0.06527853617857818,ACE
cg14628274,0.2267149792049732,ACER2
cg04156293,0.3180665929554597,ACHE
cg16502747,0.09647164491540954,ACIN1
cg12641024,-0.1352635029034792,ACLY
cg13567378,-0.06350036150964943,ACO1
cg03907864,0.0015765087585246798,ACO2
cg10266490,0.40340240838187835,ACOT11
cg10976772,0.3655126995093372,ACOT7
cg26205890,-0.26439348138249424,ACOX1
cg26398848,-0.0452882051092057,ACP1
cg26570683,-0.0827752370441253,ACP5
cg08423507,0.16367441446663344,ACR
cg12216208,0.19190540864815983,ACRBP
cg02119938,0.1876863407633182,ACSBG1
cg08823975,-0.16068861493429665,ACSL1
cg16920551,0.17221223483673545,ACSL5
cg07870237,0.2763320981361287,ACSL6
cg00394823,-0.15774652565066755,ACSM3
cg15988792,0.19852891561317798,ACSS1
cg06342430,-0.1562602893903093,ACSS2
cg11649376,0.06835888708771007,ACSS3
cg02970384,0.3075671161337427,ACTA1
cg04490349,-0.08534696464365228,ACTB
cg20772593,-0.1734844986148392,ACTBL2
cg19415364,0.04202457893933678,ACTG1
cg25118606,0.17586869116603815,ACTG2
cg25198545,0.010376967409401751,ACTL6A
cg08170227,0.2872835178245855,ACTN1
cg18770350,0.3750856406953129,ACTN2
cg26831416,0.10923907601740539,ACTN4
cg08825816,0.013278552163676283,ACTR10
cg06698844,-0.07169923191867224,ACTR1B
cg08053057,-0.016870511155369458,ACTR2
cg12644353,0.024557163592549686,ACTR3
cg26993105,0.03702628079705519,ACTR3B
cg11740103,-0.11696958490109169,ACTR3C
cg09499849,0.3836613032333275,ACVR1
cg09039672,0.10950862294581526,ACVR1B
cg24893551,0.1260961449033205,ACVR1C
cg14425722,0.16223790876349634,ACVR2A
cg02147316,-0.19157074329168297,ACVR2B
cg12193731,0.319024299219648,ACVRL1
cg25719102,0.010314062055250888,ACY1
cg23130075,-0.1434304631436407,ACY3
cg18959907,0.021255376355624803,ACYP2
cg20622019,-0.058058143634893596,ADA
cg02625641,-0.010132997383540279,ADAM10
cg25558103,0.2773663906803045,ADAM11
cg24166018,-0.22368132647526276,ADAM12
cg24935121,-0.12184770629038501,ADAM15
cg01231165,-0.01155792242133924,ADAM17
cg13667243,0.3587279132649087,ADAM19
cg03512208,-0.017560581530176287,ADAM21
cg14825462,0.19925570298916456,ADAM22
cg09553380,0.21965723152800923,ADAM23
cg17969683,-0.13279608786240002,ADAM28
cg08746033,-0.12060071831084868,ADAM29
cg22848598,0.20647040126706406,ADAM32
cg06251395,0.20081655585662464,ADAM33
cg12891178,0.11149911065640733,ADAM8
cg13863753,0.009294281265610991,ADAM9
cg14124415,-0.1807812366259323,ADAMTS1
cg26573704,0.408026455075554,ADAMTS12
cg00115654,0.18193315247685835,ADAMTS13
cg04838832,0.22824757448843327,ADAMTS14
cg10773249,-0.019503316670147392,ADAMTS15
cg22784954,0.4065454756161215,ADAMTS16
cg26941368,-0.16102349759212814,ADAMTS18
cg18275958,-0.3380731122135189,ADAMTS2
cg19619405,0.4464036345843648,ADAMTS20
cg24329783,0.034140589957978064,ADAMTS4
cg15237494,0.2656958966803063,ADAMTS5
cg16580073,-0.127598503307697,ADAMTS6
cg04268950,0.2562799325287511,ADAMTS8
cg21938436,0.2601371151070482,ADAMTS9
cg01152302,0.24704597555486485,ADAMTSL3
cg24441324,0.14497693857631647,ADAMTSL4
cg00048381,0.1726655902391345,ADAR
cg14526825,-0.23883552984367576,ADARB1
cg03480068,-0.3152878404004544,ADARB2
cg22800823,-0.032232358752632084,ADAT2
cg04556393,-0.2471244403114129,ADCY10
cg27107076,0.18076572430077759,ADCY3
cg07851738,-0.23892778488747865,ADCY8
cg11859607,0.3850621663193557,ADCYAP1
cg01556466,-0.36241841936046026,ADCYAP1R1
cg00162104,-0.127395769463842,ADD1
cg03962527,0.2566257775263693,ADD3
cg03806087,-0.033747457115539455,ADH1A
cg05641529,0.087436237400315,ADH1B
cg15785860,-0.04152421569755553,ADH1C
cg18060627,0.13011007063235325,ADH5
cg25223878,-0.017892488219423935,ADH6
cg16642695,-0.23323345121824873,ADHFE1
cg11901362,0.05813515825758344,ADI1
cg03573747,-0.1740498346915514,ADIPOQ
cg17218466,-0.3220672583479207,ADIPOR1
cg21601852,0.018664816703759298,ADIPOR2
cg12505085,0.16333959090853292,ADK
cg08259810,-0.12869281675148136,ADM
cg12318501,0.22575986787869448,ADM2
cg12093180,0.07497571594346748,ADNP
cg19580792,0.06366929344860178,ADO
cg03547181,0.2202127793306935,ADORA1
cg26001125,-0.09670605320277526,ADORA2A
cg07563400,0.3503576328602938,ADORA2B
cg14669379,0.41559102432844425,ADORA3
cg16904330,0.29141047003089404,ADPRH
cg22461835,0.20813112396143993,ADRA1A
cg16162590,-0.16441064377519807,ADRA1B
cg05563110,0.18289715325093786,ADRA2A
cg21542793,0.19773554900646323,ADRA2B
cg10235817,0.19077702288277698,ADRA2C
cg05575054,0.322631270794855,ADRB1
cg21580376,0.14821102079369447,ADRB2
cg22275864,0.2971720836596649,ADRB3
cg08178815,-0.15914368076973576,ADRM1
cg14249876,0.27090683966460555,AEBP1
cg23750206,0.3550671740288733,AFAP1
cg09651145,0.4094948028646471,AFAP1L1
cg06346505,0.22104818942443227,AFAP1L2
cg26245086,-0.28590971471719534,AFF1
cg14445389,-0.29854606702719666,AFF3
cg00797183,-0.04821613171222935,AFM
cg14772412,-0.13086861836451907,AGA
cg22199080,-0.18901298755463092,AGAP2
cg16174121,-0.07862793497918172,AGBL2
cg23177883,0.10299024802584943,AGER
cg06118116,-0.11743922306283203,AGFG1
cg19543017,-0.10675437808749184,AGFG2
cg27064238,-0.028295978865128565,AGGF1
cg02137183,0.17228978321410737,AGK
cg25758167,-0.20655641540041425,AGL
cg17385448,-0.11957837371891254,AGMAT
cg15720535,0.27138154660318087,AGPAT2
cg03550352,-0.11231641900197574,AGPS
cg12565635,-0.2585061891277636,AGR2
cg06810461,0.008281671669694868,AGRP
cg07502417,0.11909799305517559,AGT
cg05710753,0.2442115956755803,AGTR1
cg11385353,-0.1663074255054116,AGXT
cg09414557,-0.08155620884608047,AGXT2
cg19595244,0.10103149497471006,AHCYL1
cg14564351,-0.0262583835576032,AHI1
cg25272143,0.39782623499755887,AHNAK
cg25706683,-0.20360272197562906,AHR
cg03604011,0.393768616008904,AHRR
cg14520941,-0.007948675414320244,AHSA1
cg17151621,-0.2659522144406242,AHSG
cg15494122,-0.12214684699942607,AICDA
cg21440587,0.10151724924571384,AIF1
cg19990744,0.1616128195493148,AIFM3
cg20935933,0.026380090862611148,AIG1
cg11003133,-0.4056257961685498,AIM2
cg21052656,-0.13030175587007012,AIP
cg08089567,0.26803797874730667,AIRE
cg26231761,-0.3778983002458594,AJAP1
cg00114084,0.011122212777164365,AK2
cg08754294,0.07239089720303979,AKAP1
cg25907965,0.16597894587502898,AKAP10
cg13033898,0.21373359470752248,AKAP12
cg22527572,-0.17879984777711475,AKAP3
cg17757376,0.012199160748440373,AKAP9
cg15991104,0.2406283061990367,AKIRIN2
cg24332710,0.12973072828817678,AKR1A1
cg18416881,0.30908010690263527,AKR1B1
cg12001930,0.05184237524667523,AKR1B10
cg10158681,0.054009965080384,AKR1C2
cg20015657,-0.006277423501515502,AKR1C3
cg20130789,-0.0181040795496313,AKR1C4
cg16675581,-0.10691054933839697,AKR7A2
cg07037032,-0.23027091604813932,AKR7A3
cg13121732,-0.1854168352565097,AKT1
cg05496229,0.06942872869309169,AKT1S1
cg15153957,0.24883116705623307,AKT2
cg04221461,0.2309444593660902,AKT3
cg14193097,-0.06531196980456798,ALAD
cg15698299,-0.13793033189619233,ALAS1
cg24018190,0.13635290207218004,ALB
cg16654432,0.10356041001988857,ALCAM
cg12304200,-0.08198605730785237,ALDH18A1
cg01812894,-0.19594219204041982,ALDH1A1
cg19619909,-0.3154094424460023,ALDH1A2
cg12791065,-0.1862902926267464,ALDH1A3
cg03237166,-0.057711777668643174,ALDH1B1
cg21601837,0.30256052902751207,ALDH1L1
cg16290534,-0.2391470056197546,ALDH2
cg23098051,0.2125510264900082,ALDH3A1
cg08702413,0.05298998624455271,ALDH7A1
cg26519342,-0.2063715555215313,ALDOA
cg13585586,-0.1594965254184813,ALDOB
cg21157234,0.0189048486870939,ALG2
cg27606607,0.02703515992140364,ALG3
cg03602297,-0.3205449540853984,ALK
cg11180129,-0.2278989644456204,ALKBH1
cg05858136,-0.1436297615817009,ALKBH2
cg21125143,0.16356698321034005,ALKBH3
cg24318076,0.11449580396695937,ALKBH5
cg05977776,-0.33506002744312513,ALLC
cg03762994,0.25073695367829685,ALOX12
cg10227358,0.33583338447413863,ALOX15
cg26926665,0.19917786731644438,ALOX15B
cg21981270,0.33778438289495555,ALOX5
cg13306478,-0.10300530710886348,ALOX5AP
cg04519870,-0.13501941970537254,ALPI
cg19339179,0.19410611446777162,ALPK1
cg02269083,-0.13321787394677004,ALPK2
cg07142010,0.335891076742793,ALPL
cg23667432,-0.10248523321499192,ALPP
cg02409351,0.29658900061457594,ALX1
cg06215569,0.3975357054396326,ALX3
cg00268840,0.2538171644214923,ALX4
cg23960088,0.08175648345984204,AMACR
cg13003878,-0.11391820395400386,AMBP
cg19244380,0.2680368558736378,AMBRA1
cg04591119,0.005808038294865027,AMD1
cg07336016,-0.13020926428614318,AMFR
cg26000619,0.26430359853430235,AMH
cg10063575,-0.3452587823838451,AMHR2
cg18436898,0.12150613556950944,AMIGO2
cg11038340,0.268996486676532,AMN
cg01872024,0.33571339835313635,AMOTL1
cg27565899,0.14935251039608294,AMPD2
cg02082273,-0.18819664075028372,AMPD3
cg15777769,-0.2855818362296869,AMPH
cg05924489,0.2108930716998333,AMT
cg01713505,-0.009146176526496144,ANAPC10
cg08184047,-0.018284376802359552,ANAPC11
cg13579295,0.13535172325724257,ANAPC2
cg21882356,-0.04256135817601731,ANG
cg07125243,-0.20366148618142618,ANGPT1
cg25350011,0.23170733546441052,ANGPT2
cg01220680,0.24940362677947014,ANGPT4
cg07044282,0.14504462957295525,ANGPTL1
cg08076018,0.4615297879180074,ANGPTL2
cg00850068,0.18130125663083893,ANGPTL4
cg19474047,0.17873140157265394,ANGPTL6
cg21223353,0.004671549470530546,ANGPTL7
cg17331296,0.3359759976936947,ANK1
cg10097464,0.12257009653153966,ANKDD1A
cg10835547,0.015091785357018581,ANKHD1
cg05954266,-0.00411867505464159,ANKHD1-EIF4EBP3
cg08716684,-0.16005137540675748,ANKLE2
cg20178924,-0.048546139935271945,ANKRD1
cg09420319,-0.17124907092818697,ANKRD11
cg22468803,-0.032389778533237455,ANKRD12
cg07318453,0.019012114365221867,ANKRD17
cg03249630,-0.2766764574747156,ANKRD22
cg11660725,0.0014697532658462702,ANKRD26
cg06644844,0.01641633483277719,ANKRD30A
cg19948393,0.19540990828311677,ANKRD33
cg11731892,-0.004126503964750225,ANKRD36B
cg05996326,0.0057355350535422496,ANKRD49
cg09829636,0.17119983430545677,ANKRD9
cg10818833,0.3213255118380885,ANKS1B
cg25028542,-0.061887831223186564,ANLN
cg26340149,0.22195506011688532,ANO1
cg10610428,-0.26583406646544055,ANO2
cg18275831,0.15654439867949008,ANO5
cg00753548,0.25783604085990425,ANO6
cg04694619,-0.16187628769040638,ANO7
cg25139636,-0.07278656378277902,ANP32A
cg14277403,-0.06766949165869328,ANP32B
cg15711744,-0.06624480943621298,ANP32D
cg02340851,-0.04503368600024366,ANP32E
cg19405555,0.2541926845816264,ANPEP
cg13358873,-0.19059834288721247,ANTXR1
cg15555527,0.3067193179204538,ANTXR2
cg13591783,0.2998367574776245,ANXA1
cg11900509,0.1763745644206615,ANXA11
cg13177458,-0.15909535484268728,ANXA13
cg06738887,0.14879285029458653,ANXA2
cg06964816,-0.19369802984612625,ANXA3
cg08792812,-0.25949633893711943,ANXA4
cg19130824,0.10101707067512515,ANXA5
cg18643093,0.11246610466948724,ANXA6
cg04305134,-0.05243199993858731,ANXA7
cg07337598,-0.29167404350249776,ANXA9
cg11744144,0.21674858673216993,AOC3
cg27547291,0.27155530594816396,AOX1
cg11145632,-0.1329229495717094,AP1B1
cg22469948,0.1419269074224687,AP2A1
cg00032246,0.15879541104340475,AP2B1
cg15373950,0.021997399427916484,APAF1
cg13580827,-0.10242980470305718,APBA1
cg17716765,0.297520186326114,APBA2
cg20366831,-0.06157545553261274,APBA3
