ID,gene,dbeta,feature,methylation_level
cg06716437,ABCB6,-0.0103217546470068,TSS1500,Hyper
cg13792075,ABCC5,-0.0107976043897624,TSS200,Hyper
cg03181582,ABCC8,-0.0123856310587997,TSS200,Hyper
cg06675190,ACAN,-0.0127140220808458,TSS1500,Hyper
cg03719155,ACP5,-0.0120380910727923,TSS1500,Hyper
cg02800810,ADAMTS5,-0.0139814113251882,TSS1500,Hyper
cg03780905,ADM,-0.0109906991579373,TSS200,Hyper
cg19245381,ADORA2B,-0.0180729365799703,TSS1500,Hyper
cg19955402,ANKHD1,-0.0108480245012166,TSS200,Hyper
cg14074715,ARHGDIA,-0.0121533236952511,TSS200,Hyper
cg02964724,ASCL2,-0.0129026092246663,TSS200,Hyper
cg00335712,ATOH1,-0.0172432979115633,TSS1500,Hyper
cg05779272,B4GALT1,-0.0125078379627814,TSS1500,Hyper
cg07315745,BARX2,-0.0155053055497583,TSS200,Hyper
cg12518442,BMP7,-0.0153388347975816,TSS200,Hyper
cg07477109,BUD31,-0.0139091814846055,TSS1500,Hyper
cg25943588,CALCA,-0.0210410894771946,TSS200,Hyper
cg07831432,CANX,-0.0156891347241519,TSS1500,Hyper
cg19108881,CASR,-0.0127030545077589,TSS200,Hyper
cg21635917,CAST,-0.0112504839717766,TSS200,Hyper
cg22353329,CBX4,-0.0116374471097456,TSS1500,Hyper
cg05667158,CCND2,-0.0108982365814675,TSS1500,Hyper
cg09323434,CCNJ,-0.0127262805221813,TSS1500,Hyper
cg13383058,CD248,-0.0108971195493009,TSS200,Hyper
cg22232207,CD40,-0.0140039349186341,TSS200,Hyper
cg10341991,CDC25A,-0.0121236021766999,TSS200,Hyper
cg04910183,CDC73,-0.0157753455700795,TSS200,Hyper
cg27170383,CDCA8,-0.013199831259563,TSS200,Hyper
cg14312538,CDH2,-0.0175754320548709,TSS1500,Hyper
cg07565236,CDT1,-0.0163613131836842,TSS200,Hyper
cg25142954,CHAC1,-0.0105668997706044,TSS200,Hyper
cg10421979,CHAD,-0.0108550831326051,TSS200,Hyper
cg24218077,CHEK1,-0.0101696614358444,TSS1500,Hyper
cg25869317,CHSY1,-0.0144222818569718,TSS200,Hyper
cg09822824,CKAP5,-0.0116708583782052,TSS200,Hyper
cg24467291,CLIP1,-0.0102893407070643,TSS1500,Hyper
cg00049664,CMTM2,-0.0127363170588034,TSS200,Hyper
cg19907305,COMP,-0.0136895383619868,TSS200,Hyper
cg20727114,CPT1C,-0.0100167732210692,TSS1500,Hyper
cg01936565,CTSD,-0.0109462827957357,TSS1500,Hyper
cg14810343,CXXC5,-0.0169305246145603,TSS200,Hyper
cg02516155,CYB5D2,-0.0102403578247409,TSS1500,Hyper
cg03620853,CYP2S1,-0.0125182510204367,TSS200,Hyper
cg22589628,DBX2,-0.0122538488342232,TSS1500,Hyper
