ID,gene,dbeta,feature
cg00134295,A2M,0.231751,TSS1500
cg03538079,AAA1,-0.032246,TSS1500
cg21473545,AACSL,-0.09426,TSS200
cg00016255,AARSD1,-0.097502,TSS1500
cg14019050,ABCA1,0.317619,TSS1500
cg01517431,ABCA9,-0.240797,TSS1500
cg20966504,ABCB5,0.132615,TSS1500
cg06716437,ABCB6,0.127906,TSS1500
cg04388863,ABCC11,-0.27882,TSS1500
cg02148324,ABCF2,-0.159035,TSS1500
cg27220130,ABCF3,0.002414,TSS200
cg03222066,ABCG4,0.126255,TSS1500
cg02059996,ABHD5,0.004085,TSS200
cg20151668,ABI1,0.007058,TSS200
cg13927605,ABL2,0.107815,TSS1500
cg04508114,ABLIM1,0.342903,TSS200
cg24267699,ABO,0.341948,TSS1500
cg08540215,ABP1,-0.259574,TSS1500
cg17049320,ABRA,-0.099694,TSS1500
cg17323704,ABTB1,0.0092,TSS200
cg22875332,ACADM,0.100872,TSS1500
cg21721566,ACADS,0.189371,TSS1500
cg13295242,ACAP1,0.076213,TSS200
cg26111327,ACAP2,-0.219645,TSS1500
cg05903298,ACAT1,0.004298,TSS200
cg23500094,ACAT2,0.002062,TSS200
cg02317321,ACBD7,0.021775,TSS1500
cg24613080,ACCN1,0.434244,TSS1500
cg18265608,ACCS,0.279042,TSS1500
cg08403064,ACCSL,-0.210211,TSS1500
cg02131967,ACE,0.007699,TSS1500
cg10266490,ACOT11,0.409651,TSS200
cg16381688,ACOT13,-0.025692,TSS1500
cg08101264,ACOT8,0.26737,TSS1500
cg19541865,ACPP,-0.271762,TSS1500
cg15782391,ACPT,-0.183264,TSS1500
cg09588284,ACRV1,-0.030796,TSS1500
cg07942479,ACSL1,-0.178709,TSS1500
cg21343895,ACSM4,-0.088318,TSS1500
cg10938486,ACSM5,0.18222,TSS200
cg04490349,ACTB,-0.081864,TSS1500
cg26657920,ACTBL2,-0.189867,TSS1500
cg26645063,ACTR2,0.002558,TSS200
cg21577356,ACTR3C,0.048577,TSS1500
cg15211996,ACTRT2,-0.291529,TSS1500
cg14425722,ACVR2A,0.163519,TSS1500
cg12193731,ACVRL1,0.332164,TSS1500
cg12075442,ACYP1,-0.125014,TSS1500
cg00225858,ADAD2,-0.140626,TSS1500
cg25558103,ADAM11,0.262149,TSS1500
cg22848598,ADAM32,0.188997,TSS200
cg06251395,ADAM33,0.205697,TSS1500
cg10327428,ADAM5P,0.3659,TSS200
cg26573704,ADAMTS12,0.407496,TSS200
cg05859267,ADAMTS18,-0.132954,TSS1500
cg19619405,ADAMTS20,0.454846,TSS200
cg04137171,ADAMTS7,0.288358,TSS1500
cg04268950,ADAMTS8,0.228834,TSS1500
cg16714091,ADAMTSL1,0.320812,TSS1500
cg06008401,ADAT1,-0.003664,TSS200
cg06866400,ADAT2,0.013138,TSS200
cg23179456,ADCY4,0.428719,TSS200
cg03806087,ADH1A,-0.043752,TSS1500
cg17218466,ADIPOR1,-0.305673,TSS1500
cg14441964,ADK,0.005513,TSS1500
cg08259810,ADM,-0.099731,TSS1500
cg05458220,ADNP2,0.099747,TSS1500
cg03547181,ADORA1,0.247191,TSS200
cg26001125,ADORA2A,-0.088816,TSS1500
cg19280364,ADPGK,0.080592,TSS1500
cg21542793,ADRA2B,0.198369,TSS200
cg09651145,AFAP1L1,0.415544,TSS1500
cg06346505,AFAP1L2,0.23272,TSS200
cg19777710,AFARP1,-0.12612,TSS1500
cg03766998,AFG3L2,-0.046159,TSS1500
cg24097460,AGBL3,0.105262,TSS1500
cg05914981,AGER,0.131129,TSS200
cg06118116,AGFG1,-0.104188,TSS1500
cg02137183,AGK,0.219326,TSS1500
cg25758167,AGL,-0.206308,TSS1500
cg15720535,AGPAT2,0.267892,TSS1500
cg01331461,AGPAT3,0.25596,TSS200
cg21672705,AGPAT5,0.005345,TSS200
cg12565635,AGR2,-0.262438,TSS1500
cg08425760,AGTRAP,0.190374,TSS1500
cg11385353,AGXT,-0.155305,TSS200
cg09414557,AGXT2,-0.092821,TSS200
cg00292978,AGXT2L2,0.043863,TSS1500
cg09513758,AHCYL1,-0.094184,TSS1500
cg18356276,AHR,0.218939,TSS1500
cg03313140,AHSA2,-0.11668,TSS1500
cg17151621,AHSG,-0.314937,TSS1500
cg05772125,AHSP,-0.306944,TSS200
cg04859918,AIFM2,0.169728,TSS1500
cg20935933,AIG1,0.021754,TSS200
cg10208649,AK7,0.009986,TSS200
cg25907965,AKAP10,0.178887,TSS1500
cg21800400,AKAP11,0.078765,TSS1500
cg13033898,AKAP12,0.227302,TSS200
cg26288249,AKAP2,0.209417,TSS200
cg09957386,AKR1B1,0.318729,TSS200
cg12737536,AKR1CL1,0.148077,TSS200
cg20518096,AKR1D1,0.08172,TSS1500
cg12255897,AKR1E2,0.213286,TSS200
cg09812541,AKR7A2,0.058321,TSS1500
cg02965178,AKTIP,0.120112,TSS1500
cg17787219,ALAD,0.006397,TSS1500
cg17550268,ALCAM,0.003726,TSS200
cg21601837,ALDH1L1,0.313485,TSS1500
cg16204509,ALDH1L2,0.358972,TSS1500
cg24563501,ALDH3B2,-0.305647,TSS1500
cg10286983,ALDH5A1,0.316524,TSS1500
cg08702413,ALDH7A1,0.061607,TSS200
cg14501061,ALDOC,0.266998,TSS200
cg14309743,ALG12,0.003748,TSS200
cg11696392,ALG8,0.00285,TSS200
cg08337366,ALKBH7,-0.101462,TSS1500
cg14882481,ALKBH8,0.048867,TSS1500
cg19260201,ALMS1,0.003299,TSS1500
cg10227358,ALOX15,0.357778,TSS200
cg26926665,ALOX15B,0.195254,TSS200
cg24380653,ALOX5AP,-0.009098,TSS1500
cg07058918,ALPI,-0.121369,TSS1500
cg02269083,ALPK2,-0.139577,TSS1500
cg25445707,ALS2CL,0.126556,TSS200
cg11052143,ALS2CR11,0.387534,TSS200
cg00268840,ALX4,0.249809,TSS1500
cg12346515,AMACR,0.006367,TSS1500
cg25420952,AMBP,-0.089985,TSS1500
cg20217702,AMOTL2,-0.122147,TSS1500
cg19132462,AMPD3,-0.218775,TSS200
cg21639988,ANAPC11,0.002044,TSS200
cg04852821,ANGEL1,0.12444,TSS1500
cg01961525,ANGEL2,0.004876,TSS200
cg08076018,ANGPTL2,0.482661,TSS200
cg00850068,ANGPTL4,0.181519,TSS1500
cg08523343,ANKH,0.280199,TSS1500
cg10835547,ANKHD1,0.012813,TSS200
cg02682525,ANKK1,0.083087,TSS1500
cg21782977,ANKRD12,0.005543,TSS200
cg20606279,ANKRD13A,0.002376,TSS200
cg07318453,ANKRD17,0.003814,TSS200
cg22889914,ANKRD2,-0.191461,TSS1500
cg01561719,ANKRD22,-0.255393,TSS200
cg01962727,ANKRD26P1,0.07679,TSS200
cg16300033,ANKRD30A,-0.011577,TSS1500
cg16770238,ANKRD30B,0.199807,TSS1500
cg25316339,ANKRD34B,0.264992,TSS200
cg27295832,ANKRD34C,0.281171,TSS1500
cg05725892,ANKRD37,0.006041,TSS1500
cg15133824,ANKRD39,0.026641,TSS200
cg22664986,ANKRD42,0.002652,TSS200
cg01751800,ANKRD56,-0.074995,TSS1500
cg09829636,ANKRD9,0.172931,TSS1500
cg10185638,ANKZF1,0.002951,TSS200
cg22216413,ANO3,0.202504,TSS200
cg04694619,ANO7,-0.155133,TSS200
cg06339606,ANP32A,-0.059972,TSS1500
cg14229247,ANP32B,-0.005163,TSS1500
cg15711744,ANP32D,-0.107016,TSS1500
cg00476580,ANP32E,0.013548,TSS1500
cg19405555,ANPEP,0.255548,TSS1500
cg22097342,ANXA5,0.002809,TSS200
cg07337598,ANXA9,-0.283686,TSS1500
cg14815743,AP2S1,0.11951,TSS1500
cg15925718,AP3M1,-0.005335,TSS1500
cg01632240,AP3M2,-0.092434,TSS1500
cg14329685,APBA1,0.02506,TSS1500
cg06457633,APBB1IP,-0.265176,TSS1500
cg25333257,APBB2,-0.2079,TSS1500
cg06825512,APCDD1,0.346613,TSS1500
cg24115032,APCDD1L,0.25833,TSS200
cg01976176,APEX1,-0.002478,TSS1500
cg20322837,APLNR,-0.226355,TSS1500
cg01053621,APOA2,-0.102543,TSS1500
cg17187764,APOBEC1,-0.306822,TSS200
cg10316474,APOBEC3C,0.169371,TSS200
cg26530502,APOBEC3D,-0.007761,TSS1500
cg11911305,APOC1P1,0.243,TSS1500
cg14723423,APOC2,-0.078827,TSS1500
cg19058765,APOH,-0.028783,TSS1500
cg16121206,APOL2,0.089227,TSS200
cg15245051,APOL3,-0.149624,TSS1500
cg21205978,APOL6,0.294911,TSS1500
cg14228885,APTX,-0.008172,TSS1500
cg25075794,AQP1,0.297947,TSS200
cg04518186,AQP11,0.174867,TSS1500
cg07034276,AQP6,-0.024379,TSS200
cg02916147,AQP8,-0.051657,TSS1500
cg11098259,AQP9,0.139186,TSS200
cg12288726,ARF5,0.097248,TSS1500
cg26529516,ARFGAP3,0.193835,TSS200
cg04947838,ARFGEF1,-0.003472,TSS1500
cg02693127,ARHGAP10,0.342668,TSS1500
cg14652031,ARHGAP20,0.134914,TSS200
cg25246246,ARHGAP27,-0.204496,TSS200
cg08339023,ARHGAP9,-0.19094,TSS1500
cg11460558,ARHGEF18,0.143458,TSS1500
cg02127198,ARL13B,0.003292,TSS200
cg25998666,ARL2,-0.193403,TSS1500
cg14806146,ARL4D,0.000166,TSS200
cg06115318,ARL5B,0.001787,TSS200
cg11879577,ARL6IP1,0.052369,TSS1500
cg08934286,ARL6IP4,0.041655,TSS1500
cg09019002,ARMC10,0.012124,TSS200
cg02512226,ARMC4,0.147461,TSS1500
cg11698035,ARMC7,0.117745,TSS1500
cg24296920,ARMS2,-0.151934,TSS200
cg08649360,ARPC4,-0.155833,TSS1500
cg14191675,ARPC5L,-0.000755,TSS1500
cg21849597,ARPP19,0.05271,TSS1500
cg16546703,ARSI,0.165751,TSS1500
cg03245218,ART1,-0.161961,TSS200
