ID,gene,dbeta,feature
cg20706071,A4GALT,-0.0819158615331019,TSS200
cg18254147,ACSL6,-0.0835318286513359,TSS1500
cg20781461,ADAM11,-0.0862811708319817,TSS1500
cg13483026,ADCY5,-0.1057263451941027,TSS1500
cg07011172,ADRA1B,-0.0824639402191546,TSS200
cg15873320,ADRA1D,-0.1020440450986015,TSS1500
cg12209743,ANKRD6,-0.0865378000077493,TSS200
cg13165472,ANTXR1,-0.1015336901712424,TSS200
cg01692815,AP3B1,-0.0806611361462171,TSS1500
cg03410065,APBB1,-0.0859897648662687,TSS1500
cg09155701,ARL10,-0.0947387477934975,TSS200
cg25127315,ARMC2,-0.0869388224821041,TSS1500
cg10047173,ART4,0.0828735818688149,TSS200
cg08856941,AS3MT,-0.0935612993655663,TSS200
cg13734055,ATP6V1B2,-0.0841544379842588,TSS1500
cg23764381,ATRNL1,-0.0838261495360855,TSS1500
cg21591173,AUTS2,-0.0812086633498179,TSS1500
cg26499611,BAIAP3,-0.0910943962898089,TSS1500
cg26072906,BATF3,-0.1178831542986126,TSS1500
cg19114050,BCL2L10,-0.0816749973488829,TSS200
cg05871997,BEND6,-0.090487601957437,TSS200
cg02621694,BMP3,-0.1043291151528659,TSS1500
cg22541378,BMP6,-0.0935722854294962,TSS200
cg13973813,BMPER,-0.0969892445852654,TSS200
cg23617327,BNC2,-0.0944278160361797,TSS1500
cg07873980,BOC,-0.1047189581335659,TSS200
cg01236148,BSCL2,-0.089512445013157,TSS200
cg14835062,C12orf53,-0.0897995212140539,TSS200
cg15968307,C12orf68,-0.0880018613852542,TSS200
cg19281363,C13orf15,-0.0867966263475085,TSS1500
cg08462545,C15orf27,-0.0842741637523401,TSS1500
cg24133784,C15orf59,-0.0874357947047203,TSS1500
cg23431851,C1orf190,-0.0935025676232812,TSS200
cg01180513,C20orf194,-0.1019830196357785,TSS200
cg04787024,C2orf55,-0.086950602955777,TSS1500
cg21920859,C3orf50,-0.0845536891735504,TSS1500
cg21093807,C3orf63,-0.0814116592758811,TSS1500
cg09693432,C5orf49,-0.082661810767616,TSS200
cg14444140,C6orf145,-0.0818637628868608,TSS1500
cg02076698,C6orf174,-0.0882946606326291,TSS200
cg05142982,C8orf42,0.0865185521422678,TSS1500
cg26030713,C8orf45,-0.0910624979857094,TSS1500
cg23010302,CA4,-0.0886581490500892,TSS200
cg10373196,CA7,-0.0911995263846102,TSS200
cg26640370,CABP7,-0.0877504522515711,TSS1500
cg21482659,CACNA2D1,-0.0905820645706249,TSS1500
cg12609243,CACNA2D3,-0.0831828762332557,TSS1500
cg01151699,CACNG2,-0.1002864636312913,TSS1500
cg02719752,CADPS,-0.0816827799224654,TSS200
cg27304754,CALB2,-0.0823325846394639,TSS1500
cg06984080,CASKIN1,-0.0806931993358353,TSS1500
cg12968192,CBS,-0.0923467876555248,TSS1500
cg00395262,CCDC39,-0.080645796642162,TSS1500
cg01805574,CCDC63,-0.0874470687680899,TSS200
cg24129626,CD300LG,-0.080104327329631,TSS200
cg24331301,CDH23,-0.0950482909159579,TSS1500
cg14831838,CDK5R2,-0.0860838154645093,TSS200
cg11744767,CDKN1C,-0.0806924943379473,TSS1500
cg13482209,CELSR3,-0.0849305772869532,TSS200
cg24919790,CH25H,-0.0976224020264485,TSS1500
cg25155846,CHAT,-0.0836253533394986,TSS1500
cg00282347,CHD5,-0.1032405802408042,TSS1500
cg23653008,CHFR,-0.0934840630942787,TSS1500
cg21389743,CLDN11,-0.1156517397020002,TSS200
cg02242289,CNIH3,-0.0891694128512509,TSS200
cg02825887,CNTFR,-0.084552310285287,TSS1500
cg20129242,COL12A1,-0.1039191343014844,TSS200
cg06638966,COL19A1,-0.1122735266009259,TSS200
cg05126887,COL21A1,-0.0863884957003788,TSS200
cg08772752,COL7A1,-0.0828173058540313,TSS200
cg16452224,CPNE9,-0.0912475764281333,TSS200
cg24366211,CPT1A,-0.0912133300706471,TSS1500
cg20727114,CPT1C,-0.0832082220033144,TSS1500
cg06539804,CPXM1,-0.0875045696642127,TSS1500
cg26556895,CRABP1,-0.1066294806557379,TSS200
cg01718447,CRHR2,0.0854308927109282,TSS200
cg00575127,CRLF1,-0.0845719004948175,TSS1500
cg21614735,CSMD3,-0.0833354135813625,TSS1500
cg04373435,CTNNA2,-0.1091383276512329,TSS1500
cg10927719,CXCL12,-0.0864361831099868,TSS1500
cg15574312,CYGB,-0.0939976178423704,TSS200
cg17852385,CYP1A1,-0.0879796098307635,TSS1500
cg11034245,CYP26B1,-0.1028252472615034,TSS200
cg21012362,DCHS1,-0.0882634989517055,TSS200
cg14774086,DERL3,-0.0826271987627355,TSS200
cg13126530,DIO3,-0.0891895324331158,TSS1500
cg18765366,DOC2B,-0.0895338014336399,TSS200
cg12687897,DOCK3,-0.0957656646341874,TSS1500
cg19201719,DOCK8,-0.0861515595351488,TSS200
cg23881278,DRD2,-0.0893301943783694,TSS1500
cg05022673,DST,-0.1021388542955009,TSS200
cg06596054,DTX3,-0.080640885868273,TSS200
cg13605988,DUOX1,-0.0801135864770533,TSS1500
cg07732115,DYNLRB2,-0.1098676103182999,TSS1500
cg11095319,E2F8,-0.0892926453228498,TSS1500
cg16126280,EBF1,-0.089373687635084,TSS1500
cg07045241,EBF3,-0.0917328460556322,TSS1500
cg23875264,EDARADD,-0.1069184992858589,TSS200
cg00576331,EFEMP2,-0.0815094101378754,TSS200
cg12118465,EFHD1,-0.0883855632744483,TSS1500
cg17570276,EIF2AK1,-0.0928100997375478,TSS1500
cg08933227,ELOVL4,-0.1201349805146866,TSS1500
cg11648289,EN2,-0.0806050333252942,TSS1500
cg06998282,ENPP2,-0.0807986438726937,TSS1500
cg20637307,ERBB4,-0.0902628281976651,TSS1500
cg16637178,ESYT3,-0.0825408588439795,TSS200
cg06058891,EYA2,-0.1020352920075831,TSS200
cg14773260,F2R,-0.0830072763904446,TSS1500
cg01202197,FADS6,-0.0929235837422356,TSS1500
cg09551776,FAM176A,-0.0881377048818769,TSS200
cg08779706,FAM24B,-0.0881641044743746,TSS1500
cg18820209,FAM69C,-0.0993908428974436,TSS200
cg09374774,FAM78A,-0.086197922951064,TSS200
cg00990763,FAT4,-0.1058525277163439,TSS1500
cg20509780,FBLN1,-0.0910810079829908,TSS1500
cg12189137,FBXO21,-0.0813762283657602,TSS1500
cg14326885,FLJ11235,-0.0841191912374077,TSS200
cg06213964,FLJ22536,-0.0939996075607837,TSS1500
cg14485809,FLJ41350,-0.085282467406891,TSS200
cg03247926,FLT1,-0.091134182147204,TSS1500
cg19591056,FMN2,-0.0934351566360161,TSS200
cg25224094,FOXB1,-0.1164220735695302,TSS200
cg24399830,FREM2,-0.1205449269394559,TSS1500
cg07370141,FSTL4,-0.1124807012831568,TSS1500
cg17710021,G0S2,-0.0918594764947817,TSS200
cg04661674,GABBR1,-0.0948239709079831,TSS1500
cg21820677,GABRA2,-0.093598066271575,TSS1500
cg23050361,GABRB2,-0.1067403337202484,TSS1500
cg05049361,GALNTL1,-0.1007648437472218,TSS200
cg15765724,GBX2,-0.0821109889626028,TSS1500
cg07966910,GDF7,-0.100184292536611,TSS200
cg14072903,GFRA2,-0.1216369011244689,TSS1500
cg14467488,GJB6,-0.0909960895923313,TSS200
cg01903557,GNB4,-0.0902943916040489,TSS1500
cg20818778,GNG4,-0.1204495376237468,TSS1500
cg14798760,GPR98,-0.0996269371057691,TSS1500
cg26170660,GPX5,-0.0820544504286601,TSS200
cg06866686,GSC,-0.0840194772486348,TSS1500
cg21905630,GSX2,-0.1194752209644191,TSS1500
cg03431972,HAND1,-0.1145043755003407,TSS200
cg07410872,HAND2,-0.0804102233797526,TSS200
cg26411015,HDGFRP3,-0.0948878593405684,TSS1500
cg12644696,HECW2,-0.0811824474506996,TSS1500
cg08178441,HELT,-0.103777428472459,TSS1500
cg26732804,HHEX,-0.0829703704936428,TSS200
cg02005147,HHIPL1,-0.0843115208386597,TSS200
cg17432453,HIST1H3C,-0.0804358379039143,TSS200
cg00036011,HIST1H3G,-0.0987745682683428,TSS200
cg07477034,HLF,-0.0843201827153263,TSS1500
cg03016097,HOMER2,-0.1128615287396581,TSS1500
cg00445443,HOXA2,0.0942475041812971,TSS1500
cg07791427,HOXC8,-0.1047626777906531,TSS200
cg00495775,HOXD11,-0.0824440619718419,TSS200
cg10605520,HRH3,-0.0950212220507132,TSS1500
cg01971137,HS3ST3B1,-0.0987773033843683,TSS1500
cg27176138,HS6ST3,-0.082181733800121,TSS200
cg21463763,HSPA12B,-0.1171375517009427,TSS200
cg11438011,HTR4,-0.0913151180746091,TSS200
cg12639324,HTR7,-0.1043200425075653,TSS200
cg02577436,HTRA3,-0.0808018156856067,TSS200
cg17252960,ID4,-0.0974321918967689,TSS1500
cg03539340,IFT52,-0.0806392501391053,TSS1500
cg12477716,IGF2BP1,-0.1042849039708824,TSS1500
