ID,gene,dbeta,feature,cluster
cg00336946,A2LD1,-0.29138,TSS1500,3
cg14019050,ABCA1,0.320412,TSS1500,3
cg04388863,ABCC11,-0.315234,TSS1500,3
cg02828779,ACTRT2,-0.304663,TSS1500,3
cg12075442,ACYP1,-0.275343,TSS1500,3
cg23179456,ADCY4,0.325656,TSS200,3
cg04101806,AFF3,-0.34462,TSS1500,2
cg10720080,AHSG,-0.297522,TSS200,3
cg07195224,AIM2,-0.264293,TSS1500,2
cg00268840,ALX4,0.261006,TSS1500,2
cg08076018,ANGPTL2,0.295667,TSS200,3
cg22889914,ANKRD2,-0.338343,TSS1500,2
cg25468058,ANXA9,-0.293934,TSS1500,3
cg03667968,APC,0.262632,TSS200,3
cg13968061,APCS,-0.295477,TSS1500,3
cg26074140,ARTN,-0.320272,TSS1500,3
cg16264705,ATP5G2,0.263601,TSS1500,3
cg11823511,BARHL2,0.327363,TSS1500,2
cg26654798,BNC1,0.293606,TSS1500,2
cg04350066,BPIL1,-0.277304,TSS1500,3
cg12116851,BTBD18,-0.260318,TSS1500,3
cg24584161,BUB1B,-0.276879,TSS1500,3
cg10616411,C10orf82,-0.289914,TSS1500,3
cg03479289,C11orf41,-0.299365,TSS1500,3
cg03625684,C13orf28,-0.297675,TSS1500,3
cg03478444,C16orf78,-0.283326,TSS1500,2
cg08926571,C1QL3,-0.313495,TSS1500,3
cg25330016,C1QTNF1,0.271336,TSS200,3
cg00002719,C1orf114,0.435917,TSS200,3
cg03847796,C1orf161,-0.292411,TSS1500,3
cg17242490,C1orf175,-0.273212,TSS1500,3
cg16510654,C1orf64,-0.320452,TSS200,3
cg24181605,C2CD4B,-0.342301,TSS1500,3
cg17612991,C3,0.270159,TSS1500,3
cg15770125,C3orf32,-0.334138,TSS200,3
cg04757243,C3orf36,-0.306436,TSS200,3
cg03334213,C4orf26,-0.270618,TSS1500,3
cg26611500,C5orf20,-0.325713,TSS200,2
cg08972357,C5orf37,-0.300779,TSS1500,3
cg23348723,C7orf16,-0.38057,TSS1500,3
cg13403967,C8orf71,-0.291016,TSS200,3
cg10091775,CA12,-0.263078,TSS1500,3
cg18674980,CA3,0.381598,TSS1500,3
cg08439122,CAPN2,-0.332483,TSS1500,3
cg27412093,CAPN9,-0.266068,TSS1500,3
cg12468774,CCDC36,0.262326,TSS200,2
cg26827247,CCDC67,0.261765,TSS1500,3
cg05281206,CCL13,-0.267198,TSS1500,3
cg02478603,CD1B,-0.277013,TSS200,3
cg18069403,CD200R1L,-0.260505,TSS1500,1
cg11939496,CD244,-0.300057,TSS1500,1
cg07471052,CDK3,-0.261427,TSS1500,3
cg04106785,CDK5R1,0.269815,TSS1500,3
cg17204129,CFTR,0.333193,TSS1500,3
cg01559259,CHST1,-0.271238,TSS1500,3
cg12426652,CLDN14,0.273419,TSS200,3
cg13358636,CNTNAP5,0.321026,TSS1500,3
cg22358102,CRCT1,-0.316488,TSS1500,2
cg26196496,CRHBP,-0.276795,TSS1500,3
cg08474603,CRP,-0.294185,TSS200,3
cg05619712,CRYGC,-0.264743,TSS200,3
cg08260891,CTSA,0.266109,TSS1500,3
cg03789645,CUL1,0.294242,TSS1500,3
cg20427865,CX3CL1,0.356146,TSS200,3
cg16512640,CXCL17,-0.273036,TSS1500,3
cg11324259,CYP11B2,-0.379672,TSS200,3
cg09440270,CYP26C1,0.304446,TSS1500,3
cg10808936,DARC,-0.295687,TSS1500,1
cg21578543,DCHS2,-0.28422,TSS1500,3
cg00124375,DDAH2,0.275786,TSS200,3
cg25071651,DDIT4L,0.332119,TSS1500,3
cg09968709,DEFB115,-0.359267,TSS200,3
cg12130725,DGKB,-0.313456,TSS1500,3
cg12618806,DLGAP2,-0.335643,TSS200,3
cg19540371,DNAH5,-0.264747,TSS1500,3
cg17154724,DNM3,0.425296,TSS1500,3
cg17946714,DOPEY2,-0.263947,TSS1500,3
cg12321193,EDNRB,-0.274943,TSS1500,1
cg25929139,ELFN1,-0.279725,TSS1500,3
cg18868540,F2,-0.32299,TSS1500,3
cg20329620,F7,-0.285502,TSS1500,3
cg27530053,FAM83E,-0.289487,TSS200,3
cg14696870,FCER1A,-0.27232,TSS1500,1
cg08786003,FCRL3,-0.391707,TSS200,1
cg04458548,FETUB,-0.304272,TSS1500,3
cg10764440,FGF23,-0.268712,TSS1500,3
cg25209842,FGF8,0.287349,TSS1500,3
cg01593385,FGG,-0.264946,TSS1500,3
cg25078444,FOXG1,0.283761,TSS1500,2
cg24154839,GABRA4,0.294474,TSS200,1
cg18681464,GAL3ST4,0.274583,TSS1500,3
cg00222053,GHRH,0.27201,TSS1500,3
cg09997082,GIPR,-0.321677,TSS1500,1
cg17816394,GNG4,0.30856,TSS1500,3
cg18581950,GPBAR1,0.283428,TSS1500,1
cg26451345,GPR115,-0.288025,TSS200,3
cg03803009,GPR142,-0.313361,TSS200,1
cg25785303,GREB1,-0.295038,TSS1500,3
cg11709405,GRHL3,0.26139,TSS200,2
cg13510813,GRIK5,-0.318405,TSS1500,1
cg20682222,GRXCR1,-0.314413,TSS1500,3
cg15613420,H2AFY,0.3118,TSS1500,2
cg17508991,HCK,0.300364,TSS1500,3
cg27172877,HEPACAM,-0.337721,TSS1500,3
cg17053060,HEPHL1,0.290095,TSS200,3
cg14508777,HIGD1A,-0.289235,TSS1500,3
cg06329587,HINFP,-0.289077,TSS1500,2
cg14652095,HIST1H1A,0.317099,TSS200,2
cg05934698,HNF1A,-0.279682,TSS200,2
cg16121136,HNF4A,-0.300305,TSS1500,2
cg14625175,HOXA10,0.262457,TSS200,2
cg11015251,HOXA4,0.285392,TSS200,2
cg19240569,HRASLS2,-0.28294,TSS1500,3
cg24539090,IFI16,-0.273731,TSS1500,2
cg02194398,IL15,-0.345493,TSS1500,3
cg11591520,IL21,-0.308487,TSS200,3
cg00050618,IL21R,-0.301815,TSS200,1
cg12898868,IQCF5,-0.268967,TSS1500,2
cg05497345,ITPRIPL1,0.26461,TSS1500,3
cg08332071,JAM3,-0.265793,TSS1500,3
cg05121182,KALRN,-0.267482,TSS1500,3
cg24926465,KCNAB1,-0.303735,TSS1500,3
cg13606025,KCNJ16,-0.34212,TSS1500,3
cg05307477,KCNK18,-0.302779,TSS200,3
cg13081704,KCNQ1DN,0.269834,TSS1500,3
cg09028204,KCNS1,0.273185,TSS200,3
cg10190334,KHDC1L,-0.344355,TSS1500,2
cg24838349,KIR2DL4,-0.269959,TSS200,1
cg02324432,KLHL2,0.336755,TSS1500,3
cg08217447,KLHL5,-0.266915,TSS1500,3
cg15776494,KLK1,-0.302513,TSS1500,3
