ID,gene,dbeta,feature
cg22286978,A1BG,0.115923,Body
cg24411946,A1CF,-0.161512,5'UTR
cg04973802,A2BP1,-0.202504,5'UTR
cg25710107,A2LD1,0.121457,TSS1500
cg00134295,A2M,-0.088182,TSS1500
cg04884118,A2ML1,-0.207004,Body
cg03328754,A4GALT,-0.055497,5'UTR
cg00081087,AAA1,-0.137092,Body
cg21881338,AACS,-0.185663,Body
cg04196933,AACSL,-0.059047,Body
cg19620994,AADACL3,-0.139767,TSS1500
cg06751920,AADACL4,0.162141,TSS1500
cg12506971,AADAT,-0.182583,5'UTR
cg07462279,AAGAB,0.130014,3'UTR
cg24171555,AAK1,-0.186709,Body
cg04582695,AANAT,-0.088668,5'UTR
cg08750807,AARS,-0.065614,3'UTR
cg10131297,AARS2,-0.163495,3'UTR
cg18658096,AARSD1,0.003952,Body
cg12283482,AASDH,-0.11746,TSS1500
cg09688422,AASDHPPT,-0.012551,Body
cg03238396,AASS,-0.114204,Body
cg02975268,AATF,-0.09633,Body
cg06971227,AATK,-0.166529,Body
cg07431888,ABAT,-0.242515,5'UTR
cg13430450,ABCA1,-0.149309,TSS1500
cg14019757,ABCA10,-0.020792,5'UTR
cg16937333,ABCA11P,0.000704,TSS1500
cg04530015,ABCA12,-0.14156,3'UTR
cg03372042,ABCA13,-0.228439,Body
cg12878183,ABCA17P,-0.071526,TSS1500
cg06400857,ABCA2,-0.111523,3'UTR
cg02543796,ABCA3,-0.095565,5'UTR
cg18800235,ABCA4,0.14361,Body
cg03805929,ABCA5,-0.036661,5'UTR
cg22081096,ABCA6,-0.043563,1stExon
cg12082025,ABCA7,-0.224481,Body
cg03850529,ABCA8,-0.012585,5'UTR
cg22093121,ABCA9,0.174376,TSS200
cg25477497,ABCB1,-0.22893,Body
cg00355656,ABCB10,-0.051573,Body
cg18912768,ABCB11,-0.139458,5'UTR
cg06869512,ABCB4,-0.119249,Body
cg22426329,ABCB5,-0.112296,Body
cg06716437,ABCB6,-0.144703,TSS1500
cg22134611,ABCB8,-0.089678,Body
cg03212620,ABCB9,-0.051609,3'UTR
cg16702014,ABCC1,0.124078,Body
cg25545088,ABCC10,0.064533,TSS1500
cg07383076,ABCC11,-0.14169,5'UTR
cg09648454,ABCC12,-0.161942,Body
cg12162424,ABCC13,-0.117673,Body
cg09448875,ABCC2,-0.263918,TSS200
cg00081975,ABCC3,-0.16308,Body
cg24476569,ABCC4,-0.111886,TSS1500
cg09230938,ABCC5,0.146407,Body
cg06289735,ABCC6P1,-0.012574,TSS1500
cg04674590,ABCC8,-0.102587,5'UTR
cg19527799,ABCC9,-0.040734,Body
cg13406085,ABCD2,-0.044251,Body
cg11689700,ABCD3,0.070231,3'UTR
cg05878073,ABCD4,-0.102999,Body
cg01713095,ABCE1,-0.062559,3'UTR
cg11606826,ABCF1,0.116072,Body
cg27147545,ABCF2,-0.044536,Body
cg24632865,ABCF3,-0.022461,Body
cg20214535,ABCG1,0.132431,TSS1500
cg24207176,ABCG2,-0.079592,1stExon
cg06622994,ABCG4,-0.14852,3'UTR
cg18303215,ABCG5,-0.10593,Body
cg13724820,ABCG8,-0.215529,Body
cg25101396,ABHD1,-0.208388,TSS1500
cg27279460,ABHD10,0.014351,TSS200
cg23795429,ABHD11,-0.10103,Body
cg24626310,ABHD12,0.132516,Body
cg21052932,ABHD12B,-0.128661,5'UTR
cg04942640,ABHD13,-0.026893,5'UTR
cg11491074,ABHD14A,0.005909,TSS200
cg03638479,ABHD14B,0.065185,TSS1500
cg23473955,ABHD15,-0.114023,1stExon
cg10173620,ABHD2,-0.10389,5'UTR
cg05766064,ABHD3,-0.120012,Body
cg01806590,ABHD4,0.140564,TSS1500
cg24595152,ABHD5,-0.095642,Body
cg27143326,ABHD6,0.242295,5'UTR
cg02307597,ABHD8,-0.197636,3'UTR
cg10311020,ABI1,0.131393,Body
cg24747427,ABI2,-0.02649,3'UTR
cg11133963,ABI3,-0.196779,Body
cg14969542,ABI3BP,-0.150877,Body
cg14362370,ABL1,-0.128362,5'UTR
cg22335155,ABL2,-0.157186,Body
cg19226626,ABLIM1,0.218644,Body
cg17972100,ABLIM2,-0.206297,Body
cg26182487,ABLIM3,-0.143347,5'UTR
cg24267699,ABO,-0.145243,TSS1500
cg04514683,ABP1,-0.110361,TSS1500
cg18468019,ABR,-0.250617,Body
cg17049320,ABRA,-0.078925,TSS1500
cg05185573,ABT1,-0.034283,Body
cg11031714,ABTB1,-0.121448,Body
cg26809043,ABTB2,-0.11561,Body
cg06808967,ACAA1,0.034122,TSS200
cg06135495,ACAA2,-0.173105,Body
cg10295552,ACACA,0.218012,Body
cg04777824,ACACB,-0.080173,Body
cg09427417,ACAD10,0.077098,3'UTR
cg05279761,ACAD11,-0.062807,Body
cg19037107,ACAD8,-0.095627,Body
cg09068528,ACADL,-0.167295,5'UTR
cg05258079,ACADM,-0.162075,TSS1500
cg06793505,ACADS,-0.0665,Body
cg14914908,ACAN,-0.235108,TSS1500
cg25671438,ACAP1,0.04503,Body
cg15323936,ACAP2,0.084354,3'UTR
cg25203980,ACAP3,-0.102438,Body
cg09900253,ACAT2,0.129526,Body
cg18385299,ACBD3,0.101995,Body
cg24180402,ACBD4,0.13218,3'UTR
cg00507135,ACBD5,-0.15053,Body
cg16358350,ACBD6,-0.116115,TSS1500
cg12009856,ACBD7,0.006041,TSS1500
cg14826891,ACCN1,-0.143927,Body
cg06587257,ACCN2,-0.09335,5'UTR
cg07698638,ACCN3,-0.178851,1stExon
cg06175981,ACCN4,0.097441,Body
cg05385306,ACCN5,-0.096111,TSS1500
cg09920268,ACCS,-0.096325,3'UTR
cg03105379,ACCSL,-0.099794,Body
cg10468385,ACE,-0.021345,3'UTR
cg15716042,ACER1,-0.105842,Body
cg02208432,ACER3,-0.205791,TSS1500
cg02607340,ACHE,-0.187669,TSS1500
cg26960833,ACIN1,0.06127,Body
cg25687894,ACLY,-0.023783,TSS1500
cg02499308,ACMSD,-0.191837,TSS1500
cg26505959,ACN9,0.127512,1stExon
cg13572911,ACO1,-0.040686,TSS1500
cg08172947,ACO2,0.146739,Body
cg18180407,ACOT11,0.237343,Body
cg22475952,ACOT13,-0.019563,3'UTR
cg09535072,ACOT6,-0.015485,5'UTR
cg09513469,ACOT7,-0.199898,Body
cg08101264,ACOT8,-0.071916,TSS1500
cg24096680,ACOX1,-0.117205,3'UTR
cg23652987,ACOX2,0.109282,Body
cg19661030,ACOX3,-0.194227,5'UTR
cg12142521,ACOXL,-0.156438,5'UTR
cg13354988,ACP1,-0.046782,TSS1500
cg17658002,ACP5,-0.184729,TSS1500
cg18709479,ACP6,-0.006907,5'UTR
cg01335127,ACPL2,-0.116953,5'UTR
cg05409131,ACPP,0.172413,Body
cg15782391,ACPT,-0.122008,TSS1500
cg26034629,ACR,-0.057088,TSS1500
cg25683185,ACRBP,-0.190747,Body
cg07153965,ACRV1,-0.010505,TSS1500
cg10633664,ACSBG1,-0.164506,Body
cg08256781,ACSBG2,-0.090974,TSS200
cg03919657,ACSF2,-0.169975,TSS1500
cg06798657,ACSF3,-0.106939,Body
cg01714284,ACSL1,-0.204715,Body
cg25947773,ACSL3,0.148571,5'UTR
cg18733757,ACSL5,-0.15873,TSS1500
cg01185278,ACSL6,-0.074236,TSS1500
cg02009395,ACSM1,-0.15581,TSS200
cg16672922,ACSM3,-0.040938,5'UTR
cg03612990,ACSM4,-0.121102,TSS1500
cg06686156,ACSM5,-0.099369,TSS1500
cg03750993,ACSS1,-0.063806,TSS1500
cg13777294,ACSS2,-0.049346,Body
cg23614791,ACSS3,0.124773,TSS200
cg04568492,ACTA1,0.129646,Body
cg03755566,ACTA2,0.073646,Body
cg14145074,ACTB,0.139902,Body
cg26657920,ACTBL2,-0.135485,TSS1500
cg10580056,ACTC1,0.094762,Body
cg12793711,ACTG1,0.01718,Body
cg14088161,ACTL6B,-0.140262,TSS1500
cg14561444,ACTL7A,-0.00482,1stExon
cg19863405,ACTL7B,-0.057573,TSS1500
cg19685066,ACTL8,-0.159943,5'UTR
cg19611002,ACTL9,-0.162693,TSS1500
cg13777668,ACTN1,-0.189613,Body
cg16672668,ACTN2,-0.153887,Body
cg27380459,ACTN3,-0.129896,Body
cg26831416,ACTN4,-0.135008,Body
cg11123847,ACTR10,-0.02323,3'UTR
cg15219811,ACTR1A,-0.037446,Body
cg06698844,ACTR1B,-0.133624,TSS1500
cg08053057,ACTR2,0.040641,Body
cg20713790,ACTR3B,-0.022531,Body
cg11740103,ACTR3C,-0.088558,TSS200
cg02920992,ACTR6,-0.065264,Body
cg20879770,ACTR8,-0.088496,TSS1500
cg18123385,ACTRT2,-0.144341,1stExon
cg09499849,ACVR1,-0.116792,5'UTR
cg01517968,ACVR1B,-0.098687,Body
cg18061904,ACVR1C,0.208798,TSS200
cg14420245,ACVR2A,-0.074806,TSS1500
cg02147316,ACVR2B,0.132735,Body
cg11788367,ACVRL1,-0.113614,Body
cg16159313,ACY1,-0.015573,Body
cg23879118,ACY3,-0.123611,Body
cg12075442,ACYP1,0.003179,TSS1500
cg06001734,ACYP2,-0.133177,Body
cg22316575,ADA,-0.020187,3'UTR
cg00152611,ADAD1,-0.1619,5'UTR
cg01705811,ADAD2,-0.180475,TSS1500
cg27481594,ADAL,-0.047256,5'UTR
cg02816525,ADAM10,-0.048391,Body
cg02188443,ADAM11,-0.164409,3'UTR
cg07251141,ADAM12,-0.223367,Body
cg10249703,ADAM15,-0.064762,Body
cg17603321,ADAM17,0.005932,TSS1500
cg13667243,ADAM19,0.189752,Body
cg03716937,ADAM2,-0.04188,TSS200
cg13732858,ADAM20,-0.05744,Body
cg03512208,ADAM21,-0.086276,TSS1500
cg20576094,ADAM21P1,-0.089128,TSS1500
cg14825462,ADAM22,0.055514,Body
cg07319626,ADAM23,0.187753,TSS200
cg14976447,ADAM28,0.005772,Body
cg08746033,ADAM29,-0.264973,Body
cg16166968,ADAM30,0.111413,1stExon
cg25765819,ADAM32,-0.027677,Body
cg08424491,ADAM33,-0.15685,Body
cg07927909,ADAM3A,-0.036794,TSS200
cg14742937,ADAM5P,0.142259,TSS200
cg17897391,ADAM7,-0.116625,TSS1500
cg05370838,ADAM8,-0.19746,3'UTR
cg05945984,ADAM9,-0.033409,Body
cg13059335,ADAMDEC1,0.031831,5'UTR
cg02425108,ADAMTS1,-0.02124,3'UTR
cg04590718,ADAMTS10,-0.163591,Body
cg04578894,ADAMTS12,-0.189939,Body
cg14110709,ADAMTS13,-0.131186,Body
cg18968090,ADAMTS14,-0.256733,TSS200
cg23214308,ADAMTS15,-0.176337,TSS200
cg15409013,ADAMTS16,0.196059,TSS1500
cg24782378,ADAMTS17,-0.187761,Body
cg07288031,ADAMTS18,0.149585,Body
