ID,gene,dbeta,feature
cg10222734,A1CF,-0.011788145012909503,5'UTR
cg11139127,A2M,-0.007078372862538752,Body
cg11756734,A2ML1,-0.011926752859975983,3'UTR
cg13001012,AADAC,-0.0065596748088744,TSS1500
cg08247450,AADAT,0.008577866705193017,5'UTR
cg20940607,AAGAB,0.0026244174630277693,1stExon
cg18673409,AANAT,-0.008945908401946314,TSS1500
cg13561372,AASS,-0.007601985756667557,5'UTR
cg14974722,AATF,0.005704085370471247,TSS200
cg01221157,ABAT,0.011734986503152993,5'UTR
cg14065382,ABCA1,-0.0072919643162017754,Body
cg14105458,ABCA2,0.011493996111665109,Body
cg02715407,ABCA3,-0.012590619658237077,Body
cg18185648,ABCA4,0.009430651648237962,Body
cg03805929,ABCA5,-0.0031453210531698543,5'UTR
cg17334372,ABCA8,-0.005958020071145379,Body
cg22093121,ABCA9,-0.00621934112578539,TSS200
cg12270822,ABCB1,0.002903369323410831,5'UTR
cg24334048,ABCB11,-0.007080272292210296,Body
cg04438814,ABCB4,0.0075160321932748325,TSS200
cg23626475,ABCB5,-0.0038554051242294892,Body
cg26544277,ABCB6,0.007048292188629799,TSS200
cg09871133,ABCC1,0.01263788802713061,Body
cg00050375,ABCC10,-0.00538383083273647,Body
cg25274975,ABCC11,-0.006235714661643108,TSS200
cg05914069,ABCC2,-0.009810787000134177,TSS1500
cg25928474,ABCC3,-0.009151364978325272,Body
cg18016288,ABCC4,-0.007599393596088461,Body
cg13792075,ABCC5,0.007012901390033531,TSS200
cg07965331,ABCC6,-0.009384791373418574,Body
cg06535308,ABCC8,0.009836390256947205,Body
cg07702259,ABCE1,-0.008296622997496768,5'UTR
cg27243685,ABCG1,0.009276516268585784,Body
cg04064583,ABCG2,-0.007377069919936863,Body
cg25462896,ABCG4,-0.010011469595549645,Body
cg13460556,ABHD2,0.005994570127790465,Body
cg24822001,ABHD5,0.00728242925455267,TSS200
cg23196919,ABHD6,-0.0028612238420925463,Body
cg06020978,ABI1,-0.004470166795358916,Body
cg24747427,ABI2,-0.00361293641580205,3'UTR
cg03419646,ABI3,-0.007278161623789948,Body
cg21968765,ABI3BP,-0.012076419492537425,TSS200
cg02915920,ABL1,0.008735166230760542,Body
cg04691540,ABL2,0.0020556257470969717,1stExon
cg12020464,ABO,0.035487619994635955,Body
cg09639964,ABR,0.013463150657936886,3'UTR
cg07660627,ACACA,0.007896083606961188,Body
cg21165395,ACACB,-0.005821350683907255,Body
cg20203469,ACAD8,0.00817182155602719,Body
cg00289546,ACADL,0.005597520832618563,Body
cg10523679,ACADM,-0.016708411426847397,TSS1500
cg09813248,ACADS,0.006943171555280913,Body
cg21211413,ACAN,-0.009853748282025112,5'UTR
cg04180462,ACAT1,0.006296045082698723,Body
cg10554839,ACBD5,0.0068541201819502205,5'UTR
cg08632680,ACCS,0.00121775368016479,5'UTR
cg04265926,ACD,0.002584127091112889,TSS1500
cg19826045,ACE,-0.011330349090236478,Body
cg04674056,ACER2,0.0007937973920172775,TSS200
cg23549117,ACHE,-0.010846161687168562,Body
cg16502747,ACIN1,0.010361818887625523,Body
cg02861160,ACLY,-0.006002078688025875,Body
cg13572911,ACO1,0.01031463229155596,TSS1500
cg05365887,ACO2,0.0009596883972812618,TSS200
cg13458781,ACOT11,-0.009347983919807719,Body
cg10219223,ACOT7,0.01085978015693022,Body
cg12452675,ACOX1,0.005653206251174885,1stExon
cg00431236,ACP1,0.0073779318317891375,1stExon
cg10644885,ACP5,0.014220570935812464,Body
cg25232725,ACR,-0.008426993266956893,TSS1500
cg25683185,ACRBP,0.010118847931678887,Body
cg27257408,ACSBG1,-0.010069913105545029,1stExon
cg01899937,ACSL1,0.010447798921967998,Body
cg20707765,ACSL5,0.006964576715465446,TSS1500
cg25309041,ACSL6,-0.008872731973757349,Body
cg06478823,ACSM3,-0.010404049465001753,TSS1500
cg22556898,ACSS1,0.003496559057235369,TSS1500
cg09801828,ACSS2,-0.009734057085141587,TSS200
cg11649376,ACSS3,-0.010391829999741243,Body
cg02970384,ACTA1,0.0073424816023814395,Body
cg04490349,ACTB,-0.004095222234585106,TSS1500
cg26657920,ACTBL2,-0.006204222829454471,TSS1500
cg19415364,ACTG1,0.007010159477923412,TSS200
cg17176609,ACTG2,-0.006741324932462749,Body
cg25198545,ACTL6A,0.0054326761379480904,TSS200
cg15867698,ACTN1,0.013061994562469897,Body
cg20482698,ACTN2,0.0115792032797079,1stExon
cg26831416,ACTN4,0.007197685493516283,Body
cg14906010,ACTR10,0.0032329151357452816,1stExon
cg27488206,ACTR1B,0.0039071939950089,TSS1500
cg08053057,ACTR2,-0.005516107100368052,Body
cg12644353,ACTR3,-0.00869580539465677,5'UTR
cg26993105,ACTR3B,-0.005463228673948143,Body
cg02393907,ACTR3C,-0.009206996206663836,5'UTR
cg01690687,ACVR1,-0.006487532909630171,TSS1500
cg24433265,ACVR1B,-0.006723941004086005,3'UTR
cg06974034,ACVR1C,0.004718498256470594,Body
cg02093647,ACVR2A,0.006805514587980631,TSS200
cg06120492,ACVR2B,-0.006076651335121657,3'UTR
cg20131897,ACVRL1,-0.009640169934698566,TSS1500
cg13151269,ACY1,-0.007250072903233587,Body
cg03933203,ACY3,-0.007609591047294673,3'UTR
cg06001734,ACYP2,-0.005157516694802062,Body
cg11091439,ADA,0.0022478485662426315,5'UTR
cg02625641,ADAM10,0.00957111960329982,Body
cg04618277,ADAM11,-0.008203801504355736,Body
cg05525648,ADAM12,-0.010817484126623044,3'UTR
cg18832152,ADAM15,0.005306903087895517,3'UTR
cg19979102,ADAM17,0.0039751025394819065,Body
cg09648467,ADAM19,0.01050524214277663,Body
cg03512208,ADAM21,-0.004818638894816831,TSS1500
cg17589437,ADAM22,0.006720120932588352,1stExon
cg21997164,ADAM23,-0.004242781179223064,3'UTR
cg17969683,ADAM28,-0.004555328032602635,TSS200
cg25097705,ADAM29,-0.005806597306674126,5'UTR
cg25765819,ADAM32,-0.0041373291086936785,Body
cg23073319,ADAM33,-0.010094070609671402,Body
cg24382527,ADAM8,0.007107782538879904,1stExon
cg00687766,ADAM9,0.005216331788154967,Body
cg24262066,ADAMTS1,0.005894448642399978,1stExon
cg03592903,ADAMTS12,-0.012447825155988383,Body
cg14802951,ADAMTS13,-0.011847059288569101,5'UTR
cg00618155,ADAMTS14,-0.005839851159504447,Body
cg10773249,ADAMTS15,-0.010475239492664457,Body
cg00087067,ADAMTS16,-0.011326147460857966,Body
cg26941368,ADAMTS18,0.009638557301158786,TSS1500
cg17651451,ADAMTS2,-0.013563228054640311,Body
cg24643381,ADAMTS20,-0.006740202658398074,Body
cg07771160,ADAMTS5,-0.009830052115268984,Body
cg21033632,ADAMTS6,-0.007808761634888517,Body
cg08182171,ADAMTS8,0.012659697610498961,Body
cg14187266,ADAMTS9,-0.006168754290914935,Body
cg08115297,ADAMTSL3,-0.008101763843577749,3'UTR
cg16559275,ADAMTSL4,0.006509843163761514,5'UTR
cg09786420,ADAR,0.006150414333249499,5'UTR
cg21913632,ADARB1,-0.008025954616490014,5'UTR
cg01561194,ADARB2,-0.01187037698243972,Body
cg23949519,ADAT2,-0.005086533285080888,Body
cg04556393,ADCY10,-0.007332166512227413,Body
cg09505516,ADCY3,0.014534600336293698,Body
cg26351229,ADCY8,0.007862274175556067,TSS1500
cg11850773,ADCYAP1,0.009123531036453077,5'UTR
