Probe_ID,import_level_in_forest,gene
cg09106903,0.0015181020515072335,ESRRG
cg18279094,0.0012471271919972785,FOXD3
cg00097146,0.0008201647998626975,SIX3
cg07974511,0.010460464007459924,OTX1
cg09238180,0.003726682716692742,HOXD8
cg10364040,0.007028727626455811,HOXD10
cg11546137,0.0002412945861221723,HOXD11
cg21185289,0.003311020709994542,TLX2
cg22674699,0.00015016345038489944,HOXD9
cg04738965,0.013663696598209561,ZIC1
cg12702981,0.004519519363672571,NR1I2
cg16768018,0.07055255784795367,ZIC4
cg20072171,0.010093930528795932,FEZF2
cg05835105,3.463782422100273e-05,PITX2
cg06083330,0.016438439578226483,POU4F2
cg00396667,0.008014155827547541,PITX1
cg03604011,0.004852221711578196,AHRR
cg10530883,0.0004382981895480002,IRX1
cg16126280,0.0011051260970581212,EBF1
cg26844246,0.003499392938844238,TLX3
cg05452406,0.00019072109718204218,GCM2
cg06392169,0.00023770028314543904,IRF4
cg17302155,0.011022823030175473,PRDM13
cg26422161,0.00024119241192411926,FOXQ1
cg27252696,0.0012314875208787111,SIM1
cg06173663,0.052289887390051935,CUX1
cg14625175,0.0,HOXA10
cg15564098,0.003182416880608712,EVX1
cg26521404,0.0003144746727159977,HOXA9
cg13267264,0.0003765464335179479,PRDM14
cg13482308,0.006378559263103522,PAX5
cg13791254,0.0010668187121765573,FOXE1
cg14425564,0.003005534111679715,LHX2
cg11174855,0.038658975052876056,NKX6-2
cg14861089,0.00317373896570114,TLX1
cg10244666,0.008308490296625351,WT1
cg18372607,0.009183988442853465,PAX6
cg05860723,0.047458147261586696,MYF6
cg20985450,0.000310239651416122,ZIC5
cg24604013,0.052571062676550005,SOX1
cg26299169,0.008107435917001714,PDX1
cg00800229,0.010732743305015007,SALL2
cg04415798,0.023048519437834876,PAX9
cg07489048,0.039975556829315,FOXG1
cg13019491,0.0075177695784772345,SIX6
cg13023623,0.038451750777619725,OTX2
cg23906738,0.002483454085070506,NKX2-1
cg19760241,0.053486623860747866,
cg25547580,0.016914904834708158,ONECUT2
cg14231297,0.1122966587960493,ZSCAN18
cg03774514,0.0005931999906254008,FOXA2
cg18369516,0.009160480980609936,ZBTB46
cg22474464,0.0008310196072175777,NKX2-2
cg26492446,0.0005049679498004042,BHLHE23
cg02177231,0.01998270880979094,TBX15
cg03082523,0.06034771026754396,
cg06215569,0.006671368774615605,ALX3
cg06880420,0.041431107508573393,
cg25025181,0.0034592762594145986,
cg26026748,0.031921153938150294,
cg06714480,0.0025907294428585362,NEUROD1
cg07847030,0.0004886552366330554,TCF7L1
cg13713922,2.4072270907713738e-05,GLI2
cg15133719,0.0006678665221261828,PAX3
cg15540820,0.00963751275785374,EOMES
cg16428251,0.0,SOX14
cg21646032,0.016325044994751,
cg06274159,0.0010331831905227163,ZFP42
cg06733419,0.00025066009505368773,TBX18
cg07317062,0.004452181186105159,HOXA4
cg09420439,0.0007122654172124967,HOXA1
cg18091615,0.0003445891529594075,CREB3L2
cg08044097,0.004722218786414817,SOX17
cg23710218,0.0010382291118670895,MSC
cg01549227,0.007576572603170827,
cg07084627,0.0014977518770278515,NFIL3
cg04436818,0.0018692117063348343,PAX2
cg06550984,0.0027012701315007144,PTF1A
cg18722841,0.0028367118272146475,PHOX2A
cg19897940,0.00033916875074431333,FLI1
cg24909660,0.003837365240634778,NR1H3
cg07080050,0.002816201409169271,HOXC4
cg08097882,0.001321048706402507,POU4F1
cg18396984,0.0022404769574274593,NKX2-8
cg09180848,0.0011945541496123575,BNC1
cg01146232,0.0030002422228591476,SALL1
cg20388732,0.0033301638640452617,STAT5A
cg10717463,0.001133922584406417,SALL3
cg21183523,0.002483220414422721,ZNF521
cg18642503,0.01780073739443189,RFX1
cg15242225,0.012897232686246263,
