Unnamed: 0_tissue,dbeta_tissue,gene,Unnamed: 0_liquid,dbeta_liquid,dbeta_tissue_normalized,dbeta_liquid_normalized
cg11859607,0.385062166,ADCYAP1,cg15458338,0.0490788054552159,0.8691802269167794,0.7390649053255056
cg26492446,0.364956671,BHLHE23,cg01699217,0.0361308048125944,0.8483272565041922,0.6930708784997623
cg16260298,0.392803802,CAV2,cg01962918,0.0303060478560063,0.877209678887647,0.6723801143339901
cg13391820,0.392484716,CCND2,cg19582614,0.0300216012817192,0.8768787300143629,0.6713697001604546
cg15323528,0.356861538,CDH23,cg09796583,0.0969551485523518,0.8399311653393162,0.9091317650288988
cg25032595,0.459546713,CLDN10,cg09469554,0.062611840686868,0.9464339356559057,0.7871370982963204
cg07113642,0.427758635,CPXM1,cg04611203,0.0268560340041227,0.913464051054357,0.660124938107756
cg11814235,0.379666472,DSC3,cg27648075,0.012138006902246,0.8635839335980934,0.607843404299562
cg16126280,0.370425233,EBF1,cg17847344,0.1045522024931889,0.8539991268851701,0.9361181015603692
cg15564098,0.362788049,EVX1,cg01790002,0.0457410303311548,0.8460780101960517,0.7272084247126591
cg09293816,0.36445231,FCGRT,cg08059845,0.0196132276194679,0.8478041445385199,0.6343969635467328
cg06169131,0.385280342,FGF8,cg16248277,0.0674880462764925,0.8694065141916133,0.8044584081176042
cg03774514,0.471647257,FOXA2,cg03774514,0.0259449911056385,0.9589843496600479,0.6568887217474978
cg13791254,0.492265018,FOXE1,cg13791254,0.0325891981967799,0.9803686309277707,0.6804903454746247
cg04037038,0.368369372,FRZB,cg21880392,0.052516784898403,0.8518668337680201,0.7512773327960286
cg07879739,0.368367797,GALR3,cg25887069,0.0308780006505111,0.8518652002131935,0.6744118111881684
cg14416311,0.353770832,GAS1,cg26447413,0.0125044816003878,0.8367255540986078,0.6091451996548854
cg05452406,0.385173494,GCM2,cg22851295,0.0316285394206147,0.8692956938321721,0.6770778830612477
cg09649610,0.453273441,GNG4,cg10840412,0.0604849222768981,0.9399274380339316,0.7795818358967878
cg17508991,0.42353812,HCK,cg17508991,0.0298261616660072,0.9090866271500523,0.6706754574602898
cg21899596,0.403477089,HOPX,cg25456368,0.0638537754806286,0.8882797738052828,0.79154871239773
cg09420439,0.376604216,HOXA1,cg10636403,0.0529719808891594,0.8604078300620319,0.7528942848790323
cg11546137,0.365390983,HOXD11,cg03782202,0.0694554343735844,0.8487777152114178,0.8114469852278361
cg09238180,0.397545147,HOXD8,cg20732478,0.0300059762269563,0.8821272960366338,0.6713141966732558
cg23165899,0.401392729,ID4,cg06739029,0.0196557223729158,0.8861179221617803,0.6345479138659351
cg02745847,0.393102537,IGF2BP1,cg14335894,0.0678345710624808,0.8775195201582153,0.8056893371808964
cg24680586,0.392761351,INA,cg08050235,0.0212637936917916,0.8771656496584743,0.6402601220608142
cg06392169,0.382535272,IRF4,cg03410961,0.0651124004889162,0.8665593888912673,0.7960196136582824
cg08680048,0.409270342,ITPKA,cg01808706,0.0471381198970738,0.8942884064403724,0.7321711812606719
cg07979401,0.37478879,LEMD2,cg04607261,0.0359653684598036,0.8585249107574218,0.6924832137121065
cg14425564,0.410484844,LHX2,cg14425564,0.0443761166147754,0.8955480607921817,0.722359963562655
cg07792478,0.438057774,MIR124-2,cg05455720,0.0073004852650584,0.9241460880219683,0.5906595080292362
cg01452847,0.362824649,MIR196A1,cg01452847,0.0346686447473105,0.8461159708986905,0.6878769778256438
cg26132320,0.432132767,MMP9,cg23353432,0.0613825288495813,0.918000803080445,0.7827703235963525
cg10896862,0.465126258,MPZ,cg11214962,0.0187141971192464,0.952220915125981,0.6312034177564866
cg05860723,0.380485987,MYF6,cg05860723,0.0313304054113066,0.8644339162544603,0.6760188482341528
cg06355129,0.375533574,NES,cg16588073,0.0337498092609903,0.8592973840895017,0.6846130805512536
cg07084627,0.381904802,NFIL3,cg14193653,0.0592414905995913,0.8659054794870957,0.7751649045495825
cg22474464,0.353306383,NKX2-2,cg01397679,0.008619820347704,0.8362438379680099,0.5953460642673938
cg18396984,0.384061202,NKX2-8,cg00950398,0.0809864257620813,0.8681420494097811,0.8524074965753674
cg11174855,0.39038493,NKX6-2,cg25485875,0.0308341120438266,0.8747008788681581,0.6742559096085418
cg21514227,0.375533412,NOTCH3,cg03665287,0.0400970911238119,0.8592972160667196,0.7071599632960835
cg25547580,0.478756942,ONECUT2,cg05226967,0.0933572184130278,0.9663583561666181,0.8963511589791516
cg07974511,0.434403748,OTX1,cg08949862,0.0228547259127558,0.9203562138574761,0.6459114485681746
cg18372607,0.403639759,PAX6,cg26019112,0.0488751645709833,0.8884484914964919,0.7383415299912952
cg26444528,0.421659146,PCDH17,cg26444528,0.0271868486152691,0.9071377972790134,0.6613000613193915
cg27360326,0.38968852,PCDH8,cg22763718,0.0218290685252092,0.8739785779685767,0.6422680973899584
cg15215348,0.429355919,PDE4C,cg17861230,0.0486455814409654,0.9151207183481739,0.737526002333224
cg04127342,0.412351833,PENK,cg03483150,0.0093549473488553,0.8974844600888727,0.5979573902894193
cg04142864,0.386685485,PHLDB1,cg19006130,0.0587642797754332,0.8708638971311755,0.7734697511391314
cg08097882,0.375598434,POU4F1,cg08278487,0.0189394908572044,0.8593646554330305,0.6320037085900538
cg06083330,0.412189649,POU4F2,cg06083330,0.0243275126838371,0.8973162464660103,0.6511430975406602
cg02571816,0.355784113,PPP1R14A,cg22730305,0.0487504348774514,0.8388136841906659,0.7378984638354759
cg17302155,0.428515352,PRDM13,cg16377881,0.0239588671909441,0.9142489010275461,0.6498335910649271
