gene,dbeta,feature,ID,cluster
ACOT11,0.387925,TSS200,cg10266490,3
ACSF2,0.367228,TSS1500,cg14672994,4
ADAM11,0.355972,TSS1500,cg25558103,1
ADAMTS12,0.569509,TSS200,cg26573704,4
ADCY4,0.605938,TSS200,cg23179456,3
AFAP1L1,0.473014,TSS1500,cg09651145,3
ALDH1L1,0.472344,TSS1500,cg07330230,4
ANGPTL2,0.415211,TSS200,cg08076018,4
ANK1,0.421013,TSS1500,cg14904662,1
ATOH1,0.391876,TSS1500,cg15076145,2
ATXN7L1,0.43317,TSS1500,cg11617147,4
BDH2,-0.377769,TSS1500,cg03276883,3
BMP7,0.440532,TSS1500,cg18759209,4
C10orf82,0.358555,TSS200,cg18425434,3
C2CD4B,0.352043,TSS200,cg10426464,2
C2orf88,0.545921,TSS1500,cg08350814,1
C5orf4,0.469328,TSS200,cg18188717,3
CBX5,0.530907,TSS200,cg20687242,2
CCK,0.431393,TSS1500,cg11142705,4
CCND2,0.386132,TSS1500,cg21462428,2
CD44,0.374955,TSS200,cg20143092,1
CDH17,-0.38728,TSS1500,cg09857273,1
CDX2,0.379366,TSS1500,cg07984133,2
CDYL,0.435846,TSS1500,cg24816460,2
CHRNB2,0.389163,TSS200,cg05746024,1
CLIP4,0.498299,TSS1500,cg25737323,2
CPNE4,0.394737,TSS200,cg20559608,4
CPVL,0.455597,TSS200,cg02032778,4
CYP1A1,0.365097,TSS1500,cg13570656,4
DCD,-0.36716,TSS1500,cg01687040,4
DDIT4L,0.405122,TSS1500,cg08663159,3
DEPDC7,-0.366066,TSS1500,cg00035630,3
DLC1,-0.35789,TSS1500,cg12512013,3
DSE,0.448408,TSS1500,cg09025324,4
E2F6,-0.376605,TSS1500,cg23214755,2
E2F8,0.366352,TSS1500,cg11095319,2
ENPP2,0.48507,TSS1500,cg06998282,1
EYA4,0.505563,TSS200,cg20787173,2
FBN1,0.366889,TSS1500,cg08151731,4
FBXO17,0.473585,TSS200,cg06244497,3
FJX1,0.427506,TSS200,cg23083315,2
FOXG1,0.38353,TSS1500,cg25078444,2
FREQ,0.418692,TSS1500,cg13463203,1
GCM2,0.453556,TSS200,cg14250833,2
GCNT2,0.385035,TSS200,cg12242450,4
GRHL3,0.453663,TSS1500,cg14616251,2
GSTM2,0.515288,TSS200,cg20676696,3
GSX2,0.478297,TSS1500,cg13506653,2
H2AFY,0.355329,TSS1500,cg15613420,2
HAAO,0.458341,TSS200,cg08421126,3
HDAC9,0.358322,TSS1500,cg12081743,2
HHIP,0.35338,TSS1500,cg26621699,1
HIF3A,0.582121,TSS1500,cg14117138,1
HIST1H3J,0.359303,TSS200,cg17718302,4
HIST1H4D,0.377311,TSS200,cg19884345,4
HMGCL,-0.3636,TSS1500,cg09473613,3
HRASLS5,0.351581,TSS200,cg13112361,3
ICAM4,0.385475,TSS200,cg14993276,1
IFI16,-0.415682,TSS1500,cg21406461,2
IFNGR2,0.397233,TSS200,cg22212414,1
IGFBP7,0.393883,TSS1500,cg19045644,4
IKZF1,0.497774,TSS1500,cg07589773,2
ITIH5,0.49471,TSS1500,cg10119075,4
JDP2,0.376543,TSS1500,cg10101773,2
KCNAB1,-0.36497,TSS1500,cg24926465,1
KIAA1751,0.425996,TSS200,cg26067203,3
KLK13,0.432991,TSS200,cg20104456,4
