ID,gene,dbeta,feature
cg21968765,ABI3BP,-0.0128290544161829,TSS200
cg10523679,ACADM,-0.0153907343569661,TSS1500
cg05641529,ADH1B,-0.0112488580836919,TSS1500
cg19245381,ADORA2B,0.0103867087985072,TSS1500
cg23392390,ALDH3A1,0.0109333528375102,TSS1500
cg03218374,ANGPT4,-0.0168939389653643,TSS200
cg01978534,APEH,-0.015064688186875,TSS1500
cg00074348,APLNR,-0.0115591857768511,TSS1500
cg15166900,ARL6IP5,-0.0143147065525887,TSS1500
cg02964724,ASCL2,0.0115633723912557,TSS200
cg04517722,B3GNT3,-0.0146496298807513,TSS1500
cg07315745,BARX2,0.0103258083230884,TSS200
cg27423177,C3AR1,-0.0147827638135734,TSS1500
cg24017912,CAP2,-0.0101832055150145,TSS1500
cg11398323,CCND1,-0.0119478846758633,TSS1500
cg04131610,CCR5,-0.0104276900548084,TSS200
cg10516886,CD53,-0.0101915229634257,TSS1500
cg09970481,CD79A,-0.0129554220509161,TSS1500
cg04039397,CD96,-0.0105636485557196,TSS200
cg26542660,CEP135,-0.0115033696748328,TSS1500
cg07157107,CHRNA6,-0.0121813379845738,TSS200
cg19223467,CLEC9A,0.010981060103123,TSS200
cg02156776,COL9A1,-0.0109236080715444,TSS1500
cg19538614,CPT1C,0.0116501020762044,TSS1500
cg05508558,CR2,-0.0110142730671722,TSS1500
cg21290814,CRTC1,-0.0112079386166732,TSS1500
cg02325250,CSF2,-0.0132153337125516,TSS200
cg01136458,CSMD1,-0.0114539652651207,TSS1500
cg24155190,CSRP1,-0.0315125105213619,TSS1500
cg14810343,CXXC5,0.0106077391427143,TSS200
cg00213123,CYP1A1,0.0120017614075188,TSS1500
cg26228123,DCAF4,0.0102309048050567,TSS200
cg10499172,DCPS,-0.011326945750791,TSS1500
cg22876908,DGKA,-0.0116328405570213,TSS1500
cg19962750,DLX5,-0.0122963832220999,TSS1500
cg27648075,DSC3,0.0111476656612025,TSS200
cg17638730,E2F5,0.0121858696740079,TSS1500
cg16736826,EDN2,-0.0149686249476053,TSS1500
cg16264526,EDNRA,-0.0108642358990628,TSS1500
cg13379236,EGF,0.0126479187554356,TSS1500
cg01055871,EHD2,-0.0121245444485053,TSS1500
cg17314888,ELN,0.0114076293128474,TSS200
cg10512376,EMCN,-0.0130450868684983,TSS1500
cg13919438,EMILIN3,0.0117799843224736,TSS200
cg19560758,ERRFI1,0.0112594890017865,TSS1500
cg01519765,ETV5,0.0127337338892306,TSS1500
cg20271029,FAAH,0.0103497568396929,TSS200
cg04992588,FAM107A,-0.0164003565088081,TSS200
cg06668555,FAM135B,0.0123306722141256,TSS200
cg02093112,FBXO39,0.0102592752589872,TSS200
cg08786003,FCRL3,-0.0139526454427712,TSS200
cg17393267,FGF12,0.0137709932497376,TSS1500
cg11741201,FJX1,-0.0106288735191942,TSS1500
cg21644856,FN3K,0.0100226910237469,TSS200
cg22438763,FOXD2,0.0108784965584139,TSS1500
cg11210703,GBA3,-0.0100396273606294,TSS1500
cg19908207,GFRA3,-0.0134848169092681,TSS1500
cg19772011,GLP1R,-0.0112212184554279,TSS1500
cg24815792,GNMT,0.0123529109009712,TSS1500
cg11183072,GRB7,0.0128142388077046,TSS200
cg20793809,HDAC1,-0.0101484330079818,TSS1500
cg12464820,HDAC10,0.011583262880793,TSS1500
cg17731992,HLA-B,-0.0118874966152357,TSS200
cg11201654,HLA-F,-0.0120524911228553,TSS1500
cg00727675,HOXA3,-0.0119181651687965,TSS1500
cg00842549,HOXB3,-0.0124027957005517,TSS200
cg15817960,HOXC4,-0.0114745593690273,TSS1500
cg19500607,HTR4,-0.0162712149812666,TSS1500
cg08497766,IL15RA,0.0101748688833824,TSS1500
cg08879111,IL1R2,-0.0136404986536341,TSS1500
cg13195526,IL22,-0.0101319526224474,TSS1500
cg24275769,IMPACT,0.0103857518275656,TSS200
cg25336198,INS-IGF2,-0.0123396423587077,TSS200
cg02135861,IRX2,0.0124257365306455,TSS1500
cg15059851,IVL,-0.0119386182927313,TSS1500
cg05787952,JMJD8,0.0139678655713562,TSS1500
cg11775521,KCNE3,0.0114386996884252,TSS200
cg21331461,KCNJ8,-0.0205602304858507,TSS200
cg05929019,LAMC2,0.010579134525909,TSS200
cg24296478,LCOR,-0.0154177096853817,TSS1500
cg04794887,LETM1,0.014258667613541,TSS1500
cg07124520,LRIG3,0.0118190689724842,TSS200
cg08300899,LRRC26,0.0103475763993508,TSS200
cg27314002,LTF,0.0104942550425509,TSS200
cg12110437,LY6E,-0.0104433189725802,TSS1500
cg18577128,MAST2,0.011573489573896,TSS200
cg08210001,MCM7,-0.0106901050545199,TSS1500
cg00609333,MGST1,0.013096338197919,TSS1500
cg07147033,MIB2,0.0133770201574492,TSS1500
cg02202858,MIIP,-0.0109804859078663,TSS1500
cg11201447,MIR1204,-0.0112412770089044,TSS200
cg04927004,MIR124-3,0.012801575844131,TSS1500
cg00565412,MIR155HG,-0.010104670597804,TSS1500
cg08200293,MIR210,0.0102875674105163,TSS1500
cg16570507,MIR346,-0.014943200303037,TSS200
cg08922308,MIR492,-0.0739961743399659,TSS1500
cg21490751,MIR551B,-0.0113945038938569,TSS1500
cg15908975,MIR592,-0.0108992208772307,TSS1500
cg17937101,MIR596,-0.0114057913434588,TSS1500
cg09082617,MIR645,0.0103157442296094,TSS1500
cg25837979,MIR708,-0.0133012057272372,TSS1500
cg24911721,MIRLET7A3,0.0139129389968483,TSS200
cg22461018,MORF4,-0.0110354741864534,TSS1500
cg22290284,MST1,-0.0141152942803418,TSS1500
cg00004996,MTMR7,0.0115052977774558,TSS1500
cg22500132,MUC1,0.0111308020179328,TSS200
cg00841151,MUC12,-0.011463066199603,TSS1500
cg22571038,MYCBPAP,-0.0139950117310454,TSS1500
cg03407567,MYL6B,-0.0108589103768855,TSS1500
cg25286393,NAPSA,-0.0128213152402479,TSS1500
cg07552803,NEFM,0.0112874323018656,TSS1500
cg11147886,NFAT5,-0.0115731333048191,TSS1500
cg20935025,NFKBIA,-0.0116679477949666,TSS200
cg02418535,NIT2,-0.011995406361555,TSS1500
cg22265644,NKX2-2,0.0115962453278214,TSS200
cg14580628,NNT,-0.0111200508286647,TSS1500
cg05187833,NUP153,0.0102727502733172,TSS200
cg19864758,PCSK2,0.0137348491744466,TSS1500
cg20248866,PCYT2,0.0113111762081316,TSS1500
cg07506510,PHLDA2,-0.0120417883903034,TSS1500
cg08534147,PLXNB1,0.0107490383408479,TSS1500
cg20387815,POMC,0.011977575321429,TSS200
cg05656934,PRKAA2,0.0114907421417918,TSS200
cg17294237,PSD3,0.0116948164654998,TSS1500
cg17667988,PTBP1,0.0111726049376538,TSS200
cg01928820,PTCRA,-0.0113427154985922,TSS200
