ID,gene,dbeta,feature
cg19734045,A4GNT,-0.367286,TSS1500
cg00997917,ABLIM1,-0.358587,TSS1500
cg20772593,ACTBL2,-0.409128,TSS200
cg16508480,ADAMTS16,0.429043,TSS1500
cg01911745,ADCYAP1R1,-0.39958,TSS1500
cg15499265,AKNA,0.435215,TSS1500
cg06175999,ANKRD1,-0.355444,TSS1500
cg04727614,ASB15,-0.359106,TSS1500
cg18342872,ASB5,-0.383326,TSS1500
cg26680675,AZGP1,-0.36381,TSS1500
cg00282195,B3GALT1,-0.362844,TSS1500
cg27501878,BHLHE23,0.356341,TSS1500
cg10881615,BMP10,-0.428669,TSS1500
cg12671811,BPIFB6,-0.411725,TSS1500
cg09621603,C10orf90,-0.386669,TSS200
cg06640662,C10orf96,-0.356693,TSS1500
cg24077102,C11orf85,0.355863,TSS200
cg03882242,C12orf42,0.379711,TSS200
cg03138124,C1D,-0.409993,TSS1500
cg16849609,C1QL2,0.355777,TSS200
cg26444640,C2orf61,0.397904,TSS1500
cg12334987,C4BPB,-0.421395,TSS1500
cg26746540,C5orf66-AS1,0.397106,TSS200
cg20737185,C6orf186,0.479965,TSS200
cg04866380,C7orf16,-0.391108,TSS1500
cg08072082,C7orf76,-0.407932,TSS1500
cg27106681,C8orf34,0.362339,TSS1500
cg22869944,C8orf85,-0.421921,TSS1500
cg04902729,CACNA1E,0.363434,TSS200
cg27235315,CAPN8,-0.383041,TSS1500
cg01763410,CCDC178,0.379289,TSS200
cg03576469,CCDC8,0.353473,TSS200
cg01520122,CCL7,-0.390549,TSS1500
cg11513637,CCNA1,0.415523,TSS1500
cg03718242,CD1A,-0.352911,TSS1500
cg06571407,CD40,0.383365,TSS200
cg27417609,CDH3,0.353757,TSS1500
cg08290240,CDH4,0.449085,TSS1500
cg14040633,CDK3,0.371539,TSS1500
cg09861201,CHL1,0.386218,TSS200
cg18254089,CHODL,-0.36945,TSS1500
cg17628023,CLDN17,-0.382759,TSS1500
cg19159488,CLEC14A,-0.375699,TSS1500
cg26780908,CLEC1B,-0.373904,TSS1500
cg16118414,CLRN1,-0.392633,TSS200
cg11993539,CLSTN2,0.376227,TSS200
cg16681377,CMA1,-0.378336,TSS1500
cg16335762,CMTM3,0.414735,TSS1500
cg23708361,CNTNAP2,0.410246,TSS200
cg12919006,CNTNAP5,0.383552,TSS200
cg10730712,COL23A1,0.385611,TSS1500
cg01956420,COL4A1,0.409691,TSS200
cg25848010,COL9A1,-0.352417,TSS1500
cg24319381,CPEB1,0.397534,TSS200
cg21773872,CRHR2,0.428751,TSS200
cg09185643,CRMP1,0.388873,TSS200
cg12799689,DOK6,0.453898,TSS1500
cg18992201,DPPA2,-0.351481,TSS200
cg12928379,DRD4,0.39862,TSS200
cg19916212,EDNRB,0.369868,TSS1500
cg04454807,EIF3IP1,-0.37449,TSS200
cg07609788,EMILIN3,0.354294,TSS200
cg18892446,ENC1,-0.37805,TSS1500
cg16792062,ETS1,-0.377762,TSS1500
cg20787173,EYA4,0.435175,TSS200
cg19865826,F11R,-0.355854,TSS1500
cg17663556,FAM133CP,-0.369662,TSS1500
cg02108033,FAM184B,0.359705,TSS200
cg26958775,FAM19A1,-0.382564,TSS1500
cg04347354,FAM19A4,0.355964,TSS1500
cg23010538,FAM5C,0.360659,TSS1500
cg13183369,FAM71C,-0.369591,TSS1500
cg13484546,FBLIM1,0.386665,TSS1500
cg21133374,FCER1A,-0.364808,TSS1500
cg18030283,FGF12-AS1,-0.410571,TSS1500
cg06862984,FGF14-AS1,-0.441856,TSS1500
cg06169131,FGF8,0.380077,TSS1500
cg11801640,FGL2,0.357252,TSS1500
cg03878133,FIGN,0.438725,TSS1500
cg10500702,FLG,-0.360554,TSS1500
cg10829451,FLJ22447,-0.354261,TSS1500
cg13564742,FOXE1,0.371318,TSS1500
cg08829841,FOXI2,0.411168,TSS200
cg15747045,FRMD4A,-0.394019,TSS1500
cg08521117,FRMD6,-0.363928,TSS1500
cg11509404,GABBR2,0.428292,TSS200
cg12398124,GALNT13,0.353736,TSS1500
cg23385162,GAP43,-0.430267,TSS1500
cg19638477,GATA2,0.372913,TSS1500
cg20095233,GFRA1,0.397725,TSS1500
cg20650484,GFRAL,-0.378489,TSS1500
cg23506331,GPHB5,-0.353022,TSS1500
cg21845434,GPR139,0.363006,TSS200
cg04549162,GPR26,0.386357,TSS200
cg06695663,GSC2,0.378378,TSS200
cg06841499,GSTP1,-0.381418,TSS1500
cg20785459,HBBP1,-0.437009,TSS1500
cg26581770,HBE1,-0.392219,TSS1500
cg23530543,HEPN1,-0.35278,TSS1500
cg11639651,HKDC1,-0.371196,TSS1500
cg07369569,HMGCLL1,-0.367219,TSS1500
cg24512303,HNF4G,0.352275,TSS200
cg21336434,HPVC1,-0.367293,TSS1500
cg16280141,HTR1A,0.376874,TSS1500
cg07236769,IFNW1,-0.353987,TSS1500
