ID,gene,dbeta,feature,methylation_level
cg10607155,ACTG1,-0.0230590781858922,TSS1500,Hyper
cg00432461,ADRB3,0.0326290417976973,TSS1500,Hyper
cg25251562,ALLC,0.0514691755781387,TSS1500,Hyper
cg09558982,APOA1,0.033463940786216,TSS200,Hyper
cg12912293,ARNT,0.0200658063095801,TSS1500,Hyper
cg17717333,ASXL2,-0.0408716339581198,TSS1500,Hyper
cg19789919,ATF7IP,-0.0326609992072974,TSS200,Hyper
cg20698501,C17orf97,-0.0271520995244343,TSS1500,Hyper
cg21245975,C1orf52,-0.0397906701731084,TSS200,Hyper
cg15436354,CCL25,-0.0296368755146024,TSS200,Hyper
cg06300880,CD80,0.0336987826716416,TSS1500,Hyper
cg24860534,CDC42BPA,0.0208437549409106,TSS1500,Hyper
cg12974258,CSF1R,0.021755245132619,TSS200,Hyper
cg01935060,CTBS,-0.0202861759854571,TSS200,Hyper
cg19178509,DDR1,-0.0243405928452928,TSS1500,Hyper
cg12251126,DEFA3,0.0350822023323757,TSS1500,Hyper
cg09795195,DHX40,0.0241248882003203,TSS1500,Hyper
cg11802299,ELAC2,0.0410424156333435,TSS1500,Hyper
cg25325723,FERMT1,0.0236328089509869,TSS1500,Hyper
cg20525917,GATA5,-0.0213299728089798,TSS1500,Hyper
cg16476432,GCK,0.0221795485646399,TSS1500,Hyper
cg11812218,GHSR,-0.0224305362229533,TSS1500,Hyper
cg09626634,GPR183,0.0216428159461965,TSS1500,Hyper
cg23543785,GPRC5D,0.0230167358307568,TSS1500,Hyper
cg09805403,GSPT1,0.0204810362378806,TSS1500,Hyper
cg18362496,H19,0.0209468144953758,TSS1500,Hyper
cg15131156,HAS1,0.0272658603243579,TSS1500,Hyper
cg16899306,HLA-DQB2,0.0617935783286596,TSS1500,Hyper
cg20649689,HLA-E,0.0307129388092115,TSS1500,Hyper
cg23425970,HS6ST1,-0.0204062720277117,TSS1500,Hyper
cg26155681,HTATIP2,-0.0615916675539657,TSS1500,Hyper
cg01158657,IL17F,0.0369419806900629,TSS200,Hyper
cg17853051,IMPACT,0.0410573050020309,TSS1500,Hyper
cg21138405,IRF1,0.0243455854367537,TSS1500,Hyper
cg24865007,KIR2DS4,0.036212630353105,TSS1500,Hyper
cg14773235,KLK15,0.0283680432204311,TSS1500,Hyper
cg06707544,KLK7,-0.0252699018038707,TSS200,Hyper
cg23685650,KTN1,0.0200515227455509,TSS1500,Hyper
cg16398628,LIPA,-0.0207063531827935,TSS200,Hyper
cg25096861,LZTS2,0.0284099117510937,TSS200,Hyper
cg02636057,MED13,-0.0215150555833736,TSS1500,Hyper
cg00514575,MGAT1,-0.0294588679663016,TSS1500,Hyper
cg04735660,MIR488,0.031166360232339,TSS1500,Hyper
cg12702165,MIR492,0.021400259689738,TSS200,Hyper
cg19653246,MIR654,0.0695191011506909,TSS1500,Hyper
cg17981101,MUC17,0.0469606370264352,TSS200,Hyper
cg03970609,MUC7,0.0200465206530045,TSS200,Hyper
cg18181954,MYOCD,0.0209624894045261,TSS1500,Hyper
cg14494313,NAT2,0.0241660856385209,TSS1500,Hyper
cg12138102,NDN,0.02181024459959,TSS1500,Hyper
cg10492935,NOXO1,0.0400895647906118,TSS1500,Hyper
cg03414001,PCSK6,0.0279077480635869,TSS1500,Hyper
cg24049348,PDGFRL,-0.0220713544371731,TSS1500,Hyper
cg22461201,PDZD2,0.045012794363714,TSS1500,Hyper
cg25150572,PHACTR4,-0.0289120905844407,TSS1500,Hyper
cg08289782,POLR3A,0.0224328581667902,TSS1500,Hyper
cg00779294,POU1F1,0.0296386482933104,TSS200,Hyper
cg10589310,PRDM9,0.024158353559456,TSS1500,Hyper
cg21450627,PSD4,0.0310918484595546,TSS1500,Hyper
cg02992596,RBM46,0.0254029217734225,TSS1500,Hyper
cg18391514,RCN2,0.0292658343386177,TSS1500,Hyper
cg21879272,SAV1,-0.0303025826032848,TSS1500,Hyper
cg04964076,SCIN,-0.0277431428234454,TSS1500,Hyper
cg00881894,SCN1A,0.0299954809240378,TSS1500,Hyper
cg08210706,SERPINA5,-0.0267258232763317,TSS1500,Hyper
cg23110540,SIX4,0.0222252512562297,TSS1500,Hyper
cg26622895,SLC5A8,0.0211856202980463,TSS1500,Hyper
cg22367705,SLC9A1,-0.0421583469719043,TSS200,Hyper
cg21130861,TNFAIP8,-0.0205246347028699,TSS1500,Hyper
cg15793258,TNFAIP8L1,0.0227543501000764,TSS1500,Hyper
cg24699670,TNNT1,-0.0255977065679375,TSS200,Hyper
cg21388339,TP73,-0.0262300492018317,TSS1500,Hyper
cg24483493,TPM1,0.0211755599933694,TSS1500,Hyper
cg02371408,VCAN,-0.0215452377516636,TSS1500,Hyper
cg10998286,VPS11,-0.0215116377288665,TSS1500,Hyper
cg26021304,ZFP57,0.04201096546701,TSS200,Hyper
cg26219488,ZFR,0.0313277880456723,TSS1500,Hyper
