ID,gene,dbeta,feature,cluster
cg18265608,ACCS,0.210733,TSS1500,3
cg09920557,ACE,0.243815,TSS1500,4
cg16587010,ACOX2,0.25204,TSS1500,1
cg14672994,ACSF2,0.259753,TSS1500,1
cg11659501,ACSS3,0.280048,TSS200,1
cg26573704,ADAMTS12,0.323375,TSS200,2
cg12265829,ADCY4,0.288455,TSS200,3
cg09651145,AFAP1L1,0.291047,TSS1500,1
cg11022432,ALDH1L1,0.297879,TSS1500,1
cg25229172,AMDHD1,0.213754,TSS1500,1
cg18031596,ANGPT1,0.250485,TSS200,3
cg27498387,ANK1,0.233316,TSS1500,3
cg21215929,ANKH,0.21556,TSS1500,4
cg20118643,ANXA2,0.289093,TSS1500,3
cg16970232,APC,0.327029,TSS200,1
cg06825512,APCDD1,0.245908,TSS1500,3
cg03369807,ATOH1,0.234912,TSS1500,1
cg04418091,ATP5G2,0.273695,TSS1500,1
cg18664667,ATXN7L1,0.296365,TSS1500,3
cg22777979,B3GAT1,0.220603,TSS1500,1
cg06212637,B3GNT9,0.219481,TSS200,1
cg21316772,B4GALT1,0.217394,TSS1500,1
cg16408970,BAMBI,0.217534,TSS1500,3
cg17260706,BCL9L,0.242028,TSS1500,1
cg11014463,BEND6,0.238882,TSS1500,1
cg09696939,BICC1,0.269362,TSS1500,1
cg04042468,BIK,0.220629,TSS1500,1
cg18759209,BMP7,0.268698,TSS1500,2
cg04542030,BOLA3,0.309974,TSS1500,1
cg03232933,BTG3,0.210992,TSS1500,1
cg12117658,BZRAP1,0.218767,TSS200,1
cg10045354,C11orf93,0.281737,TSS1500,1
cg09907758,C11orf95,0.323917,TSS1500,1
cg03231735,C16orf72,0.241468,TSS1500,1
cg20615848,C18orf34,0.219601,TSS1500,1
cg01559356,C19orf35,0.276131,TSS1500,1
cg12891160,C1QL2,0.215214,TSS1500,2
cg08047907,C1orf114,0.371289,TSS200,1
cg01025836,C20orf95,0.292926,TSS1500,4
cg14013195,C2orf39,0.250172,TSS200,1
cg08350814,C2orf88,0.353841,TSS1500,3
cg10908188,C3orf63,-0.216695,TSS1500,1
cg07492240,C4orf31,0.253397,TSS1500,2
cg24021113,C6orf145,0.251147,TSS1500,4
cg20931973,C6orf186,0.251779,TSS1500,2
cg23348723,C7orf16,-0.214985,TSS1500,2
cg07064711,C8orf85,0.224676,TSS200,3
cg07560510,CA3,0.266897,TSS1500,1
cg17469978,CAV1,0.275522,TSS200,1
cg23824801,CBX5,0.286931,TSS200,1
cg26433034,CCDC136,0.271334,TSS1500,1
cg03576469,CCDC8,0.304416,TSS200,3
cg11142705,CCK,0.297385,TSS1500,2
cg07145284,CD248,0.223393,TSS200,1
cg06571407,CD40,0.22904,TSS200,4
cg20143092,CD44,0.255146,TSS200,4
cg24860534,CDC42BPA,0.224668,TSS1500,1
cg15323528,CDH23,0.278341,TSS1500,3
cg00401972,CDH5,0.218882,TSS200,3
cg17204129,CFTR,0.28851,TSS1500,1
cg24467291,CLIP1,0.269617,TSS1500,1
cg21647257,CLIP3,0.226147,TSS200,1
cg13257636,CLIP4,0.330739,TSS200,1
cg08032924,CMTM2,0.224772,TSS1500,3
cg16335762,CMTM3,0.219052,TSS1500,2
cg26227186,CNN3,0.238385,TSS1500,3
cg07769790,CPEB1,0.243209,TSS1500,1
cg02363950,CRABP2,0.241737,TSS1500,1
cg02712145,CRHR2,0.250824,TSS1500,4
cg18618429,CSTA,0.211342,TSS200,2
cg06159340,CTF1,0.236346,TSS1500,2
cg00328724,CTPS,0.224712,TSS200,3
cg08260891,CTSA,0.261711,TSS1500,1
cg26150462,CUGBP2,0.211372,TSS200,1
cg03789645,CUL1,0.28334,TSS1500,1
cg02029926,CXCL1,0.231068,TSS1500,2
cg07516956,CXCL14,0.231611,TSS200,2
cg13215970,CXCL5,0.214834,TSS200,2
cg22070243,CYBRD1,0.210746,TSS200,3
cg22549041,CYP1A1,0.264761,TSS1500,1
cg11256607,DAB1,0.303056,TSS200,1
cg07817783,DAP,0.257489,TSS1500,3
cg20303028,DCTN1,0.259103,TSS200,1
cg25071651,DDIT4L,0.240837,TSS1500,1
cg13420744,DHRS3,0.22713,TSS1500,1
cg06142946,DKFZp686O24166,0.2469,TSS200,3
cg26986180,DNAH10,0.228578,TSS1500,1
cg04567445,DNAJC6,0.236145,TSS200,1
cg09025324,DSE,0.355397,TSS1500,1
cg22009464,DTNA,0.252381,TSS200,3
cg06127885,DUOX1,0.232692,TSS1500,3
cg11095319,E2F8,0.294181,TSS1500,1
cg12710510,EFCAB4B,0.256051,TSS200,1
cg16585972,EFS,0.302412,TSS1500,3
cg15182643,EGFLAM,0.284496,TSS1500,2
cg16751451,EGFR,0.215892,TSS1500,1
cg02156680,ENPP2,0.274928,TSS1500,4
cg15540820,EOMES,0.22184,TSS1500,1
cg21784383,ESRRG,0.263665,TSS200,1
cg02446647,EYA4,0.215191,TSS1500,1
cg01244015,FAM124B,0.237848,TSS200,1
cg08849150,FAM162B,0.239628,TSS200,4
cg00221494,FARP1,0.305929,TSS1500,4
cg08151731,FBN1,0.227994,TSS1500,2
cg27223047,FBN2,0.249439,TSS1500,2
cg06244497,FBXO17,0.232132,TSS200,1
cg09094393,FBXO30,0.349137,TSS1500,1
cg14696870,FCER1A,-0.223601,TSS1500,4
cg18081863,FCGRT,0.296573,TSS200,3
cg08786003,FCRL3,-0.232683,TSS200,4
cg13194425,FGF11,0.210384,TSS1500,1
cg15128226,FGF2,0.342171,TSS200,2
