ID,gene,dbeta,feature
cg03630821,A1BG,0.122476,Body
cg27394794,A1CF,-0.320159,Body
cg07196505,A2BP1,-0.407458,Body
cg00336946,A2LD1,-0.217054,TSS1500
cg00134295,A2M,-0.176973,TSS1500
cg04884118,A2ML1,-0.225366,Body
cg09744051,A4GALT,0.136181,5'UTR
cg23669440,A4GNT,-0.169308,TSS1500
cg05399607,AAA1,-0.355259,TSS1500
cg05224385,AAAS,-0.010254,TSS1500
cg17297045,AACS,-0.272248,Body
cg21473545,AACSL,-0.034409,TSS200
cg13001012,AADAC,-0.028931,TSS1500
cg25159668,AADACL2,-0.020049,TSS1500
cg04291383,AADACL3,-0.280031,3'UTR
cg06751920,AADACL4,0.094086,TSS1500
cg00309402,AADAT,-0.018843,3'UTR
cg22940988,AAGAB,-0.007526,Body
cg19289072,AAK1,0.188069,Body
cg21613754,AAMP,-0.082006,Body
cg18673409,AANAT,-0.122249,TSS1500
cg05523882,AARS,-0.063797,TSS1500
cg00910127,AARS2,-0.184763,TSS1500
cg22396850,AARSD1,0.155763,3'UTR
cg12283482,AASDH,-0.076492,TSS1500
cg02453779,AASDHPPT,-0.010981,1stExon
cg04893558,AASS,0.032313,5'UTR
cg02975268,AATF,-0.054249,Body
cg09142578,AATK,0.320842,TSS1500
cg26778345,ABAT,0.261577,5'UTR
cg14019050,ABCA1,0.08643,TSS1500
cg14019757,ABCA10,-0.115411,5'UTR
cg16937333,ABCA11P,0.005406,TSS1500
cg04530015,ABCA12,-0.20746,3'UTR
cg20307184,ABCA13,-0.378285,Body
cg04119462,ABCA17P,0.266553,Body
cg14151317,ABCA2,-0.28781,Body
cg10275969,ABCA3,0.133448,Body
cg18185648,ABCA4,0.186803,Body
cg07372195,ABCA5,-0.024795,5'UTR
cg02253236,ABCA7,0.073603,Body
cg20561863,ABCA8,0.173466,Body
cg19464780,ABCA9,-0.046953,5'UTR
cg00862116,ABCB1,0.364111,5'UTR
cg18313106,ABCB10,-0.009394,TSS200
cg18912768,ABCB11,-0.027233,5'UTR
cg04219946,ABCB4,0.311238,Body
cg25826515,ABCB5,0.160136,Body
cg19964303,ABCB6,0.015809,Body
cg26175729,ABCB8,-0.078391,Body
cg04772575,ABCB9,0.205913,Body
cg09109383,ABCC1,0.261737,Body
cg00050375,ABCC10,0.306593,Body
cg04388863,ABCC11,-0.174801,TSS1500
cg12940073,ABCC12,-0.0264,5'UTR
cg11429658,ABCC13,-0.217563,Body
cg00826767,ABCC2,-0.181298,TSS1500
cg14592673,ABCC3,-0.212224,3'UTR
cg18016288,ABCC4,-0.201385,Body
cg05044414,ABCC5,0.109645,5'UTR
cg07965331,ABCC6,-0.096201,Body
cg06289735,ABCC6P1,-0.0952,TSS1500
cg06535308,ABCC8,0.285924,Body
cg25747468,ABCC9,-0.099687,TSS1500
cg25116882,ABCD2,0.032045,1stExon
cg11237362,ABCD3,0.006587,Body
cg05878073,ABCD4,0.050992,Body
cg01013312,ABCE1,0.007379,TSS200
cg05177685,ABCF1,0.158168,Body
cg02148324,ABCF2,-0.156016,TSS1500
cg13491563,ABCF3,-0.091035,TSS1500
cg01881899,ABCG1,0.131442,Body
cg24207176,ABCG2,0.193304,1stExon
cg03222066,ABCG4,0.110362,TSS1500
cg18303215,ABCG5,0.16111,Body
cg13724820,ABCG8,-0.223981,Body
cg17345276,ABHD1,-0.195935,Body
cg15684481,ABHD10,0.022995,Body
cg23795429,ABHD11,-0.047789,Body
cg06082906,ABHD12,-0.081504,Body
cg01270593,ABHD12B,0.203549,5'UTR
cg01255747,ABHD13,0.009045,TSS1500
cg04210566,ABHD14A,0.144246,Body
cg18328933,ABHD14B,-0.172802,1stExon
cg23473955,ABHD15,0.247264,1stExon
cg23124613,ABHD2,-0.226219,Body
cg25890168,ABHD3,0.353767,Body
cg06813554,ABHD4,-0.154695,TSS1500
cg07675262,ABHD5,0.268607,Body
cg07704718,ABHD6,-0.038709,TSS1500
cg08145177,ABHD8,0.174531,5'UTR
cg26142490,ABI1,0.237861,Body
cg24530660,ABI2,0.109857,TSS1500
cg25616535,ABI3,-0.247799,Body
cg06675705,ABI3BP,-0.257217,Body
cg13670057,ABL1,0.351308,Body
cg18433086,ABL2,0.086977,TSS1500
cg04055345,ABLIM1,0.311109,Body
cg17949969,ABLIM2,0.353764,Body
cg00245502,ABLIM3,-0.136296,Body
cg24267699,ABO,0.255486,TSS1500
cg07897701,ABP1,0.111636,TSS1500
cg19029445,ABR,-0.408493,3'UTR
cg07005767,ABRA,0.090138,TSS200
cg05696715,ABT1,-0.237975,Body
cg18353563,ABTB1,0.125248,TSS1500
