ID,gene,dbeta,feature,methylation_level
cg24309769,A2ML1,-0.0745970570250836,Body,Hyper
cg25628542,AADAT,0.0344330767991635,Body,Hyper
cg10760240,AATF,0.0540187982541262,3'UTR,Hypo
cg16586594,ABAT,0.0241430752278966,5'UTR,Hyper
cg14878128,ABCB5,0.0282704610800149,TSS200,Hypo
cg02196379,ABCC1,0.0246142113680185,Body,Hypo
cg11744861,ABCC4,0.023447166680938,Body,Hypo
cg05639842,ABCG1,-0.0292054080847121,TSS1500,Hypo
cg22532079,ABI3BP,0.0218312871337033,Body,Hyper
cg21160290,ABO,0.0244295624054418,Body,Hypo
cg01978703,ABR,-0.0448062210894159,Body,Hyper
cg10523679,ACADM,0.020107414275442,TSS1500,Hypo
cg03373185,ACBD5,-0.0258705606092044,1stExon,Hypo
cg11723698,ACOT7,0.0211893972248367,Body,Hypo
cg02193806,ACSM3,0.0263472185943474,5'UTR,Hyper
cg10607155,ACTG1,-0.0230590781858922,TSS1500,Hyper
ch.14.955325R,ACTN1,-0.0266609828191483,Body,Hypo
cg17386473,ACTR3,0.0548367995987653,3'UTR,Hyper
cg25717799,ACY1,-0.0345548794448121,TSS200,Hypo
cg04034998,ADAM12,0.0589289565861607,Body,Hyper
cg13633881,ADAMTS13,0.0544559990157646,Body,Hyper
cg08709863,ADAMTS14,0.0274140989165204,3'UTR,Hypo
cg00631759,ADAMTS2,0.0595138951079914,Body,Hypo
cg14598478,ADAMTSL3,-0.0211116331859133,Body,Hyper
cg01517273,ADAR,-0.0299469890674711,5'UTR,Hypo
cg24323552,ADARB2,0.0390960481980698,Body,Hyper
cg08856920,ADAT2,-0.0412283173038788,Body,Hypo
cg06764565,ADK,-0.0231487598202154,TSS1500,Hypo
cg03548673,ADM,-0.0218744510762619,TSS1500,Hypo
cg12361155,ADO,-0.0252410216894259,TSS200,Hypo
cg20634573,ADRA2B,0.0217109285411582,1stExon,Hypo
cg00432461,ADRB3,0.0326290417976973,TSS1500,Hyper
cg07998236,AEBP1,0.0226779898552469,Body,Hyper
cg06758191,AFAP1,0.0262078681227037,Body,Hypo
cg21832951,AFF1,-0.0240254284926774,Body,Hypo
cg12253175,AGAP2,0.0271033514660428,TSS200,Hypo
cg09745307,AGXT2,0.0216585859528577,TSS1500,Hypo
cg14291549,AHI1,-0.0211224304324053,5'UTR,Hyper
cg16371648,AHRR,-0.0476507326932146,Body,Hyper
cg01818594,AIMP1,-0.0610974712039823,5'UTR,Hyper
cg11136592,AKR1C4,0.0366014936649126,Body,Hypo
cg06305312,AKR7A2,-0.0286609806669772,1stExon,Hypo
cg14274357,AKT1,0.0217626370511213,Body,Hypo
cg17787219,ALAD,-0.0296823707398748,TSS1500,Hypo
cg05048002,ALDOA,-0.0237948374388251,5'UTR,Hypo
cg17956609,ALKBH3,-0.0299847146824261,1stExon,Hypo
cg17865108,ALKBH5,-0.0223512984494347,TSS200,Hypo
cg25251562,ALLC,0.0514691755781387,TSS1500,Hyper
cg12262378,ALOX12,0.021653530494731,1stExon,Hypo
cg15590007,ALOX5,-0.025206478995476,Body,Hypo
cg15817236,ALX4,-0.0526972843022103,1stExon,Hypo
cg05654340,AMD1,-0.0655199086552631,5'UTR,Hypo
cg23897302,AMN,0.0273695608752235,Body,Hypo
cg26363634,AMPD2,-0.0221056749317791,1stExon,Hypo
cg23668222,ANK1,0.0288821882544685,Body,Hyper
cg08351324,ANKHD1,-0.0279577782633408,TSS200,Hypo
cg23075597,ANKLE2,0.0519805373446268,Body,Hypo
cg22468803,ANKRD12,-0.0229053706803604,TSS1500,Hypo
cg15475576,ANKS1B,-0.0219295283597997,Body,Hypo
cg07319199,ANTXR1,0.0291733134958351,Body,Hyper
cg13458253,ANXA11,0.0269586060709519,5'UTR,Hyper
cg09785377,ANXA2,-0.0510185552679255,Body,Hyper
cg03574360,ANXA7,-0.0295735263737356,TSS1500,Hypo
cg10957001,APAF1,0.0374008090181511,Body,Hypo
cg14460215,APBA1,0.0235860150727692,5'UTR,Hypo
cg16481008,APC,-0.0262320952665534,TSS200,Hypo
cg09558982,APOA1,0.033463940786216,TSS200,Hyper
cg14194956,APOBEC3B,-0.0432650596772337,TSS200,Hypo
cg08079136,APRT,-0.0221162129618203,TSS1500,Hypo
cg07327347,AQP8,0.023867420147809,TSS1500,Hypo
cg08264704,ARF1,-0.0223063580487997,5'UTR,Hypo
cg12595990,ARF3,-0.0300959637476965,TSS200,Hypo
cg24243429,ARHGAP10,-0.0338420074863537,1stExon,Hypo
cg19729949,ARHGAP26,0.0323276313740313,Body,Hyper
cg21076271,ARHGAP5,-0.0394847852822047,1stExon,Hypo
cg22029879,ARHGEF10,0.0556651498635308,5'UTR,Hyper
cg11856093,ARID1A,-0.0241151275769903,1stExon,Hypo
cg16455339,ARID1B,0.0457174507163817,Body,Hypo
cg19383577,ARL2BP,-0.0230578974774765,1stExon,Hypo
cg05308656,ARL4C,0.0209362755902486,TSS1500,Hypo
cg08509907,ARMC5,-0.0343270090859175,Body,Hypo
cg12912293,ARNT,0.0200658063095801,TSS1500,Hyper
cg13148921,ARNT2,0.0205995221233682,Body,Hypo
cg06608945,ARPC2,-0.0248889063697163,Body,Hypo
cg03950654,ARRB2,-0.0316722742891001,TSS1500,Hypo
cg16277922,ASAP1,0.0203624944591809,Body,Hypo
cg03975755,ASGR1,-0.020817274787984,Body,Hyper
cg23100626,ASTL,0.0210024795948354,TSS200,Hypo
cg17717333,ASXL2,-0.0408716339581198,TSS1500,Hyper
cg20627546,ATAD3A,0.020814521371311,5'UTR,Hyper
cg03293837,ATE1,0.0360172770327595,Body,Hypo
cg23534142,ATF3,0.0212471022361884,5'UTR,Hypo
cg22522357,ATF6,0.027201724944873,Body,Hypo
cg19789919,ATF7IP,-0.0326609992072974,TSS200,Hyper
cg23627475,ATIC,0.0227625620356984,Body,Hyper
cg03569616,ATM,-0.0263118579094887,TSS1500,Hypo
cg17762331,ATN1,-0.0252179800457155,TSS200,Hypo
cg14129664,ATP1A3,-0.0251239408643464,5'UTR,Hypo
cg04167054,ATP2C1,-0.0409875847396843,Body,Hypo
cg01607441,ATP4A,0.0243215286980267,TSS200,Hypo
cg19105674,ATP4B,0.0304000285819552,Body,Hypo
cg09851814,ATP6V0A2,-0.0284394558722915,TSS1500,Hypo
cg22809682,AXIN2,-0.0315840849300337,Body,Hyper
cg06705925,B3GAT1,0.021763415858544,Body,Hyper
cg00506198,B3GNT3,0.0494145013550274,5'UTR,Hypo
cg21268422,BACE2,0.0405138955544624,Body,Hypo
cg22076474,BACH1,-0.0256422935771408,5'UTR,Hyper
cg11620135,BAIAP2,0.063762879127682,Body,Hyper
cg18676679,BANP,-0.0329850552280012,TSS1500,Hypo
cg15824705,BCAR1,-0.0222771350730881,Body,Hypo
cg15285436,BCAS3,0.0226071112766667,Body,Hyper
cg10610477,BCL11A,0.0313827301531349,Body,Hyper
cg19450111,BCL11B,-0.0246119046876026,Body,Hyper
cg05724997,BCL2,-0.0208521369697098,TSS1500,Hypo
cg18146226,BCL6,0.0558273059888244,Body,Hypo
cg14687041,BCLAF1,-0.0266560053328439,TSS1500,Hypo
cg07589813,BFAR,0.05847961061643,TSS200,Hypo
cg05568797,BHLHE41,-0.0236863795935499,Body,Hypo
cg02887598,BIN1,0.0258881609457581,Body,Hypo
cg10659575,BIRC3,-0.0246531506499971,1stExon,Hypo
cg27390206,BLMH,0.0246120045461244,Body,Hypo
cg07703391,BMP8B,-0.0251031946296538,3'UTR,Hyper
cg06817917,BMPR1A,-0.0216902210887129,TSS1500,Hypo
cg17151123,BNC1,0.0605724448696988,Body,Hypo
cg23959977,BOK,0.0257748600967405,Body,Hypo
ch.17.1756372F,BPTF,-0.032560682432356,Body,Hypo
cg07203873,BRD2,-0.06555175706414,TSS1500,Hypo
cg06636485,BRD9,0.0446280788982057,Body,Hypo
cg13528570,BRF1,0.0243322846843685,Body,Hypo
cg18828268,BRIP1,0.0469858505671171,Body,Hypo
cg22905012,BRMS1,0.026096592265593,Body,Hypo
cg08541599,BSG,0.0200351721826628,Body,Hyper
cg18584440,BTNL2,0.0530912651705643,Body,Hypo
cg07477109,BUD31,-0.0260108337550234,TSS1500,Hypo
cg07128503,C16orf74,0.0321171854749113,Body,Hypo
cg20698501,C17orf97,-0.0271520995244343,TSS1500,Hyper
cg01892977,C1QTNF8,0.0445898242519207,3'UTR,Hyper
cg21245975,C1orf52,-0.0397906701731084,TSS200,Hyper
cg24657788,C4orf3,-0.0218725659955173,Body,Hyper
cg12538248,CA8,-0.0232678961347768,TSS200,Hypo
cg21806090,CACNA1C,0.0256690813237395,Body,Hyper
cg13331200,CADM2,-0.0215518567222937,5'UTR,Hypo
cg08797483,CALCR,-0.0236742119059905,TSS1500,Hypo
cg26990332,CALD1,0.0258137658562179,5'UTR,Hypo
cg27045724,CALU,-0.0202099491789523,TSS200,Hypo
cg07240846,CAMK1D,-0.0667365306357911,Body,Hypo
cg23233802,CAMK2B,0.0203793880922987,Body,Hypo
cg20409752,CAMTA1,0.0384090696458027,Body,Hypo
cg09727210,CARD11,0.044764456368578,Body,Hyper
cg05187322,CARD14,0.0450330064914756,1stExon,Hyper
cg22212873,CARTPT,0.0201377474412509,3'UTR,Hyper
cg27274728,CASP6,-0.0218859062111496,Body,Hypo
cg04475085,CASP7,-0.0616076424573762,5'UTR,Hypo
cg03687994,CASP8AP2,-0.0215993819036123,TSS1500,Hypo
cg09729182,CASR,-0.0248841454560772,5'UTR,Hypo
cg23723903,CASZ1,-0.0351499171704299,5'UTR,Hypo
cg01847719,CAT,-0.0217377451019376,1stExon,Hypo
cg05917273,CAV1,0.0307933053474918,3'UTR,Hyper
cg04072301,CBFA2T3,0.0217722349291793,5'UTR,Hypo
cg12787407,CBX1,-0.023640709469155,TSS200,Hypo
cg04612030,CCDC154,0.065085531410416,Body,Hyper
cg20571543,CCDC34,-0.0235391312323433,TSS200,Hypo
cg24166175,CCDC83,0.0626766182950849,Body,Hyper
cg04488853,CCKBR,0.0200906097327355,3'UTR,Hypo
cg15436354,CCL25,-0.0296368755146024,TSS200,Hyper
cg13618596,CCND2,-0.0298944343353489,Body,Hypo
cg06061645,CCNH,-0.0228913695557638,TSS200,Hypo
cg17397377,CCNL2,-0.0581531301054046,1stExon,Hypo
cg19990229,CCNO,-0.0283882990264983,TSS1500,Hypo
cg22022041,CCR9,0.0286353254906758,5'UTR,Hypo
cg01112801,CCT8,0.0205267198900867,Body,Hypo
cg23953831,CD101,-0.0230125130753832,5'UTR,Hyper
cg02099418,CD28,-0.0200403361575662,TSS200,Hypo
cg21434440,CD2AP,-0.0262400616491674,Body,Hypo
cg13332350,CD44,-0.0276731381760259,Body,Hypo
cg06355652,CD59,0.0240612604279052,3'UTR,Hypo
cg24778383,CD70,-0.0239639066006597,1stExon,Hypo
cg06300880,CD80,0.0336987826716416,TSS1500,Hyper
