ID,gene,dbeta,feature
cg19815813,A2LD1,0.143907,TSS200
cg19734045,A4GNT,-0.341856,TSS1500
cg05399607,AAA1,-0.2147,TSS1500
cg22861965,AAAS,-0.024575,TSS1500
cg21473545,AACSL,-0.114982,TSS200
cg25159668,AADACL2,0.004429,TSS1500
cg04505750,AADACL3,-0.311504,TSS1500
cg00150882,AADAT,-0.10082,TSS1500
cg00910127,AARS2,-0.178879,TSS1500
cg12283482,AASDH,-0.154213,TSS1500
cg11857445,AATF,-0.039507,TSS1500
cg14019050,ABCA1,0.097176,TSS1500
cg01517431,ABCA9,-0.112657,TSS1500
cg21346679,ABCB11,-0.109657,TSS1500
cg06716437,ABCB6,-0.104877,TSS1500
cg06289735,ABCC6P1,-0.001158,TSS1500
cg00375964,ABCE1,-0.01445,TSS200
cg03020891,ABCF1,-0.094769,TSS1500
cg09866366,ABCF3,-0.201662,TSS1500
cg25101396,ABHD1,-0.158851,TSS1500
cg10672681,ABHD10,-0.101136,TSS1500
cg12623930,ABHD14B,0.024772,TSS200
cg20000047,ABHD4,-0.018649,TSS1500
cg12639574,ABL2,0.201384,TSS1500
cg00997917,ABLIM1,-0.319257,TSS1500
cg06818865,ABO,0.127145,TSS1500
cg14909495,ABP1,-0.116743,TSS200
cg08837344,ABRA,-0.318583,TSS200
cg11901034,ACAD9,-0.024534,TSS200
cg09308336,ACADL,0.166401,TSS200
cg05258079,ACADM,-0.026729,TSS1500
cg24825722,ACADVL,-0.106937,TSS1500
cg27621340,ACAN,0.297223,TSS1500
cg25736982,ACAT2,-0.084711,TSS1500
cg14240646,ACBD5,-0.044846,TSS1500
cg25695166,ACBD7,-0.02262,TSS1500
cg08834429,ACD,-0.011151,TSS200
cg02499308,ACMSD,-0.502593,TSS1500
cg12965421,ACN9,-0.052985,TSS1500
cg08101264,ACOT8,-0.178571,TSS1500
cg13705284,ACOX2,-0.077669,TSS1500
cg27542552,ACP5,0.186512,TSS1500
cg01834614,ACP6,-0.038861,TSS1500
cg19541865,ACPP,-0.159001,TSS1500
cg21050637,ACPT,-0.173699,TSS1500
cg05615487,ACR,-0.272068,TSS1500
cg09588284,ACRV1,-0.01816,TSS1500
cg27274989,ACSBG2,-0.295378,TSS1500
cg03919657,ACSF2,-0.159594,TSS1500
cg20707765,ACSL5,-0.159674,TSS1500
cg06478823,ACSM3,-0.105251,TSS1500
cg21343895,ACSM4,-0.300626,TSS1500
cg06686156,ACSM5,-0.343465,TSS1500
cg03321508,ACSS1,-0.115941,TSS200
cg22989379,ACSS2,-0.194457,TSS200
cg25358039,ACSS3,0.332481,TSS200
cg04490349,ACTB,-0.171657,TSS1500
cg20772593,ACTBL2,-0.400823,TSS200
cg03490703,ACTC1,-0.150826,TSS1500
cg05036147,ACTG1,-0.011636,TSS200
cg19863405,ACTL7B,-0.086348,TSS1500
cg02339243,ACTL9,-0.296586,TSS1500
cg09135741,ACTR1A,-0.018797,TSS1500
cg06698844,ACTR1B,-0.056458,TSS1500
cg01234517,ACTR3C,-0.130752,TSS1500
cg21515283,ACTR8,-0.010684,TSS1500
cg15211996,ACTRT2,-0.292958,TSS1500
cg18061904,ACVR1C,0.155625,TSS200
cg12193731,ACVRL1,0.128707,TSS1500
cg01903327,ACYP1,0.062883,TSS1500
cg01705811,ADAD2,-0.207613,TSS1500
cg02155558,ADAL,0.201543,TSS1500
cg08898775,ADAM10,-0.113523,TSS1500
cg25558103,ADAM11,0.30653,TSS1500
cg20291846,ADAM17,-0.015297,TSS1500
cg15352186,ADAM2,-0.259015,TSS200
cg03512208,ADAM21,-0.18555,TSS1500
cg19992629,ADAM21P1,-0.004771,TSS1500
cg17897391,ADAM7,-0.24837,TSS1500
cg01759110,ADAMDEC1,0.033395,TSS200
cg10445453,ADAMTS14,0.26588,TSS200
cg15048991,ADAMTS16,0.428682,TSS1500
cg05211662,ADAMTS19,0.225228,TSS1500
cg08190291,ADAMTS5,0.587659,TSS200
cg11763094,ADAMTSL3,0.350691,TSS1500
cg23684973,ADARB2,0.539329,TSS1500
cg06866400,ADAT2,-0.020902,TSS200
cg02350320,ADC,-0.090862,TSS1500
cg14287235,ADCY4,0.447031,TSS1500
cg05362860,ADCY7,-0.076274,TSS1500
cg01245966,ADCY8,0.373239,TSS1500
cg15170605,ADD2,0.496852,TSS200
cg23949936,ADH1A,-0.198012,TSS1500
cg05641529,ADH1B,-0.191803,TSS1500
cg15785860,ADH1C,0.113963,TSS1500
cg12011299,ADH4,-0.111509,TSS200
cg09954820,ADH7,-0.073459,TSS1500
cg01588438,ADHFE1,0.685947,TSS200
cg23249140,ADIPOQ,-0.147039,TSS200
cg17218466,ADIPOR1,-0.1315,TSS1500
cg24959938,ADNP2,-0.376029,TSS200
cg09164955,ADO,-0.013972,TSS1500
cg03547181,ADORA1,0.157137,TSS200
cg15499799,ADORA2A,-0.206461,TSS1500
cg10862018,ADPGK,-0.073782,TSS1500
cg22295787,ADRA1A,0.390273,TSS1500
cg11934695,ADRA1D,0.127777,TSS1500
cg01665846,ADSL,-0.022851,TSS1500
cg19777710,AFARP1,-0.05068,TSS1500
cg10778295,AFP,-0.068873,TSS1500
cg00398048,AGA,0.142435,TSS1500
cg17792740,AGAP11,-0.170067,TSS1500
cg09596958,AGAP2,0.265649,TSS200
cg16299440,AGAP7,-0.077048,TSS1500
cg06118116,AGFG1,-0.165156,TSS1500
cg01338043,AGFG2,-0.077697,TSS1500
cg27064238,AGGF1,-0.041631,TSS1500
cg02137183,AGK,0.078049,TSS1500
cg25758167,AGL,-0.064385,TSS1500
cg17385448,AGMAT,-0.062367,TSS200
cg12565635,AGR2,-0.206411,TSS1500
cg11039314,AGR3,-0.2004,TSS200
cg05382012,AGRP,-0.025841,TSS200
cg15527643,AGTRAP,-0.071586,TSS200
cg18315762,AGXT,-0.184348,TSS200
cg18042806,AGXT2L2,-0.040924,TSS200
cg07507951,AHCTF1,-0.148907,TSS1500
cg25813109,AHCY,-0.13048,TSS1500
cg19595244,AHCYL1,-0.094951,TSS1500
cg13676215,AHR,-0.153864,TSS1500
cg17598875,AHSA1,-0.009287,TSS1500
cg10720080,AHSG,-0.229888,TSS200
cg14387505,AHSP,-0.356725,TSS1500
cg10465202,AICDA,-0.321314,TSS1500
cg17069573,AIDA,-0.01402,TSS200
cg21440587,AIF1,-0.084159,TSS1500
cg14006239,AIF1L,-0.251259,TSS1500
cg17515347,AIM2,-0.379972,TSS1500
cg21052656,AIP,-0.134245,TSS1500
cg11725802,AK3,-0.018104,TSS200
cg21800400,AKAP11,-0.150198,TSS1500
cg25533247,AKAP8L,-0.095932,TSS1500
cg13549152,AKIRIN1,-0.046806,TSS1500
cg24332710,AKR1A1,-0.20248,TSS1500
cg13801416,AKR1B1,0.45936,TSS200
cg12001930,AKR1B10,-0.111103,TSS200
cg12737536,AKR1CL1,-0.206098,TSS200
cg09277575,AKR1D1,-0.343561,TSS1500
cg04225104,AKR1E2,-0.080376,TSS200
cg13494428,AKR7A2,0.05611,TSS1500
cg05726935,AKT1,-0.143855,TSS1500
cg02965178,AKTIP,-0.121203,TSS1500
