gene,ID_TCGA,dbeta_TCGA,feature_TCGA,ID_GEO,dbeta_GEO,feature_GEO,cluster
ACVR1C,cg18061904,0.353617,TSS200,cg18061904,0.22727,TSS200,3
ADD2,cg15170605,0.511222,TSS200,cg23427269,0.267312,TSS200,3
ADHFE1,cg01588438,0.541815,TSS200,cg09383816,0.298752,TSS200,3
ARHGDIB,cg08251901,0.374948,TSS1500,cg08251901,0.321479,TSS1500,3
ASAM,cg19096475,0.332297,TSS1500,cg02184673,0.229619,TSS1500,3
BMP3,cg26917673,0.379923,TSS200,cg26917673,0.295646,TSS200,3
BOLL,cg24589459,0.425328,TSS1500,cg24589459,0.299283,TSS1500,3
C15orf38,cg26702670,-0.372037,TSS1500,cg01256846,-0.237036,TSS1500,3
C4orf39,cg12861945,0.401493,TSS200,cg12861945,0.316681,TSS200,3
CD96,cg05655806,0.382957,TSS200,cg04039397,0.255045,TSS200,3
CHRNA6,cg06523556,-0.34532,TSS200,cg20539142,-0.226934,TSS200,3
CLDN10,cg16232183,0.333215,TSS200,cg16232183,0.315264,TSS200,3
CNR1,cg14186641,0.509615,TSS1500,cg14186641,0.385142,TSS1500,3
COL23A1,cg25437410,0.348279,TSS200,cg25437410,0.241049,TSS200,3
CSPP1,cg07896832,-0.316288,TSS1500,cg07896832,-0.325545,TSS1500,3
CST7,cg26450106,-0.328944,TSS1500,cg26450106,-0.221664,TSS1500,3
DLX5,cg19962750,0.383077,TSS1500,cg10243939,0.232472,TSS1500,1
EOMES,cg16971668,0.311379,TSS1500,cg06014401,0.227925,TSS1500,1
EVX1,cg27100227,0.412065,TSS1500,cg27100227,0.31417,TSS1500,1
FAM159A,cg11279444,0.377538,TSS200,cg11279444,0.251747,TSS200,3
FGF12,cg08002883,0.49207,TSS1500,cg23207710,0.266865,TSS200,3
FNDC1,cg09107912,0.37538,TSS1500,cg00157796,0.268542,TSS200,3
GDNF,cg21319053,0.358334,TSS1500,cg18121355,0.234177,TSS1500,3
GREB1,cg02584498,-0.333,TSS200,cg02584498,-0.303509,TSS200,3
GREM1,cg03884132,0.353597,TSS1500,cg18145505,0.342048,TSS1500,3
HOXD10,cg10364040,0.352495,TSS1500,cg13217260,0.22684,TSS200,1
HOXD13,cg07802350,0.332076,TSS1500,cg21128569,0.230826,TSS1500,1
HOXD8,cg18448949,0.350909,TSS1500,cg18448949,0.250138,TSS1500,1
HOXD9,cg09578028,0.376112,TSS200,cg09968620,0.229225,TSS200,1
IFI27,cg12177001,0.423568,TSS1500,cg12177001,0.24164,TSS1500,3
IKZF1,cg07589773,0.517735,TSS1500,cg18607529,0.351281,TSS1500,1
IMMP2L,cg21342392,-0.342073,TSS1500,cg21342392,-0.298493,TSS1500,3
KCNK12,cg04431946,0.497472,TSS200,cg04431946,0.262357,TSS200,3
KCNN2,cg16430072,0.425431,TSS1500,cg16430072,0.271382,TSS1500,3
KLF6,cg07639900,-0.319315,TSS1500,cg07639900,-0.251718,TSS1500,1
LRRC4,cg07871590,0.469006,TSS200,cg07871590,0.378524,TSS200,3
MIR1178,cg24603926,0.41272,TSS200,cg24603926,0.242217,TSS200,2
MIR129-2,cg14416371,0.502098,TSS200,cg15556502,0.244192,TSS200,2
MIR137,cg22333214,0.319533,TSS200,cg22333214,0.239881,TSS200,2
MIR196A1,cg02329038,0.3939,TSS200,cg02329038,0.234704,TSS200,2
NDRG4,cg04942472,0.392167,TSS1500,cg01466678,0.221291,TSS1500,3
NPBWR1,cg15531403,0.390859,TSS1500,cg24857620,0.27602,TSS1500,3
NPY,cg00355281,0.479757,TSS200,cg24242823,0.27353,TSS200,3
PHLDB2,cg19148281,-0.338641,TSS200,cg02944871,-0.228739,TSS1500,3
PIK3R5,cg26239391,0.344502,TSS1500,cg26239391,0.276909,TSS1500,3
PIWIL1,cg16244664,-0.324976,TSS1500,cg24229701,-0.226188,TSS1500,3
PPP1R16B,cg11172693,0.415465,TSS200,cg11172693,0.220501,TSS200,3
PRDM2,cg00922376,0.359503,TSS200,cg00922376,0.241456,TSS200,1
RAB5A,cg15227848,-0.376015,TSS1500,cg15227848,-0.268702,TSS1500,3
REC8,cg16425038,0.313512,TSS200,cg16425038,0.254134,TSS200,3
SALL1,cg05151154,0.404028,TSS1500,cg00124695,0.272607,TSS1500,1
SALL3,cg13634602,0.361432,TSS1500,cg16433156,0.244054,TSS200,1
SERPINB5,cg19022006,-0.32675,TSS200,cg19022006,-0.268324,TSS200,3
SH3D19,cg14270293,0.418945,TSS1500,cg14270293,0.275083,TSS1500,3
SLCO4C1,cg04621020,0.364032,TSS200,cg04621020,0.34541,TSS200,3
SLFN13,cg02380585,0.347881,TSS1500,cg02380585,0.260137,TSS1500,3
SOCS5,cg07894334,-0.377961,TSS1500,cg07894334,-0.235292,TSS1500,3
ST8SIA1,cg17079833,0.436223,TSS200,cg21521683,0.279711,TSS200,3
ST8SIA5,cg09275869,0.416323,TSS200,cg09275869,0.313059,TSS200,3
TBX18,cg04515996,0.34421,TSS200,cg04515996,0.254097,TSS200,1
WSB1,cg02789515,-0.389068,TSS1500,cg02789515,-0.287666,TSS1500,3
ZIK1,cg18579862,0.391309,TSS200,cg18579862,0.275556,TSS200,1
ZNF132,cg07878486,0.37992,TSS1500,cg12042659,0.283611,TSS200,1
ZNF154,cg12506930,0.460247,TSS200,cg03234186,0.312105,TSS200,1
ZNF529,cg02587316,0.429857,TSS200,cg05020604,0.375328,TSS200,1
ZNF542,cg26309134,0.483654,TSS200,cg26309134,0.289192,TSS200,1
ZNF582,cg20984085,0.483363,TSS200,cg20984085,0.351477,TSS200,1
ZNF626,cg01808171,0.442322,TSS200,cg01808171,0.286267,TSS200,1
ZNF793,cg14732998,0.368879,TSS200,cg24588375,0.277492,TSS200,1
