Unnamed: 0,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10
cg03520644,0.349481098972257,0.527985529752064,20.5896484919623,2.4944558767622797e-77,4.57539513101457e-75,165.369889573065,0.215415917637551,0.564897016609808,0.349481098972257,1,103574523,F,I,COL11A1,TSS1500,opensea,TSS1500-opensea,,,True,,,
cg05047401,0.402411393367032,0.630094392907389,29.3193145291368,9.59193929689252e-133,3.42001574400019e-129,292.549882174344,0.270184877042045,0.672596270409076,0.402411393367031,1,156131213,F,I,SEMA4A,Body,opensea,Body-opensea,,True,True,,,
cg06355129,0.375533573672643,0.546585083099403,16.9159372864868,7.27240680040507e-56,4.32826500459469e-54,116.141580021265,0.21071460597196,0.586248179644604,0.375533573672644,1,156646293,F,I,NES,1stExon,island,1stExon-island,chr1:156646292-156647260,,,,,
cg07790615,0.451109518946878,0.472063480926044,17.7451512835949,1.51853929066109e-60,1.18070315741611e-58,126.871628877012,0.0685992370140059,0.519708755960883,0.451109518946877,1,237205174,R,I,RYR2,TSS1500,island,TSS1500-island,chr1:237205126-237206644,True,,,,
cg09106903,0.350692203983512,0.440990639049705,15.0357918343177,1.0744139488943601e-45,3.62411161330887e-44,92.8384979123347,0.1273378363858,0.478030040369312,0.350692203983512,1,217309568,R,I,ESRRG,5'UTR,shore,5'UTR-shore,chr1:217310749-217311178,True,,,,
cg14156405,0.339009094556491,0.384198937840389,12.7740966548335,1.98228199523929e-34,3.50406725743164e-33,67.0517769333598,0.0809952982145834,0.420004392771074,0.339009094556491,1,241520286,R,I,RGS7,5'UTR,island,5'UTR-island,chr1:241520103-241520790,True,,high-CpG:239586709-239587134,,
cg14669379,0.376260187550736,0.499817558842636,19.8200449173685,1.08692772147279e-72,1.5700466491815698e-70,154.726770390806,0.163297211325349,0.539557398876085,0.376260187550736,1,112058559,F,I,ADORA3,Body,island,Body-island,chr1:112058184-112058590,True,True,,,
cg15031661,0.398070296682226,0.435001363263107,15.6600542631251,5.34538197752529e-49,2.17108377378459e-47,100.405574062909,0.0789744462304644,0.477044742912691,0.398070296682226,1,240256603,F,I,FMN2,1stExon,island,1stExon-island,chr1:240254959-240257063,True,,,,
cg17154724,0.469099282047341,0.495967598080927,15.3219894241207,3.36017817436141e-47,1.23421997023585e-45,96.2854858749037,0.0764136334633046,0.545512915510646,0.469099282047341,1,171810322,R,I,DNM3,TSS1500,shore,TSS1500-shore,chr1:171810467-171811325,,,,,
cg18279094,0.420185204801043,0.570969956822523,20.3493079885534,7.12295455507436e-76,1.21528456085649e-73,162.030173955242,0.195163863539792,0.615349068340836,0.420185204801044,1,63790044,F,I,FOXD3,1stExon,island,1stExon-island,chr1:63782394-63790471,,,,,
cg18770350,0.35958709407641,0.414987230397993,14.6930203860997,6.47791389004825e-44,1.97187269924267e-42,88.7612109150403,0.0933789979431367,0.452966092019546,0.359587094076409,1,236849966,F,I,ACTN2,1stExon,island,1stExon-island,chr1:236849472-236850323,True,True,high-CpG:234916417-234916759,,
cg23049458,0.412237006055541,0.542053919221505,22.1963930249186,3.33166645255635e-87,1.00879626676971e-84,188.026963857866,0.173356552007784,0.585593558063326,0.412237006055541,1,62660624,R,I,L1TD1,5'UTR,island,5'UTR-island,chr1:62660555-62660946,,,,,
cg24932457,0.41093880536833,0.639206890666731,21.4872075381082,8.12391932999272e-83,1.97129159186532e-80,177.959995917622,0.271670610809212,0.682609416177544,0.410938805368331,1,175568559,R,I,TNR,5'UTR,island,5'UTR-island,chr1:175568376-175568808,,,,,
cg26841013,0.386624296353716,0.507524392935152,14.1129232218469,5.85420498355302e-41,1.50542854382771e-39,81.992877763992,0.161734572825535,0.548358869179253,0.386624296353717,1,228248013,R,I,WNT3A,3'UTR,shore,3'UTR-shore,chr1:228246631-228247197,True,True,,,
cg00097146,0.365230999054454,0.464805797293092,21.8153586128768,7.67470169108886e-85,2.09343814590185e-82,182.605931090169,0.138149757689334,0.503380756743787,0.365230999054453,2,45171818,F,I,SIX3,Body,island,Body-island,chr2:45169505-45171884,True,,,rs338074,
cg04037038,0.36369141110912,0.403474428731016,13.6880035129515,7.68162549500361e-39,1.75569962092109e-37,77.1449428534536,0.078195368907579,0.441886780016699,0.36369141110912,2,183732062,R,I,FRZB,TSS1500,island,TSS1500-island,chr2:183731819-183732093,True,,,,
cg07974511,0.393210895713971,0.561793011339015,19.476168451956,1.2230870455652899e-70,1.6012404475887002e-68,150.021321659672,0.210112255172362,0.603323150886333,0.393210895713971,2,63283013,F,I,OTX1,Body,island,Body-island,chr2:63282514-63283122,,True,,rs61742369,
cg09238180,0.392005186001116,0.422784963224187,18.3178537063718,7.71859360535322e-64,7.10492881344184e-62,134.424817566191,0.0721825721490316,0.464187758150148,0.392005186001116,2,176993632,F,I,HOXD8,TSS1500,island,TSS1500-island,chr2:176993479-176995557,True,True,,,
cg09799983,0.343775713668457,0.476518294004955,13.2080785667387,1.68769666465415e-36,3.3672983986949804e-35,71.7863414403501,0.169051475937437,0.512827189605894,0.343775713668457,2,38301756,R,I,CYP1B1,Body,island,Body-island,chr2:38301276-38304518,,,,,
cg10364040,0.387455297882494,0.50053041512002,18.5575911963532,3.1243262474222802e-65,3.10583805796385e-63,137.618931240855,0.153997362182417,0.541452660064912,0.387455297882495,2,176981064,F,I,HOXD10,TSS1500,island,TSS1500-island,chr2:176980765-176981423,True,,,,
cg11546137,0.355825961131076,0.420593989188207,16.2941476338919,1.97911050057709e-52,9.75787767901295e-51,108.268840431355,0.102349646423784,0.45817560755486,0.355825961131076,2,176972563,F,I,HOXD11,1stExon,shore,1stExon-shore,chr2:176973427-176973718,,,high-CpG:176680606-176680908,,
cg19053239,0.345317662216053,0.404618085271063,13.6502084516149,1.17988753278637e-38,2.66655650802802e-37,76.718381683543,0.0957721761429971,0.44108983835905,0.345317662216053,2,149645394,F,I,KIF5C,Body,shore,Body-shore,chr2:149645536-149645834,,True,,rs11899232,
cg21185289,0.367433757299462,0.371657179698247,16.0748761886872,3.1008626704126703e-51,1.42791701936689e-49,105.530244914237,0.0430310327203,0.410464790019763,0.367433757299463,2,74743437,R,I,TLX2,3'UTR,island,3'UTR-island,chr2:74740455-74743795,,,,,
cg22511877,-0.367927707129102,0.512476315786207,-15.0379186140936,1.04724942872784e-45,3.53589617727397e-44,92.8639715191744,0.841544242611785,0.473616535482684,-0.367927707129101,2,1942942,F,I,MYT1L,Body,shore,Body-shore,chr2:1941068-1941560,,,,rs7565890,
cg22674699,0.389222578340438,0.459470235620967,15.0665408676638,7.41800398344975e-46,2.53026059341762e-44,93.2070038397192,0.111356558813115,0.500579137153552,0.389222578340438,2,176987918,R,I,HOXD9,1stExon,island,1stExon-island,chr2:176986424-176988291,True,True,,,
